n_samples,time,memory,MAE,RMSE,R2
100.0,0.0260868,0.178380859375,82664.2491438,101895.689537,-0.057593000000000005
200.0,0.0696936,0.13948046875,62520.48752820001,83109.3232784,0.2703806
300.0,0.0982406,0.220822265625,58320.409866,79314.0380592,0.3670716
400.0,0.1404476,0.12486132812499999,54156.441277599995,73089.79870700001,0.4508826
500.0,0.1736044,0.23875585937499996,53572.436421000006,72484.2671806,0.4730022
600.0,0.20456919999999998,0.2700625,51665.84246679999,69575.59941220001,0.5069302
700.0,0.2430404,0.28909179687500003,50384.2115234,68474.6920426,0.5294666
800.0,0.2809882,0.320625,48394.1881948,66193.3694416,0.5491044
900.0,0.314794,0.364072265625,46871.8300264,65071.18905120001,0.5561358000000001
1000.0,0.3641714,0.39225585937499996,45928.179470999996,63956.575027800005,0.5733256
1100.0,0.409407,0.41767773437500005,47068.054068,66151.20865259999,0.562182
1200.0,0.45151060000000004,0.44783789062499996,46723.966376200005,65721.4267186,0.563929
1300.0,0.49663320000000005,0.464783203125,46159.288231,65269.9607236,0.5510148
1400.0,0.5474116,0.48547460937500003,45213.1512546,64101.4105154,0.5439996
1500.0,0.5962236,0.427720703125,45038.8068854,63768.4678934,0.5346556
1600.0,0.6397695999999999,0.46184179687500004,46770.1551232,79978.72596519999,0.22900679999999998
1700.0,0.6997028000000001,0.432771484375,47578.110255,80515.9464442,0.2306488
1800.0,0.743363,0.475537109375,47960.0749532,79911.1128616,0.25923179999999996
1900.0,0.7977384000000001,0.3804140625,47588.5348162,78744.6450874,0.273827
2000.0,0.8404934000000001,0.392015625,46980.366658,77418.35072439999,0.2790296
2100.0,0.8894812,0.31880859375,47815.136411,78050.18001360001,0.27422399999999997
2200.0,0.9281668,0.29037109375000003,49831.1634722,80671.7171762,0.2809698
2300.0,0.9646051999999999,0.31905078124999997,49634.897753000005,80134.8734258,0.307589
2400.0,1.0065496,0.33519531249999995,49405.635764,79380.25635920001,0.3235304
2500.0,1.0506514,0.3376796875,49304.428819,79038.423933,0.32672179999999995
2600.0,1.0967164,0.30094726562499996,49095.0802178,78418.571483,0.3422712
2700.0,1.134828,0.3083515625,48308.9364598,77472.11406020001,0.3676226
2800.0,1.1799738000000002,0.33761523437499996,47475.9366488,76441.7834546,0.3871466
2900.0,1.2171804,0.358498046875,46596.307397599994,75368.2510536,0.4023218
3000.0,1.258747,0.36948046875,45714.657382599995,74305.94836180001,0.4180846
3100.0,1.3037596,0.357048828125,44788.0658952,73230.1086166,0.43571479999999996
3200.0,1.3460772,0.372607421875,44035.4104458,72257.8796334,0.44846700000000006
3300.0,1.3852844000000002,0.404572265625,43406.649934400004,71405.0409162,0.4601542
3400.0,1.4366964,0.432552734375,42767.0041746,70559.8747242,0.4716256
3500.0,1.474334,0.4681875,42140.352510799996,69733.9441368,0.4828512
3600.0,1.5281456,0.49705273437499997,41585.268429200005,68980.9481648,0.49185840000000003
3700.0,1.566938,0.5185078125,41030.3744162,68237.7165504,0.49953919999999996
3800.0,1.6170852,0.535869140625,40554.554362200004,67566.8665638,0.5063228000000001
3900.0,1.6637206,0.553080078125,40208.1239152,66970.5472072,0.5108718
4000.0,1.7161092,0.516109375,40170.3605774,66635.3231624,0.5111756
4100.0,1.7561672000000002,0.56042578125,40188.538969400004,66428.3921808,0.5227898
4200.0,1.8099903999999998,0.5685703125,40299.4922284,66344.4745698,0.5283372
4300.0,1.8566449999999999,0.585166015625,40339.0052686,66208.863591,0.5288413999999999
4400.0,1.9066622,0.535259765625,40669.76482,66414.319588,0.5288978
4500.0,1.9554499999999997,0.44979882812500005,40765.630499,66354.65427900001,0.5291463999999999
4600.0,1.9951514,0.450208984375,41059.2036602,66580.94869219999,0.5436358
4700.0,2.0496868000000004,0.426171875,41882.802723,67596.8954718,0.5525306000000001
