n_samples,time,memory,MAE,RMSE,R2
100.0,0.6705911999999999,1.444,3.9647886,5.102443599999999,-0.0359004
200.0,1.3903332,2.59,3.5525516,4.5339334000000004,0.14932859999999998
300.0,2.1809978,3.722,3.4016686,4.317469,0.2495306
400.0,3.0076869999999998,4.772,3.2440404000000003,4.1173124,0.3114674
500.0,3.8862156,5.9159999999999995,3.1321414,3.9739068000000004,0.3583694
600.0,4.8673324000000004,6.642,3.0683794,3.8718899999999996,0.3960132
700.0,5.8983897999999995,7.965999999999999,2.9927744,3.7774107999999997,0.4197976
800.0,6.9957656,9.142,2.9346136,3.6996918,0.4405452
900.0,8.1284638,9.274,2.8876186,3.6418662,0.456816
1000.0,9.2166616,10.198,2.8516214,3.594274,0.47156319999999996
1100.0,10.3602276,10.786,2.8304744,3.5596218,0.4882384
1200.0,11.548920599999999,11.608,2.7888216,3.5087054,0.49984219999999996
1300.0,12.7884862,12.068000000000001,2.753584,3.4661022000000004,0.5081918
1400.0,14.010861,13.35,2.7437014,3.4478068,0.5163728
1500.0,15.245808199999999,14.55,2.7234532000000002,3.4193005999999997,0.5253514
1600.0,16.5308368,15.209999999999999,2.7034088,3.3930146,0.532299
1700.0,17.8766862,16.176,2.6854154,3.3735259999999996,0.541338
1800.0,19.275487199999997,15.014,2.6609468,3.345017,0.5477268000000001
1900.0,20.5901416,16.144,2.6446756000000002,3.325306,0.553797
2000.0,21.8581696,16.328,2.630779,3.3081843999999996,0.5587896
2100.0,23.1504868,17.052,2.6194382000000003,3.2928151999999997,0.5634328
2200.0,24.4890446,17.516,2.6056092,3.2755594,0.5685876000000001
2300.0,25.844463,18.574,2.5908324,3.256946,0.5728338
2400.0,27.309902799999996,18.828,2.5810174,3.2438616000000002,0.5762974
2500.0,28.663796400000003,19.607999999999997,2.569837,3.2304564,0.5796918
2600.0,30.117915800000002,20.4,2.5589856,3.2170066,0.5835362
2700.0,31.543034799999997,21.130000000000003,2.541632,3.198185,0.587463
2800.0,33.0240076,21.702,2.5305218,3.1846976,0.591164
2900.0,34.5104368,22.880000000000003,2.5248246,3.1775586000000002,0.5943379999999999
3000.0,36.0101114,23.432,2.5141999999999998,3.1658470000000003,0.5975192
3100.0,37.5190214,23.322,2.5048816,3.1535547999999998,0.6003748
3200.0,39.0319236,23.928,2.4902864,3.1358978,0.6046666
3300.0,40.543833,24.95,2.4776195999999997,3.1226554,0.6072268
3400.0,42.2224556,25.677999999999997,2.4653584,3.1087556,0.6096846
3500.0,43.8703082,26.466,2.4572178,3.0993736,0.6122989999999999
3600.0,45.5062724,26.03,2.4470846,3.0872327999999998,0.6150059999999999
3700.0,47.120489799999994,26.744,2.4401015999999998,3.0775198,0.617537
3800.0,48.726695,27.389999999999997,2.4355104,3.0700426,0.6202262000000001
3900.0,50.3890128,27.951999999999998,2.4268906,3.059349,0.6221998
4000.0,52.13897039999999,28.636000000000003,2.4175454000000003,3.0486224,0.6247988
4100.0,53.7673542,28.968,2.4088518,3.0380782,0.626827
4200.0,55.4418508,29.560000000000002,2.40166,3.0294294,0.6291394
4300.0,57.162749,28.582,2.395905,3.0215389999999998,0.6309448
4400.0,58.8159102,29.427999999999997,2.3910816,3.0143908,0.633066
4500.0,60.500986,28.686,2.3869924,3.0089482,0.6345854
4600.0,62.2003424,29.956,2.3820875999999997,3.0029727999999998,0.6358932
4700.0,63.845057,30.274,2.3761098,2.995227,0.6376118
4800.0,65.5494952,30.560000000000002,2.3660516,2.9837328,0.6402962000000001
4900.0,67.3174956,30.677999999999997,2.3585718,2.9757021999999997,0.6422800000000001
5000.0,69.0250604,30.363999999999997,2.3515501999999997,2.9671344,0.6444146
5100.0,70.8429458,31.432,2.3458534,2.9609099999999997,0.6465563999999999
5200.0,72.5541146,32.141999999999996,2.340508,2.9539482,0.6484872
5300.0,74.2913198,32.124,2.3339164,2.9468722,0.6503124
5400.0,76.088137,32.424,2.3305233999999997,2.9439962,0.6512786
5500.0,77.9272766,33.632,2.3238098000000003,2.9365534,0.6530044
5600.0,79.79694040000001,32.028,2.32009,2.9314796000000003,0.6543722
5700.0,81.5812916,32.844,2.3181072,2.9281194,0.6554986
5800.0,83.36001999999999,34.102,2.312499,2.9217536,0.65685
5900.0,85.14194219999999,34.942,2.3074442,2.9156506,0.6581846
6000.0,87.08860480000001,35.638,2.3024576,2.9099958,0.659697
6100.0,89.093052,35.763999999999996,2.2980138,2.9047662,0.6613806
6200.0,90.98120779999999,36.07,2.2943126,2.899841,0.662482
6300.0,92.9044698,35.948,2.28802,2.8928924,0.6633372000000001
6400.0,94.76263420000001,35.878,2.2855803999999997,2.8893044,0.6643584
6500.0,96.6111044,36.048,2.2839366,2.8864242,0.6654078
6600.0,98.63371140000001,36.802,2.281107,2.8824858,0.6664284
6700.0,100.5152664,36.748000000000005,2.2774448,2.8785600000000002,0.6677261999999999
6800.0,102.3683532,37.178,2.2734251999999997,2.8736623999999997,0.66905
