n_samples,time,memory,MAE,RMSE,R2
100.0,0.0195944,0.20419921875,4.272215,5.241394,-0.075066
200.0,0.059667399999999995,0.22180664062500002,3.6546329999999996,4.677111,0.158015
300.0,0.08399999999999999,0.22571289062500002,3.145058,4.147917,0.274556
400.0,0.12505159999999998,0.22775390624999997,2.860819,3.8084180000000005,0.40435999999999994
500.0,0.1494676,0.22831054687500002,2.762287,3.6494209999999994,0.481607
600.0,0.1906582,0.22849609374999996,2.678749,3.546543,0.517289
700.0,0.2151532,0.2293359375,2.608692,3.437368,0.548234
800.0,0.25767039999999997,0.018759765625,2.577552,3.3960850000000002,0.563976
900.0,0.279704,0.308150390625,2.650247,3.514611,0.527901
1000.0,0.308615,0.37455078125,2.673996,3.516951,0.525166
1100.0,0.33849019999999996,0.398662109375,2.673192,3.5071870000000005,0.520168
1200.0,0.3995158,0.40626953125,2.714708,3.553672,0.513558
1300.0,0.4302098,0.4074316406249999,2.711358,3.5386049999999996,0.514695
1400.0,0.461181,0.41041601562499996,2.690052,3.5170310000000002,0.516798
1500.0,0.4922246,0.41104101562500006,2.671058,3.494323,0.515559
1600.0,0.5384926,0.41111914062500005,2.639853,3.449535,0.522428
1700.0,0.5847462,0.411982421875,2.612653,3.4172509999999994,0.533064
1800.0,0.6157467999999999,0.413642578125,2.590716,3.3908320000000005,0.532085
1900.0,0.6470464,0.413662109375,2.571706,3.3649770000000006,0.541549
2000.0,0.6933362,0.41398046875,2.564609,3.358602,0.545085
2100.0,0.7398058,0.41484375,2.548052,3.336117,0.550061
2200.0,0.770856,0.41544921874999996,2.532594,3.316653,0.552248
2300.0,0.8021976000000001,0.4155566406249999,2.518946,3.3027679999999995,0.554285
2400.0,0.8489713999999999,0.41560546875000004,2.50336,3.279044,0.560231
2500.0,0.8957368000000001,0.41590429687499997,2.485767,3.2573239999999997,0.565737
2600.0,0.9266764000000001,0.41616796875000006,2.471834,3.235857,0.572058
2700.0,0.9580304,0.416958984375,2.466557,3.221457,0.576074
2800.0,1.0048594000000002,0.417486328125,2.446864,3.196035,0.579873
2900.0,1.051676,0.41759375,2.434539,3.177165,0.585018
3000.0,1.0828538,0.417724609375,2.426112,3.169684,0.587815
3100.0,1.1140462,0.41782812500000005,2.417888,3.156312,0.592536
3200.0,1.1609606,0.41791015624999994,2.414296,3.148218,0.59702
3300.0,1.2077524,0.41806640625,2.401698,3.134713,0.601812
3400.0,1.2391002,0.41821875,2.40052,3.129652,0.602458
3500.0,1.2702062,0.41845703125,2.396337,3.116619,0.60799
3600.0,1.3169282,0.418482421875,2.38561,3.104142,0.611716
3700.0,1.363831,0.41856054687500005,2.378881,3.092753,0.61487
3800.0,1.3947078,0.41853125,2.366154,3.078255,0.618935
3900.0,1.425803,0.4189843750000001,2.35871,3.068989,0.621759
4000.0,1.4726607999999999,0.41853125,2.358684,3.065099,0.62358
4100.0,1.5196239999999999,0.41892578125,2.353171,3.057961,0.624921
4200.0,1.5509104,0.419087890625,2.354822,3.053952,0.629075
4300.0,1.582188,0.4191953125,2.348922,3.045933,0.630653
4400.0,1.6291514,0.41935546874999996,2.341773,3.036761,0.632944
4500.0,1.6758651999999998,0.4194628906249999,2.339829,3.032183,0.631991
4600.0,1.7069462000000002,0.4199609375000001,2.337304,3.029311,0.630674
4700.0,1.753892,0.42056640625,2.331733,3.025393,0.631045
