n_samples,time,memory,MAE,RMSE,R2
100,0.0312452,0.207767578125,4.2241164,5.307857599999999,-0.10324979999999999
200,0.08800320000000002,0.23217578125,3.2763556,4.3145778,0.2832514
300,0.12077740000000001,0.3609453125,2.9464576000000005,3.9108486,0.3548372
400,0.16484759999999998,0.381427734375,2.7598650000000005,3.6489476000000005,0.4530388
500,0.231597,0.355171875,2.7079060000000004,3.539846,0.5122002
600,0.27293779999999995,0.43845703125,2.6643748,3.4824794000000003,0.5345432000000001
700,0.328755,0.404642578125,2.6251100000000003,3.4045198,0.5568066
800,0.3825228,0.43854882812499996,2.5973942,3.3756715999999996,0.5691879999999999
900,0.4326202,0.5230761718749999,2.5861548,3.3703962000000005,0.565833
1000,0.48231520000000005,0.5712910156250001,2.606343,3.3900644,0.5587601999999999
1100,0.5384096,0.5540859375,2.5453623999999997,3.3123047999999997,0.571961
1200,0.61243,0.5625878906249999,2.5218124,3.2870988,0.5837247999999999
1300,0.6752472,0.6441757812499999,2.4767446,3.2289090000000003,0.5958403999999999
1400,0.7203984,0.7736640625000001,2.4476620000000002,3.1990828000000002,0.6001277999999999
1500,0.7691380000000001,0.8481796874999998,2.4247568,3.1667616,0.602033
1600,0.8455297999999999,0.72858984375,2.3880538000000002,3.1197880000000002,0.6092748
1700,0.8984816,0.87129296875,2.3628498000000002,3.0911926000000003,0.6178406
1800,0.958844,0.9209765625000002,2.3428844,3.0663858,0.617262
1900,1.0137662,1.0228574218750002,2.3261906000000003,3.0440906,0.6247469999999999
2000,1.0762352,1.0747871093749999,2.3126992,3.0318655999999997,0.6292374000000001
2100,1.142182,1.078,2.2928228,3.0064623999999998,0.6345354
2200,1.210877,1.128,2.2838068000000002,2.992523,0.6354217999999999
2300,1.278315,1.17381640625,2.2736694,2.9817572000000006,0.6366536
2400,1.3558826,1.172919921875,2.2583504,2.962293,0.6410222
2500,1.4203544000000001,1.2979999999999998,2.2488934,2.9467478,0.6445451999999999
2600,1.4956742,1.3139999999999998,2.2368862,2.9298536,0.6491206
2700,1.5636362000000001,1.3960000000000001,2.2274698,2.9144908,0.6529644
2800,1.6319896,1.448,2.2088668,2.8911873999999997,0.656147
2900,1.7146073999999998,1.424,2.1918303999999997,2.8701885999999996,0.6612777999999999
3000,1.7989292,1.43,2.1878832000000004,2.8659376,0.6629714
3100,1.8830008,1.558,2.1881458,2.8622395999999997,0.6648674
3200,1.9613474,1.64,2.1828022000000002,2.8534756000000003,0.6688762
3300,2.0426349999999998,1.734,2.1708794,2.8436232,0.6722682
3400,2.126213,1.798,2.1635996000000004,2.8325686,0.6742834
3500,2.2062154,1.8800000000000001,2.1558362000000004,2.8203602000000005,0.6789124
3600,2.298122,1.8579999999999999,2.1454754,2.8084853999999995,0.6820949999999999
3700,2.3842226,1.932,2.1388570000000002,2.7962102,0.6851225999999999
3800,2.4792043999999995,1.964,2.1302864,2.783495,0.6883535999999999
3900,2.5644658,2.0580000000000003,2.1267354,2.7777477999999998,0.6900731999999999
4000,2.6571302,2.11,2.1223634000000002,2.7721668,0.6920170000000001
4100,2.7554346,2.1399999999999997,2.116117,2.7633092,0.6936384
4200,2.8564734,2.166,2.1127757999999996,2.7561929999999997,0.6977839999999998
4300,2.9497726,2.2399999999999998,2.1034129999999998,2.7444300000000004,0.7000546
4400,3.0540828,2.252,2.097485,2.7351334,0.7021390000000001
4500,3.1502208000000005,2.298,2.0938596,2.7299569999999997,0.7015898
4600,3.2486046,2.3480000000000003,2.0888418,2.7238321999999995,0.7012898
