n_samples,time,memory,MAE,RMSE,R2
100.0,0.0463126,0.2041796875,4.226204,5.340027,-0.11590799999999998
200.0,0.0891496,0.01353515625,3.2632419999999995,4.332945,0.277371
300.0,0.1097292,0.31130859375,2.882849,3.889367,0.362175
400.0,0.1372282,0.380224609375,2.691521,3.607235,0.465628
500.0,0.1664768,0.3983984375,2.630307,3.4904269999999995,0.525792
600.0,0.22550720000000002,0.34658203125,2.570976,3.407023,0.554522
700.0,0.2835246,0.2783984375,2.529627,3.3234699999999995,0.577677
800.0,0.3101444,0.36896484375,2.50399,3.295034,0.589538
900.0,0.35594939999999997,0.2348046875,2.499302,3.294237,0.585248
1000.0,0.3817892,0.392255859375,2.511337,3.3050690000000005,0.580657
1100.0,0.4116714,0.49151367187500006,2.451711,3.225843,0.594064
1200.0,0.461701,0.4962890625,2.429108,3.203286,0.604754
1300.0,0.4951542,0.60267578125,2.384136,3.144485,0.616779
1400.0,0.5315141999999999,0.658701171875,2.354936,3.114965,0.620962
1500.0,0.5851684,0.65453125,2.338236,3.0883,0.621598
1600.0,0.6228714,0.753125,2.296652,3.036403,0.62997
1700.0,0.6787534,0.663505859375,2.264061,3.002825,0.639452
1800.0,0.7165182,0.8392675781250001,2.248716,2.979026,0.638837
1900.0,0.7584185999999999,0.9456738281250001,2.231668,2.954175,0.646653
2000.0,0.803837,1.0,2.21297,2.936653,0.652209
2100.0,0.8501049999999999,1.03,2.203252,2.920475,0.655192
2200.0,0.9133015999999999,0.99,2.191559,2.90241,0.65711
2300.0,0.9600536,1.06,2.179172,2.889743,0.658791
2400.0,1.023372,0.96,2.162069,2.864388,0.664422
2500.0,1.0848106,0.8984765625,2.153534,2.847385,0.668164
2600.0,1.1291354,1.06,2.141852,2.829495,0.672792
2700.0,1.1775926,1.17,2.12899,2.810001,0.677449
2800.0,1.2287573999999999,1.23,2.112742,2.787755,0.680356
2900.0,1.2816754,1.28,2.09374,2.765481,0.685593
3000.0,1.3664524,1.02,2.089549,2.759558,0.687579
3100.0,1.439696,1.08,2.087725,2.75195,0.69025
3200.0,1.4889161999999998,1.25,2.080965,2.740161,0.694714
3300.0,1.5429304,1.38,2.065608,2.730852,0.697804
3400.0,1.6006,1.47,2.054961,2.717458,0.700279
3500.0,1.6862632000000002,1.48,2.051655,2.708274,0.703984
3600.0,1.7463936,1.6,2.042511,2.694826,0.707364
3700.0,1.8343450000000001,1.59,2.035229,2.682201,0.710333
3800.0,1.8973962,1.67,2.024541,2.66709,0.713935
3900.0,1.9632885999999998,1.7399999999999998,2.017895,2.656388,0.716625
4000.0,2.0466826,1.7,2.011841,2.648447,0.718961
4100.0,2.1130832,1.83,2.005468,2.637893,0.720891
4200.0,2.1985754,1.75,2.000666,2.628443,0.725237
4300.0,2.26701,1.8700000000000003,1.99196,2.617612,0.727225
4400.0,2.33988,1.97,1.986527,2.6081,0.729256
4500.0,2.4148262,2.04,1.9814789999999998,2.602262,0.72895
4600.0,2.4918478,2.1,1.976502,2.595518,0.728875
4700.0,2.5706104,2.14,1.9737940000000003,2.591684,0.729247
4800.0,2.6509762,2.19,1.9673120000000002,2.583635,0.730249
4900.0,2.7589098,2.13,1.964351,2.578903,0.730748
5000.0,2.8648608,2.07,1.960715,2.570839,0.73177
5100.0,2.9430896,2.16,1.9623330000000003,2.570632,0.73202
