n_samples,time,memory,MAE,RMSE,R2
100.0,0.1540606,1.1800000000000002,4.416367800000001,5.5105722,-0.18838919999999998
200.0,0.35642399999999996,1.7439999999999998,3.9764358,4.9792238,0.045649
300.0,0.5245067999999999,1.9619999999999997,3.5468781999999996,4.4826049999999995,0.152637
400.0,0.7116198,2.396,3.2578046,4.1643604,0.287688
500.0,0.9033436,2.0300000000000002,3.221637,4.0881232,0.349363
600.0,1.0838801999999998,2.024,3.1955044,4.0385676,0.374016
700.0,1.2666988,2.344,3.1055534000000002,3.9321802,0.4087428
800.0,1.46122,2.258,3.0673928,3.876461,0.4318434
900.0,1.6557746000000002,2.354,3.022641,3.8157584,0.44347640000000005
1000.0,1.8409344,2.54,2.9953886,3.7751462000000005,0.452838
1100.0,2.0400368,2.568,2.92614,3.6905656000000002,0.4686446
1200.0,2.2693339999999997,2.316,2.9101483999999997,3.6675821999999996,0.48183600000000004
1300.0,2.4634603999999998,2.524,2.8724822,3.6139858000000005,0.49375939999999996
1400.0,2.7080702,2.9859999999999998,2.819435,3.558705,0.5052264
1500.0,2.967711,3.322,2.7791256,3.5095052000000004,0.5112964
1600.0,3.187028,2.7199999999999998,2.733816,3.4605945999999994,0.5193192
1700.0,3.3949483999999996,2.98,2.7180624,3.4376494,0.527406
1800.0,3.6063263999999995,3.2060000000000004,2.6793446,3.3961662000000006,0.5305398
1900.0,3.8197504,3.5700000000000003,2.6652388,3.3748620000000003,0.5387718
2000.0,4.0480374,3.9799999999999995,2.6457408,3.3536192,0.5463528
2100.0,4.2784396000000005,4.012,2.6264194,3.3290390000000003,0.5518872
2200.0,4.5102186,4.432,2.6035106,3.302498,0.5559754
2300.0,4.744483,4.544,2.5836183999999998,3.2840748,0.5592304
2400.0,4.9866361999999995,4.634,2.5589294000000002,3.255594,0.5664054000000001
2500.0,5.2274598,4.672,2.5401186,3.2318095999999996,0.5724204
2600.0,5.4697306,4.968,2.5203181999999997,3.2086696000000003,0.5791214
2700.0,5.7247462,5.465999999999999,2.5042596,3.1871582,0.5849504
2800.0,5.9865254,5.662000000000001,2.4795451999999996,3.1620666,0.5886389999999999
2900.0,6.255864,6.04,2.4601048,3.1395412,0.5946602000000001
3000.0,6.526381000000001,5.932,2.4474942,3.1275552,0.5985652
3100.0,6.794491600000001,6.166,2.436578,3.1133821999999998,0.6034052
3200.0,7.0649434,6.508,2.429071,3.1048983999999997,0.607888
3300.0,7.3397346,6.7620000000000005,2.4103144,3.0866178,0.6137938000000001
3400.0,7.62514,6.922,2.400864,3.0737102,0.6164048
3500.0,7.909953400000001,7.37,2.3913488000000003,3.0585726,0.6223186
3600.0,8.2066822,7.674000000000001,2.375647,3.0411498000000003,0.6271808
3700.0,8.5034066,7.9079999999999995,2.3623366,3.0253889999999997,0.6313314
3800.0,8.805831999999999,8.142,2.3487478,3.008636,0.635844
3900.0,9.1080764,8.568000000000001,2.338559,2.9951122,0.6396188
4000.0,9.4119748,8.620000000000001,2.327337,2.983326,0.6432658
4100.0,9.719811199999999,9.026,2.316685,2.9716838,0.6456588
4200.0,10.0318822,9.334,2.31218,2.9620894,0.6509266
4300.0,10.3419162,9.596,2.3012002,2.9483264,0.6538182
4400.0,10.6632686,10.07,2.2905480000000003,2.9347982,0.6570532
4500.0,10.9850608,10.274,2.2824134000000003,2.9250903999999998,0.657402
4600.0,11.345770400000001,10.568000000000001,2.2725668,2.9149486,0.6579098
4700.0,11.6665076,10.858,2.2633614,2.9061488,0.6594328
4800.0,11.991764,10.532,2.2507922000000002,2.8920760000000003,0.6618786
4900.0,12.3118964,10.754000000000001,2.2444788,2.8831748,0.6633456
5000.0,12.639245800000001,10.922,2.2361888,2.8723465999999997,0.6650472
5100.0,12.9657442,11.216,2.2314658,2.8655516,0.666887
5200.0,13.2993366,11.620000000000001,2.2233272,2.8566993999999997,0.6687974
5300.0,13.6385094,12.108,2.2157466,2.8498582,0.669971
5400.0,13.9851144,12.356,2.2107680000000003,2.8413708,0.6721746
5500.0,14.3341544,12.766,2.2008512,2.8299956,0.6735258
5600.0,14.688708600000002,13.032,2.1942794,2.8226535999999998,0.6754638
5700.0,15.042692399999998,13.34,2.1851498,2.8116862,0.6770820000000001
5800.0,15.415537599999999,13.484,2.1790658,2.8048734,0.6793116
5900.0,15.778751199999999,13.722,2.1729962,2.7977782,0.6812418
6000.0,16.146186,13.569999999999999,2.168149,2.791225,0.6835039999999999
6100.0,16.5203946,13.912,2.1621996,2.7835172,0.6863688
6200.0,16.8879606,13.648,2.156363,2.7771055999999996,0.6879426
6300.0,17.251497,14.006,2.1484962,2.7680206,0.6890132
6400.0,17.6266562,14.162,2.1410854,2.758871,0.69151
6500.0,17.9983562,14.4,2.1344732,2.7511181999999996,0.6936479999999999
6600.0,18.381753800000002,14.790000000000001,2.1345042,2.7510646000000003,0.6930346000000001
6700.0,18.7625766,15.203999999999999,2.1275022,2.7424534,0.6946874000000001
6800.0,19.14096,15.34,2.1205856,2.7352378,0.6965825999999999
6900.0,19.519969800000002,15.456,2.1153318,2.7291028,0.6971408
7000.0,19.904731599999998,15.709999999999999,2.1111056,2.7233476,0.6982328
7100.0,20.2957626,15.975999999999999,2.1042978,2.7164848,0.6992284
7200.0,20.6903566,16.308,2.0973018,2.7076288,0.7000352
7300.0,21.086054400000002,16.318,2.0949054,2.703679,0.70125
7400.0,21.4821926,16.451999999999998,2.0886532,2.696746,0.7039404
7500.0,21.884426,16.912,2.083663,2.6913598,0.704372
7600.0,22.2900088,17.174,2.0787266,2.6845672,0.705915
7700.0,22.6924086,16.984,2.074051,2.679283,0.7077422
7800.0,23.0942616,17.272,2.0695232,2.6733324,0.7093102
7900.0,23.4991886,17.562,2.0674074,2.6733378,0.7085564
8000.0,23.908786600000003,17.470000000000002,2.0627760000000004,2.6671742000000003,0.7098764
8100.0,24.313896800000002,17.56,2.057868,2.6610022,0.7107867999999999
8200.0,24.7255608,17.766,2.0553098,2.6574128,0.7122594
8300.0,25.1432544,18.228,2.0530816,2.6529298,0.7135545999999999
8400.0,25.5599244,18.422,2.0484288,2.6472564,0.715232
8500.0,25.971776999999996,18.137999999999998,2.0434457999999998,2.6411046,0.7162493999999999
8600.0,26.3886914,18.19,2.0394422,2.637222,0.7170928
8700.0,26.8057964,18.112000000000002,2.037522,2.6344094,0.7177475999999999
8800.0,27.218046800000003,17.741999999999997,2.0348326,2.631147,0.7188482
8900.0,27.6282066,17.842000000000002,2.0296452,2.6254868,0.7197766
9000.0,28.036547000000002,18.282,2.0300958000000002,2.624981,0.7191928
9100.0,28.4530826,18.448,2.0240014,2.6179528,0.7202021999999999
9200.0,28.8745228,18.746000000000002,2.0227462,2.6158756,0.7205918
9300.0,29.301274999999997,18.978,2.0208654,2.613475,0.7208118
9400.0,29.7322756,19.416,2.0166604,2.6084408,0.7215864
9500.0,30.1572272,19.714,2.013657,2.6046658000000003,0.722255
9600.0,30.592674199999998,19.380000000000003,2.0109424000000002,2.6005262,0.7227796
