n_samples,time,memory,MAE,RMSE,R2
100.0,0.0120412,0.0047265625,6.732716999999999,8.239582,-1.656757
200.0,0.0241132,0.0047265625,6.162852,7.7468580000000005,-1.309937
300.0,0.0362014,0.0049609375,6.165066,7.753898000000001,-1.535033
400.0,0.0483332,0.0049609375,5.985952,7.510425,-1.316455
500.0,0.060468999999999995,0.0049609375,5.988832,7.498517,-1.188578
600.0,0.0726062,0.0049609375,5.894127,7.401791,-1.102569
700.0,0.08474079999999999,0.0049609375,5.984767,7.471186999999999,-1.134229
800.0,0.09687660000000001,0.0049609375,5.985436,7.494089,-1.1232
900.0,0.10902020000000001,0.0049609375,6.03876,7.554016,-1.180892
1000.0,0.12112940000000001,0.0049609375,6.058303,7.588994,-1.210941
1100.0,0.13325579999999998,0.0049609375,6.027972,7.528428,-1.210955
1200.0,0.1453642,0.0049609375,6.013823,7.524814000000001,-1.181061
1300.0,0.1574964,0.0049609375,5.976474,7.515559999999999,-1.189137
1400.0,0.1696194,0.0049609375,5.983284,7.507454,-1.201718
1500.0,0.181744,0.0049609375,5.962975,7.482851999999999,-1.221514
1600.0,0.1938596,0.0049609375,5.927955,7.435295999999999,-1.218782
1700.0,0.20597159999999998,0.0049609375,5.92408,7.429241,-1.20695
1800.0,0.21808239999999998,0.0049609375,5.936658,7.45202,-1.259969
1900.0,0.23019340000000002,0.0049609375,5.934903,7.438862,-1.240484
2000.0,0.242307,0.0049609375,5.936839,7.447024999999999,-1.236552
2100.0,0.25441060000000004,0.0049609375,5.930708,7.434116,-1.234238
2200.0,0.266507,0.0049609375,5.934219,7.4507390000000004,-1.259624
2300.0,0.27861719999999995,0.0049609375,5.93198,7.463545999999999,-1.276103
2400.0,0.2907242,0.0049609375,5.950836,7.476913999999999,-1.28652
2500.0,0.3028108,0.0049609375,5.94603,7.467208000000001,-1.282165
2600.0,0.3149236,0.0049609375,5.948171,7.468386,-1.279604
2700.0,0.3270346,0.0049609375,5.954098,7.469728000000001,-1.279265
2800.0,0.3391538,0.0049609375,5.964299,7.483118,-1.303155
2900.0,0.3512546,0.0049609375,5.955566,7.470192,-1.294108
