n_samples,time,memory,MAE,RMSE,R2
100.0,0.0320768,0.024716796875,48666.1987706,64439.76607500001,-1.3290998
200.0,0.0618618,0.0251171875,46550.7201548,60836.2636012,-1.4137971999999999
300.0,0.090908,0.0251171875,46180.1250882,60216.3390458,-1.4292294
400.0,0.11925999999999999,0.0251171875,45070.1995668,60582.673719,-1.2661864
500.0,0.1475342,0.0251171875,46248.2335662,63361.068764999996,-1.1487614000000002
600.0,0.1758322,0.0251171875,47362.5408872,66609.068713,-1.0243238
700.0,0.20403980000000002,0.0251171875,48307.3379842,70659.77937999999,-0.887077
800.0,0.23227760000000003,0.0251171875,49493.5654032,73515.4219872,-0.8292252
900.0,0.2609276,0.0251171875,49649.430481999996,74331.206494,-0.805077
1000.0,0.28915379999999996,0.0251171875,49397.0059184,74130.28307640001,-0.7982821999999999
1100.0,0.31738120000000003,0.0251171875,49396.727309199996,74429.0536174,-0.7869714
1200.0,0.3456462,0.0251171875,49754.041191799995,75037.8901132,-0.7841020000000001
1300.0,0.3738728,0.0251171875,49660.5383664,74533.5165126,-0.7980198
1400.0,0.402106,0.0251171875,49938.8914084,74907.63063880001,-0.7997944
1500.0,0.430412,0.0251171875,50215.106310799994,75097.5053512,-0.8081963999999999
1600.0,0.45861280000000004,0.0251171875,50398.0716106,75194.8911096,-0.8152535999999999
1700.0,0.48682800000000004,0.0251171875,50369.1943268,75158.7530914,-0.8147768
1800.0,0.5150624,0.0251171875,50181.910161399996,74728.1321132,-0.821208
1900.0,0.5432724,0.0251171875,50035.2855546,74460.48242300001,-0.823359
2000.0,0.5715098000000001,0.0251171875,49666.2201192,73711.4391682,-0.8320576000000001
2100.0,0.5997022000000001,0.0251171875,49517.8485536,73360.0843054,-0.8377658
2200.0,0.6278726,0.0251171875,49611.3569936,73477.7183928,-0.8386276
2300.0,0.6560836,0.0251171875,49452.7114294,73151.3261158,-0.8426745999999999
2400.0,0.6842767999999999,0.0251171875,49422.307168,73021.4074766,-0.8461972
2500.0,0.7125,0.0251171875,49448.4423894,73011.98866619999,-0.8479644000000001
2600.0,0.7407146,0.0251171875,49567.5384638,73462.9149474,-0.8360436
2700.0,0.7689382,0.0251171875,49472.7957764,73420.80893099999,-0.8320024
2800.0,0.7971083999999999,0.0251171875,49474.3224282,73527.2805666,-0.8275704000000002
2900.0,0.8252862000000001,0.0251171875,49699.7027838,74019.5549614,-0.8208894000000001
3000.0,0.8535304,0.0251171875,49658.7909986,74147.0567118,-0.8134356
3100.0,0.8817574,0.0251171875,49626.0453314,74169.3795922,-0.8106446
3200.0,0.9099568,0.0251171875,49593.398907200004,74300.7857488,-0.8036756
3300.0,0.9382044,0.0251171875,49540.7666798,74333.8884924,-0.7995471999999999
3400.0,0.9663983999999999,0.0251171875,49434.775477200004,74136.9970486,-0.8013160000000001
3500.0,0.99458,0.0251171875,49333.95832980001,74056.325971,-0.7988
3600.0,1.0228348,0.0251171875,49318.0052536,73897.5284966,-0.8041086
3700.0,1.0510629999999999,0.0251171875,49249.186803200006,73638.84851780001,-0.8104348
3800.0,1.0795006,0.0251171875,49215.4538694,73460.7171772,-0.8155927999999999
3900.0,1.1077152,0.0251171875,49077.364301400004,73282.0638942,-0.8148184
4000.0,1.135883,0.0251171875,48920.9638476,73080.064939,-0.8139252000000001
4100.0,1.1640742,0.0251171875,48916.192928000004,73288.3469846,-0.805232
4200.0,1.192282,0.0251171875,48926.5511234,73223.33796860001,-0.8083221999999999
4300.0,1.2204466,0.0251171875,48821.6413224,73199.3127368,-0.8031995999999999
4400.0,1.248636,0.0251171875,48726.8809764,73034.5645504,-0.8042692
4500.0,1.2768318,0.0251171875,48724.98857080001,73097.81479120001,-0.8015222
4600.0,1.305001,0.0251171875,48605.744992,73048.4696528,-0.7966666
4700.0,1.3332054,0.0251171875,48524.9444878,73089.5593258,-0.7903764
4800.0,1.3613941999999999,0.0251171875,48456.726804399994,72985.85781799999,-0.7905462
4900.0,1.3895414,0.0251171875,48475.056507,73002.427235,-0.7908042
5000.0,1.4178014,0.0251171875,48551.1541616,73285.8335922,-0.7838692
5100.0,1.4459684,0.0251171875,48512.1796832,73297.10904659999,-0.7812494
5200.0,1.4741608,0.0251171875,48487.9265166,73385.571532,-0.776546
5300.0,1.5023488,0.0251171875,48291.4602348,73121.4305246,-0.775875
5400.0,1.530505,0.0251171875,48156.5311282,72913.02467,-0.7764192
5500.0,1.5586904000000001,0.0251171875,48115.352295000004,72808.3347692,-0.7781526
5600.0,1.5869262,0.0251171875,48016.4383542,72793.15470380001,-0.7733558
5700.0,1.6151176,0.0251171875,47969.6469868,72815.0256182,-0.7699819999999999
5800.0,1.6432901999999998,0.0251171875,47950.650386,72733.58341240001,-0.7719802
5900.0,1.6714756000000002,0.0251171875,47866.4126948,72611.7125918,-0.7719992
6000.0,1.6996506,0.0251171875,47824.1081154,72542.3619936,-0.7722912
6100.0,1.7278284,0.0251171875,47679.738583599996,72321.33105840001,-0.7728151999999999
6200.0,1.7560293999999999,0.0251171875,47619.004295599996,72193.77419980001,-0.7743166
6300.0,1.7842732000000001,0.0251171875,47554.0192384,72121.9618782,-0.7734821999999999
6400.0,1.8124234000000001,0.0251171875,47493.0489734,72113.7033044,-0.7704519999999999
6500.0,1.8405991999999998,0.0251171875,47473.905125200006,72137.43221219999,-0.768336
6600.0,1.8687995999999998,0.0251171875,47405.2500858,72060.5568628,-0.7674478
6700.0,1.8969698000000002,0.0251171875,47338.0372998,71943.6329024,-0.7681848
6800.0,1.9251178,0.0251171875,47307.0077982,71943.3956934,-0.7665326
6900.0,1.9533809999999998,0.0251171875,47295.5937596,71903.541126,-0.7673524
7000.0,1.9815528,0.0251171875,47265.0927256,71818.1915454,-0.7688706
7100.0,2.0097988,0.0251171875,47117.3084132,71609.338841,-0.7688699999999999
7200.0,2.0380074,0.0251171875,46971.40988,71391.302502,-0.769301
7300.0,2.0661791999999997,0.0251171875,46866.8420408,71246.33945619999,-0.769156
7400.0,2.094399,0.0251171875,46839.656528,71211.280347,-0.768929
7500.0,2.1226081999999997,0.0251171875,46813.349897399996,71147.926434,-0.7696685999999999
7600.0,2.1507650000000003,0.0251171875,46731.5162196,71025.0007308,-0.7698235999999999
7700.0,2.1789492,0.0251171875,46657.1154068,70895.8817086,-0.7706768
7800.0,2.2071646,0.0251171875,46666.07299,70984.9082512,-0.7676052
7900.0,2.2353294,0.0251171875,46647.0121774,71043.70308199999,-0.7642178000000001
8000.0,2.2635066000000004,0.0251171875,46577.5920104,70971.468534,-0.7631515999999999
8100.0,2.2916724000000004,0.0251171875,46433.7175696,70761.8839316,-0.763388
8200.0,2.3198458,0.0251171875,46313.353268399995,70595.3456686,-0.7633072000000001
8300.0,2.3480556,0.0251171875,46203.026749,70473.1153418,-0.7620934
8400.0,2.3762494,0.0251171875,46139.2728784,70450.1692968,-0.7594632
8500.0,2.4043942,0.0251171875,46170.0983004,70632.2021924,-0.7540444
8600.0,2.4325964,0.0251171875,46189.244448,70789.8782368,-0.7489497999999999
8700.0,2.460736,0.0251171875,46135.300079199995,70783.1268268,-0.7463371999999999
8800.0,2.4889400000000004,0.0251171875,46053.5927408,70668.19079200001,-0.7462492000000001
8900.0,2.517146,0.0251171875,45963.9054998,70578.40609959999,-0.7448212
9000.0,2.5452832,0.0251171875,45877.403856799996,70464.6209624,-0.7444227999999999
9100.0,2.5735264,0.0251171875,45810.435895999995,70388.4970012,-0.743659
9200.0,2.6017332,0.0251171875,45766.2376648,70360.437562,-0.7421490000000001
9300.0,2.629892,0.0251171875,45779.9792092,70485.889513,-0.7382106
9400.0,2.6581012,0.0251171875,45671.2597268,70381.01124559999,-0.7364314000000001
9500.0,2.6862839999999997,0.0251171875,45618.4242296,70342.721167,-0.7351466
9600.0,2.714436,0.0251171875,45522.7558258,70266.190754,-0.7330112
9700.0,2.7426106,0.0251171875,45462.7696136,70333.0593094,-0.7275978000000001
9800.0,2.7708006000000003,0.0251171875,45398.2586476,70309.9045016,-0.7251938
9900.0,2.7989896,0.0251171875,45358.819632,70360.496465,-0.721362
10000.0,2.8271576,0.0251171875,45341.641967799995,70402.1821642,-0.7189144000000001
10100.0,2.8553678,0.0251171875,45293.3680156,70406.619653,-0.7162808
10200.0,2.8836016,0.0251171875,45237.3847704,70348.57593040001,-0.715373
10300.0,2.9117856,0.0251171875,45159.1842638,70263.8183128,-0.7144465999999999
10400.0,2.9399688,0.0251171875,45152.326333799996,70318.46306159999,-0.7120862
10500.0,2.9681806,0.0251171875,45129.5422012,70266.30683799999,-0.712718
10600.0,2.9963574,0.0251171875,45078.352549799994,70260.9540192,-0.710307
10700.0,3.0246018,0.0251171875,45045.0258056,70259.9388204,-0.7085982
10800.0,3.0527766,0.0251171875,44999.4323614,70267.1395476,-0.7059696
10900.0,3.0809454,0.0251171875,44955.7131458,70275.36442879999,-0.7034428
11000.0,3.1091552,0.0251171875,44870.3865562,70141.9340692,-0.703837
11100.0,3.1373664,0.0251171875,44848.800766,70115.1292034,-0.7035754
11200.0,3.1654954,0.0251171875,44827.4199328,70072.403478,-0.7038864
11300.0,3.1937234,0.0251171875,44804.0472676,70062.5196968,-0.7029726000000001
11400.0,3.2218796,0.0251171875,44736.741657399994,69973.34175559999,-0.702698
11500.0,3.2500216,0.0251171875,44700.8056158,69968.89954299999,-0.7009728
11600.0,3.278196,0.0251171875,44670.443461,70017.84003980001,-0.6977468
11700.0,3.306371,0.0251171875,44586.950743,69969.5778196,-0.6953777999999999
11800.0,3.3345358,0.0251171875,44555.0096024,70071.9423912,-0.6903538
11900.0,3.3627194000000005,0.0251171875,44491.329920000004,70007.312672,-0.6894202
12000.0,3.3909464,0.0251171875,44389.4203288,69889.634141,-0.6884876
12100.0,3.4191006,0.0251171875,44326.808159199994,69843.593777,-0.6869298
12200.0,3.4473566,0.0251171875,44235.863045,69716.7455194,-0.68678
12300.0,3.475525,0.0251171875,44162.287534799994,69603.54939279999,-0.6870564
12400.0,3.5036918,0.0251171875,44068.0123816,69476.1547762,-0.68686
12500.0,3.5318632,0.0251171875,44014.9968686,69501.0416248,-0.6834382
