n_samples,time,memory,MAE,RMSE,R2
100.0,0.0426866,0.172857421875,29603.533215000003,45272.756292599996,-0.15014339999999998
200.0,0.1094648,0.07463671875,26470.005884399998,40130.6308104,-0.052023799999999995
300.0,0.1392006,0.17705078125,24696.0472652,38075.027422600004,0.026171800000000002
400.0,0.18792040000000002,0.10198242187499999,23688.2437404,38999.8186912,0.0701498
500.0,0.21861440000000001,0.19775390625,24366.4822778,40562.9513054,0.12103040000000001
600.0,0.2621528,0.150046875,25508.254324999998,44120.9968784,0.1104498
700.0,0.2938692,0.2218046875,26757.5611392,49043.3762368,0.0914092
800.0,0.33313519999999996,0.17216796875,28548.951106,59561.8094222,-0.2891192
900.0,0.36955020000000005,0.259822265625,28730.2321544,59112.147905800004,-0.20462039999999998
1000.0,0.40150420000000003,0.31393359374999996,28451.4190732,57965.4261638,-0.16802080000000003
1100.0,0.44580460000000005,0.3030390625,28343.8789626,57318.8942868,-0.10492859999999997
1200.0,0.4848498,0.336828125,28839.622081600002,60933.6823152,-0.2240332
1300.0,0.5304553999999999,0.316595703125,28398.4980302,59436.77496539999,-0.186727
1400.0,0.5640502000000001,0.401146484375,28248.2300016,58678.3473706,-0.139418
1500.0,0.6039684000000001,0.42695703125,28310.1205214,57999.366449,-0.11276399999999998
1600.0,0.6453742,0.44141796875,28124.4991326,57282.532808200005,-0.08252020000000002
1700.0,0.6847766,0.46301367187500003,28024.2408162,56700.3371662,-0.06143259999999999
1800.0,0.7302104,0.4469101562500001,27828.088611000003,55912.478574199995,-0.0427206
1900.0,0.787598,0.41180664062499994,27702.6717032,55331.771155400005,-0.031605400000000006
2000.0,0.8273541999999999,0.44665429687499997,27445.9949404,54519.799575,-0.025644800000000002
2100.0,0.8705462,0.462369140625,27265.901701000003,53852.8066292,-0.011488199999999994
2200.0,0.9140012000000001,0.48575390625,27167.838108199998,53492.3170438,0.005859999999999988
2300.0,0.9531497999999999,0.535529296875,26873.440796600004,52853.534936,0.0205714
2400.0,0.9933316,0.5821835937500001,26743.5157114,52434.111400199996,0.030422400000000006
2500.0,1.0401128,0.594900390625,26615.231013400004,52058.1663832,0.04361
2600.0,1.0858332000000002,0.6261953124999999,26663.2863298,52114.0089056,0.0615696
2700.0,1.1258692,0.68446875,26593.4105486,52036.1457176,0.06444819999999998
2800.0,1.1734576,0.677263671875,26584.8195488,51883.95390080001,0.077406
2900.0,1.2151302,0.729408203125,26613.121753000003,51889.0169356,0.0943382
3000.0,1.2622288000000002,0.7382597656250001,26559.712256599996,51819.5441354,0.10287660000000001
3100.0,1.308229,0.779943359375,26426.4545356,51499.422865199995,0.1153024
3200.0,1.3582982,0.799298828125,26326.675961200002,51377.300950599994,0.1277298
3300.0,1.4090099999999999,0.8264921875000001,26296.538870200002,51323.347679599996,0.1321474
3400.0,1.463006,0.8248925781249999,26174.082280399998,50989.44334,0.1382516
3500.0,1.5217396,0.818369140625,26108.950741200002,50813.8535402,0.14447020000000002
3600.0,1.5807016,0.8317890625000001,25981.397605,50449.2223456,0.15099639999999998
3700.0,1.631954,0.838525390625,25852.3153772,50054.355686200004,0.1555354
3800.0,1.679531,0.8763359375,25718.09088,49692.7957768,0.161695
3900.0,1.731214,0.894587890625,25593.1505512,49459.0258152,0.16555
4000.0,1.7914290000000002,0.873884765625,25484.232697,49234.5213764,0.168368
