n_samples,time,memory,MAE,RMSE,R2
100.0,0.0206038,0.2085546875,5.968057,7.660149,-0.286274
200.0,0.0711638,0.10017578125,4.244118,6.00824,0.177191
300.0,0.09321779999999999,0.21731445312500003,3.091544,4.978808,0.405133
400.0,0.1343596,0.014169921875,2.451156,4.350162,0.560711
500.0,0.1546878,0.3118359375,2.0719,3.930893,0.638376
600.0,0.181789,0.3812109375,1.837589,3.6233739999999997,0.70137
700.0,0.2101622,0.398173828125,1.685746,3.4042769999999996,0.739017
800.0,0.25448180000000004,0.23523437500000002,1.571723,3.2180109999999997,0.768891
900.0,0.3078548,0.37099609375,1.456499,3.058579,0.789277
1000.0,0.3358762,0.45716796875,1.371256,2.931776,0.8085570000000001
1100.0,0.3658242,0.51083984375,1.302962,2.818288,0.824526
1200.0,0.42504,0.410224609375,1.247169,2.722438,0.833054
1300.0,0.454413,0.515693359375,1.193715,2.633215,0.843869
1400.0,0.5020477999999999,0.459130859375,1.151448,2.561929,0.852142
1500.0,0.5328288,0.56611328125,1.124366,2.499112,0.8590690000000001
1600.0,0.5822416,0.451240234375,1.072087,2.421884,0.867532
1700.0,0.6128214,0.683330078125,1.031904,2.357142,0.875955
1800.0,0.6501364000000001,0.7674609375,1.001613,2.306576,0.880647
1900.0,0.6885812,0.8041113281250001,0.977822,2.261683,0.884432
2000.0,0.7434604,0.7608203125,0.952744,2.214401,0.8890499999999999
2100.0,0.7824006000000001,0.87544921875,0.945171,2.189203,0.891667
2200.0,0.8237622,0.9282031249999999,0.933709,2.155534,0.894643
2300.0,0.8661038,0.96,0.917721,2.120839,0.898757
2400.0,0.9246116000000001,0.919814453125,0.905128,2.091212,0.901651
2500.0,0.9929608,0.9037890624999999,0.8929539999999999,2.060179,0.903986
2600.0,1.0345914,1.04,0.877956,2.029526,0.906982
2700.0,1.1094164,0.8707910156250002,0.8643240000000001,2.004036,0.909431
2800.0,1.149798,1.05,0.852154,1.981542,0.91167
2900.0,1.1945446,1.15,0.8385149999999999,1.956184,0.915105
3000.0,1.2412508,1.23,0.8328580000000001,1.936982,0.9168369999999999
