n_samples,time,memory,MAE,RMSE,R2
100.0,0.08211399999999999,0.344900390625,34.6702608,44.819019000000004,-0.0998338
200.0,0.20028980000000002,0.449173828125,35.0085384,45.243571599999996,-0.09417479999999999
300.0,0.2898328,0.5094023437499999,35.265482199999994,48.0236534,-0.24160379999999998
400.0,0.42097480000000004,0.55299609375,35.9584904,52.246406,-0.5105332
500.0,0.513623,0.587048828125,36.5996438,53.108364200000004,-0.5316344
600.0,0.6518738,0.613802734375,37.808286599999995,58.59729539999999,-0.8273923999999999
700.0,0.7457388,0.636587890625,38.138566,56.841828199999995,-0.7146572
800.0,0.8904078,0.6654921875,38.0989598,55.601822000000006,-0.6547226
900.0,0.9858646,0.7018164062500001,38.104786000000004,54.267648799999996,-0.5855238
1000.0,1.1371778,0.7367734374999999,38.073597,53.1154136,-0.5324
1100.0,1.234997,0.764376953125,38.0792258,52.176135599999995,-0.48736180000000007
1200.0,1.3925644,0.79212109375,38.069719199999994,51.3996942,-0.44876000000000005
1300.0,1.4911584,0.8129570312500001,38.0405606,50.7307088,-0.41539080000000006
1400.0,1.6549418,0.831013671875,38.072456,50.2028278,-0.386021
1500.0,1.753913,0.8456816406249998,38.1911916,49.8059324,-0.3590002
1600.0,1.9208776,0.86415625,38.2225004,49.3917124,-0.33674119999999996
1700.0,2.0210428,0.883083984375,38.098648600000004,48.8765398,-0.31930559999999997
1800.0,2.1999462000000003,0.8984628906250001,38.0662618,48.5001522,-0.3024866
1900.0,2.3007612,0.9141621093750001,38.0786456,48.2181242,-0.28643399999999997
2000.0,2.4735264,0.9254843749999999,37.9942074,47.853704799999996,-0.2734398
2100.0,2.5746758,0.937380859375,38.079351599999995,47.691978600000006,-0.2594862
2200.0,2.7503622,0.9497734375,38.1380404,47.507624799999995,-0.2473512
2300.0,2.8536404,0.962,38.081435,47.2386606,-0.23743279999999997
2400.0,3.0319727999999997,0.9800000000000001,38.019460200000005,46.966117,-0.2286592
2500.0,3.134785,0.99,38.0014832,46.7566734,-0.21983360000000002
2600.0,3.3160643999999997,0.9960000000000001,37.9990994,46.5776276,-0.211414
2700.0,3.4191684,1.006,38.123154,46.5534576,-0.2023748
2800.0,3.6016462000000002,1.016,38.1587626,46.4561762,-0.194777
2900.0,3.7069894,1.028,38.282927799999996,46.4325326,-0.187133
3000.0,3.8927644,1.034,38.321973400000005,46.345144,-0.1804608
3100.0,3.9970976,1.046,38.2449492,46.1550266,-0.175405
3200.0,4.1837488,1.054,38.236525,46.0216468,-0.1702118
3300.0,4.288341,1.062,38.1704858,45.8526716,-0.16559859999999998
3400.0,4.4785686,0.0458984375,38.1979692,45.771734200000004,-0.1605688
3500.0,4.5574129999999995,0.41086328125,38.09462,45.6478272,-0.15465520000000002
3600.0,4.644171,0.5332656250000001,37.864423,45.3624824,-0.1427126
3700.0,4.7621492,0.4382890625,37.648291,45.1157618,-0.13272820000000002
3800.0,4.8597006,0.6311718749999999,37.435026,44.848984,-0.1221322
3900.0,4.953265,0.7624296875000001,37.217517,44.706875600000004,-0.1177442
4000.0,5.049912000000001,0.8560117187499999,36.8964606,44.4116378,-0.104137
4100.0,5.1653116,0.9343574218749999,36.716863599999996,44.609058,-0.1138254
4200.0,5.3036986,1.012,36.6641842,45.6554716,-0.1733438
4300.0,5.4144689999999995,1.07,36.552599,45.921993199999996,-0.1899366
4400.0,5.518634799999999,1.1199999999999999,36.4594012,45.7288048,-0.17944
4500.0,5.6553982000000005,1.156,36.3372588,45.521358,-0.16742680000000001
4600.0,5.7848086,1.066,36.2546996,45.3425044,-0.1574348
