n_samples,time,memory,MAE,RMSE,R2
100,0.07790680000000001,0.335908203125,39.045203,48.2571188,-0.2721348
200,0.1934674,0.28862890625000004,38.319233999999994,46.4225078,-0.11807920000000001
300,0.2818096,0.404228515625,36.3090258,44.4528102,-0.039305599999999996
400,0.3828918,0.41287695312500006,35.387724399999996,43.3355162,0.0103854
500,0.4752582,0.5247910156250001,34.4413098,42.1531606,0.05884360000000001
600,0.587861,0.49055664062500004,33.6146948,41.192227,0.10486200000000001
700,0.6852934,0.564232421875,33.14045660000001,40.613688,0.1289268
800,0.7971728,0.60025390625,32.392252,39.910176199999995,0.14895619999999998
900,0.8950312,0.70830078125,31.6895852,39.265479400000004,0.1693402
1000,1.004354,0.8264941406249999,31.3645382,38.897975,0.1776544
1100,1.1382956000000002,0.7484999999999999,30.737263800000004,38.2828028,0.1979652
1200,1.2416832,0.8983808593750002,30.134093200000002,37.691488400000004,0.2191586
1300,1.3583174,0.9434707031250001,29.5059764,37.0683624,0.2416518
1400,1.4633740000000002,0.9475117187500001,28.98135,36.5574318,0.26183619999999996
1500,1.6045918000000001,0.83046875,28.534137800000003,36.1134422,0.281969
1600,1.722204,0.95672265625,28.0388254,35.6583964,0.2995164
1700,1.8300316000000003,1.12893359375,27.5003822,35.199225600000005,0.3115382
1800,1.9524180000000002,1.20141015625,27.1167782,34.8653444,0.32249
1900,2.1102830000000004,1.200494140625,26.760131,34.578536199999995,0.33398399999999995
2000,2.2351876,1.2907578124999999,26.499489599999997,34.36962179999999,0.3386856
2100,2.3504636000000003,1.4016503906250002,26.1954074,34.0659626,0.35342700000000005
2200,2.4797941999999997,1.444,25.874469799999996,33.763478199999994,0.366239
2300,2.6327232,1.4540000000000002,25.672344399999997,33.6030712,0.3702546
2400,2.7826418,1.436,25.4093316,33.3777394,0.3755884
2500,2.9105446,1.5580000000000003,25.0886596,33.08305560000001,0.3856868
2600,3.0476108,1.6280000000000001,24.760003599999997,32.8034292,0.39527900000000005
2700,3.1825028,1.672,24.5305862,32.6074012,0.40660999999999997
2800,3.3163007999999996,1.754,24.331301200000002,32.440136,0.4139774
2900,3.4575996000000004,1.684,24.115168399999998,32.277698199999996,0.4230906
3000,3.607808,1.706,23.899623199999997,32.0788256,0.4310494
3100,3.7481471999999996,1.766,23.70339,31.9111804,0.4348412
3200,3.9005418,1.6560000000000001,23.477918,31.720673799999997,0.4407506
3300,4.030822,1.722,23.24855,31.526144600000002,0.44574420000000003
3400,4.164453,1.818,23.091017799999996,31.406563800000004,0.4504796
3500,4.327157,1.7440000000000002,22.912320799999996,31.268667999999998,0.45507220000000004
3600,4.456451599999999,1.8579999999999999,22.7606814,31.1428958,0.4583072
3700,4.5940106,1.9299999999999997,22.5818454,30.989025199999997,0.4626735999999999
3800,4.7307334,2.0100000000000002,22.3592738,30.803589,0.4678386
3900,4.8949254,1.9439999999999997,22.233548400000004,30.7017614,0.4699134000000001
4000,5.041705400000001,2.0460000000000003,22.0794262,30.554562999999995,0.474511
4100,5.1969678,2.088,21.917355800000003,30.416778,0.479493
4200,5.3541784,2.1100000000000003,21.8123378,30.335321399999998,0.480808
4300,5.525093399999999,2.074,21.684925200000002,30.248953999999998,0.4824752
4400,5.6734082,2.182,21.5877106,30.1586292,0.4857692
4500,5.8277186,2.222,21.4763002,30.0454718,0.49017900000000003
4600,5.9832412,2.276,21.3852932,29.9501074,0.49372059999999995
4700,6.132383,2.374,21.2483844,29.8192754,0.4981006
4800,6.2821016,2.502,21.1664424,29.759566200000002,0.5001572000000001
4900,6.4396254,2.6159999999999997,21.059317600000004,29.665947799999998,0.5037856
5000,6.6215698000000005,2.488,20.9479816,29.573987,0.5047784
5100,6.796391799999999,2.4419999999999997,20.838265800000002,29.4821282,0.5067299999999999
5200,6.959648799999999,2.4859999999999998,20.7507394,29.405810199999998,0.5080432
5300,7.137862799999999,2.482,20.66675,29.321313999999994,0.5115992
5400,7.290135599999999,2.5700000000000003,20.5651906,29.2313244,0.5141726
5500,7.4390643999999995,2.712,20.4348628,29.110235199999998,0.5180526
5600,7.6208004,2.694,20.3191298,29.003462000000003,0.5210277999999999
5700,7.776229600000001,2.6979999999999995,20.2322524,28.936004000000004,0.5228548
5800,7.9558295999999995,2.728,20.1014454,28.809074199999998,0.5265877999999999
5900,8.125511800000002,2.7,19.9728914,28.673765600000003,0.5310994
6000,8.2965332,2.7359999999999998,19.868796,28.5657034,0.5342960000000001
6100,8.456154000000002,2.712,19.764477199999998,28.4614054,0.5373038
6200,8.611895,2.8139999999999996,19.655280600000005,28.366938800000003,0.5401605999999999
6300,8.7896216,2.8560000000000003,19.587191999999998,28.317226999999995,0.5414526000000001
6400,8.958351799999999,2.988,19.4906022,28.2270294,0.5440446
6500,9.1339134,3.08,19.4091668,28.138903,0.5471104
6600,9.3153114,3.074,19.306509600000002,28.050541399999997,0.5501853999999999
6700,9.4977114,3.136,19.2197438,27.9738382,0.5520734
6800,9.692476,3.04,19.1087604,27.8571234,0.5552722000000001
6900,9.8794228,3.098,19.0094352,27.773531999999996,0.5586304
7000,10.0529682,3.18,18.909084200000002,27.690805599999997,0.5619449999999999
7100,10.2191144,3.2619999999999996,18.8052848,27.592613,0.5655384
7200,10.406779,3.2560000000000002,18.7086252,27.500442600000003,0.5684588
7300,10.584854000000002,3.2840000000000003,18.6295014,27.4276722,0.5705316
7400,10.7731958,3.3,18.547574400000002,27.363866199999997,0.5719928000000001
