n_samples,time,memory,MAE,RMSE,R2
100.0,0.038588,0.28053125,4.6273656,5.818894,-0.1858236
200.0,0.10399119999999999,0.32091796875,4.3950818,5.5091296,-0.10052520000000001
300.0,0.147565,0.357427734375,4.649797,5.885646400000001,-0.05789180000000001
400.0,0.22410040000000003,0.397541015625,4.863708,6.106245599999999,-0.040787000000000004
500.0,0.2747786,0.41471093750000004,4.927429,6.1946612000000005,-0.0318126
600.0,0.35900879999999996,0.42374999999999996,4.9068334,6.172352399999999,-0.0268196
700.0,0.41222080000000005,0.43231640625,5.0726582,6.4222826,-0.0216216
800.0,0.49813740000000006,0.441681640625,5.1741008,6.5609976,-0.0182096
900.0,0.5517350000000001,0.443998046875,5.1571098,6.5284146,-0.016429
1000.0,0.6398780000000001,0.44778515625,5.1080056,6.4795674000000005,-0.015035199999999999
1100.0,0.6937344,0.451580078125,5.1072494,6.478374,-0.013745000000000002
1200.0,0.7808458,0.45287109374999995,5.0941082,6.4605092,-0.012733
1300.0,0.8348856,0.453865234375,5.043497,6.4111496,-0.0119684
1400.0,0.922804,0.45627734374999995,5.022755200000001,6.3922992,-0.011224799999999998
1500.0,0.9775784,0.459802734375,5.0235194,6.3897934,-0.010520999999999999
1600.0,1.0656834,0.4602109375,4.9969018,6.352382,-0.010013
1700.0,1.119984,0.463248046875,4.9699212,6.3361716,-0.0095008
1800.0,1.2089,0.46542773437499996,4.9858246,6.3782702,-0.0088842
1900.0,1.2627608000000001,0.46774609375000004,5.010592,6.417232,-0.0083536
2000.0,1.3526818,0.469994140625,5.023353,6.428687999999999,-0.007926800000000001
2100.0,1.4074728,0.47127539062499996,5.063091999999999,6.4796874,-0.0074518
2200.0,1.4969988,0.47441796875,5.1101668,6.5448164,-0.0070006
2300.0,1.5513,0.47711328125,5.1447132,6.591453799999999,-0.0066272
2400.0,1.6411964,0.47740234375,5.1447348,6.589634800000001,-0.006368400000000001
2500.0,1.6968530000000002,0.477951171875,5.173733,6.6193448,-0.006082
2600.0,1.78715,0.479171875,5.1850694,6.632625,-0.0058373999999999995
2700.0,1.8417594000000002,0.4810625,5.190849200000001,6.631756,-0.0056354000000000005
2800.0,1.9324946,0.48157812499999997,5.210407,6.6413253999999995,-0.005434
2900.0,1.9870857999999998,0.48302539062500005,5.2312704,6.658926200000001,-0.0052308
3000.0,2.0786618,0.48381445312500004,5.2550718000000005,6.690551000000001,-0.0050152
3100.0,2.13347,0.4842890625,5.2482514,6.678367,-0.0048848
3200.0,2.2242812,0.48458398437500005,5.258024000000001,6.67945,-0.0047416
3300.0,2.2793418,0.48486914062500003,5.2684424,6.684139,-0.004605199999999999
3400.0,2.3715546,0.038095703125,5.2528148,6.663095799999999,-0.0045027999999999995
3500.0,2.4111442,0.361138671875,5.241847,6.649695400000001,0.000984
3600.0,2.4579224,0.446630859375,5.2075584,6.6085386,0.014388999999999999
3700.0,2.506726,0.48513671875000003,5.183961200000001,6.5777906,0.0240962
3800.0,2.5745248,0.5017871093749999,5.1742902,6.557411,0.026994800000000003
3900.0,2.6257913999999998,0.513880859375,5.1566702,6.5377864,0.034017000000000006
4000.0,2.695627,0.53222265625,5.1320878,6.510602400000001,0.046544
4100.0,2.7676506,0.52137109375,5.1096128,6.4834536,0.0516166
4200.0,2.8181302,0.53444140625,5.103987200000001,6.4705292,0.0544512
4300.0,2.890774,0.43631835937499996,5.0996102,6.463243,0.0566366
4400.0,2.9401506,0.508568359375,5.1139756,6.4808504,0.0548454
4500.0,3.0120096,0.534361328125,5.119175,6.4884113999999995,0.0497852
4600.0,3.068204,0.5500624999999999,5.1284744,6.4976796,0.0447806
4700.0,3.124024,0.539607421875,5.1364968,6.5022098,0.045039800000000005
4800.0,3.1976324,0.557123046875,5.1443096,6.5086038,0.0458762
4900.0,3.2612238,0.5664296875,5.1435674,6.5069102,0.0419226
5000.0,3.3227424,0.5734765625,5.141353,6.502293399999999,0.0411904
5100.0,3.3914541999999996,0.5821171875,5.146857,6.505312399999999,0.0461782
5200.0,3.4551976000000004,0.587583984375,5.1461166,6.5028012,0.046738199999999994
5300.0,3.5080405999999997,0.59203515625,5.1589448,6.5140304,0.04279380000000001
5400.0,3.5867848,0.59544921875,5.1617863999999996,6.5123498,0.0422638
5500.0,3.6589234,0.601361328125,5.1627418,6.5135407999999995,0.045117
5600.0,3.712545,0.60380078125,5.1652884,6.5126872,0.0457646
5700.0,3.7956423999999997,0.60618359375,5.1738,6.520737200000001,0.0432492
5800.0,3.8493302,0.6107402343749999,5.1715922,6.5190356000000005,0.0425012
5900.0,3.9087296,0.583919921875,5.1668642,6.510656800000001,0.0428018
6000.0,3.9935478000000004,0.613814453125,5.170785400000001,6.5108962,0.0404456
6100.0,4.0584432,0.62999609375,5.1731966,6.5109166,0.0414062
6200.0,4.1172674,0.6431875,5.178637,6.516872599999999,0.045994
6300.0,4.1933506000000005,0.6536230468750001,5.1790076,6.5183431999999994,0.0479712
6400.0,4.2541066,0.65878515625,5.1759182,6.513804,0.0476088
6500.0,4.3134926,0.663958984375,5.171238,6.5118616000000005,0.050304
