n_samples,time,memory,MAE,RMSE,R2
0.0,0.02285256810076277,0.15896540504147436,2.073644135332785e-06,7.635443667528432e-06,0.24666240981795343
0.0,0.0322835971617167,0.5846537436808215,4.324349662087933e-06,5.7619441163551645e-06,0.09435578138990745
0.0,0.042686877054898376,0.5409251334519408,1.0954451150103304e-06,3.768288736283352e-06,0.07804634030049072
0.0,0.0473198013573598,0.6026856560430157,2.30217288664426e-06,4.14728827066554e-06,0.04898825385028537
0.0,0.055998106613527554,0.6563002361724396,1.5811388300841921e-06,2.6832815729997414e-06,0.04357663904777421
0.0,0.055384589249176525,0.5741515479383469,5.787918451395106e-06,2.5680732076792522e-05,0.19431287340832568
0.0,0.06778255658869774,0.7908033889659298,4.415880433163922e-06,1.1256109452204185e-05,0.0899780378914766
0.0,0.07829052491649297,0.6812268344685195,3.962322551231791e-06,1.0401922899156673e-05,0.06560403533091541
0.0,0.08195291325023153,0.5598481937096874,3.391164991562635e-06,1.1401754250991408e-05,0.05502095667743337
0.0,0.08778800818562864,0.7695258280265841,2.3452078799117068e-06,9.710818709048156e-06,0.04772361803656551
0.0,0.09474288501676575,0.6989420576843259,2.880972058177579e-06,9.071934744033387e-06,0.04525114112704784
0.0,0.09676017632425032,0.5352849708332937,2.6076809620810537e-06,7.463243262818126e-06,0.040150687711420344
0.0,0.0996901993512901,0.5266213060634746,3.2710854467592175e-06,8.10555365166378e-06,0.039607620437234044
0.0,0.09692326904309405,0.5540126352349735,3.420526275297414e-06,8.264381404557755e-06,0.038874245668565705
0.0,0.09049337221144978,0.6272320144890566,3.11448230047949e-06,8.043631020876086e-06,0.042450342022179295
0.0,0.08482751803984345,0.5042618367475373,3.974921382870364e-06,9.736529155710463e-06,0.04524265833259581
0.0,0.066620798871674,0.41097445176068953,4.8270073544588664e-06,1.0871982339941513e-05,0.043723851652158904
0.0,0.0635401721613971,0.3700675613992667,5.128352561983233e-06,1.1458621208504986e-05,0.0423587896486668
0.0,0.055568603227901886,0.620966987850401,4.472135954999583e-06,9.782637681116482e-06,0.04172538313185393
0.0,0.05326896031649247,0.6588854225128981,4.669047011971502e-06,1.0968135666557006e-05,0.040433068907764096
0.0,0.06094474158859065,0.5054898614215722,4.277849927241494e-06,9.705668446840749e-06,0.037675439223717105
0.0,0.06313600843179713,0.3223662513353403,3.999999999999999e-06,1.0295630140987003e-05,0.03643796729648897
0.0,0.0683797938041638,0.6248439805263394,4.219004621945801e-06,9.370165420097997e-06,0.02871230531496904
0.0,0.07470774378402822,0.8280881595579053,3.4351128074635315e-06,8.167006795638162e-06,0.026373913848725592
0.0,0.0765596511212007,0.805338438173665,3.033150177620624e-06,7.463243262818111e-06,0.026765172226234604
0.0,0.08741052538453259,0.7855380321792208,2.9154759474226575e-06,7.231873892705801e-06,0.026413814864574173
0.0,0.0915741557001755,0.8446774532328889,2.9154759474226487e-06,7.700649323271401e-06,0.025708205804762022
0.0,0.10223609954316547,0.8020473801465857,2.1679483388678723e-06,6.978538528947145e-06,0.02405349399359686
0.0,0.1123843436524857,0.9472486473994045,1.9493588689617896e-06,6.379655163094634e-06,0.022762502296540255
0.0,0.12152287024342373,0.9065483991492125,2.0493901531919144e-06,6.37965516309462e-06,0.02172804344159873
0.0,0.1349467431148299,0.6103523572494836,1.7888543819998262e-06,6.1237243569579385e-06,0.02093293130930304
0.0,0.13722216508530918,0.48396280848842044,2.000000000000012e-06,5.727128425310541e-06,0.020575429249471314
0.0,0.13509850677672214,0.5916755867872189,1.8708286933869754e-06,5.594640292279743e-06,0.019968780270712562
0.0,0.14553992831247406,1.0582627273035736,1.8165902124585025e-06,5.932958789676521e-06,0.01923027720809036
0.0,0.1553089396129539,0.9625331163134079,1.8165902124585025e-06,5.770615218501399e-06,0.018125700601631944
0.0,0.1712553118329475,0.9763861940851077,1.7888543819998334e-06,5.176871642217907e-06,0.017232509849119497
0.0,0.17629011138603476,1.1243976165040535,1.8165902124585093e-06,5.147815070493501e-06,0.016716760248325607
0.0,0.17144472979009778,0.9804488767906249,2.167948338867883e-06,5.941380311005191e-06,0.01699652757771422
0.0,0.18430554427146403,0.7998562370826389,1.923538406167144e-06,5.540758070878012e-06,0.016716737935374853
0.0,0.20064704622620277,0.8829665905344315,2.073644135332774e-06,5.0793700396801085e-06,0.01735147797163112
0.0,0.21118039509694173,1.1296680928485148,2.549509756796402e-06,5.612486080160902e-06,0.016877676815841694
0.0,0.22512558112862208,1.2182979931034943,2.167948338867885e-06,5.549774770204656e-06,0.016683754037985537
0.0,0.23617418211502392,1.2562444029726068,2.408318915758461e-06,5.540758070878017e-06,0.016731042684184388
0.0,0.2398299188251969,1.3476906173154133,2.3021728866442688e-06,5.319774431308143e-06,0.015911891380348233
0.0,0.2691387182564044,1.3245301053581222,2.1679483388678766e-06,4.91934955049953e-06,0.015426889462882691
0.0,0.2804168400654642,1.3858751747542064,2.1908902300206655e-06,5.727128425310551e-06,0.015637378856445238
0.0,0.29800199648609715,1.4224907732565437,2.302172886644265e-06,5.310367218940701e-06,0.01559491820433827
0.0,0.3106744274788331,1.5574594697776238,2.3021728866442552e-06,5.215361924162111e-06,0.01527821397611647
0.0,0.32455981644790644,1.5771017722391936,2.302172886644265e-06,5.147815070493488e-06,0.015297554716359105
0.0,0.3360922403718962,1.4096559864023546,2.302172886644272e-06,4.9193495504995165e-06,0.015059233762047796
0.0,0.3461220975200805,1.3346347815039135,2.0000000000000008e-06,4.8270073544588775e-06,0.014849386105155979
0.0,0.3641925347134387,1.425387666566537,2.1679483388678825e-06,4.690415759823465e-06,0.014549943883053305
0.0,0.37597949218115556,1.3859545447091703,2.073644135332775e-06,4.76445169982864e-06,0.01406008711566185
0.0,0.38787363707308053,1.4331957298289701,2.3021728866442662e-06,4.438468204234458e-06,0.013999327365984396
