n_samples,time,memory,MAE,RMSE,R2
0.0,1.9501282009139753e-05,0.0,0.0,0.0,0.0
0.0,1.9917329138215542e-05,0.0,0.0,0.0,0.0
0.0,2.2244100341438692e-05,0.0,0.0,0.0,0.0
0.0,7.071916289097213e-05,0.0,0.0,0.0,0.0
0.0,0.00010187983117379009,0.0,0.0,0.0,0.0
0.0,0.0001019769581817381,0.0,0.0,0.0,0.0
0.0,0.00010815498139244524,0.0,0.0,0.0,0.0
0.0,0.00011714307491269076,0.0,0.0,0.0,0.0
0.0,0.00013249452818890118,0.0,0.0,0.0,0.0
0.0,0.00014585883586536625,0.0,0.0,0.0,0.0
0.0,0.0001633686016344627,0.0,0.0,0.0,0.0
0.0,0.00021413850657926717,0.0,0.0,0.0,0.0
0.0,0.0002182952129571329,0.0,0.0,0.0,0.0
0.0,0.0002088176237773025,0.0,0.0,0.0,0.0
0.0,0.00020892390959390304,0.0,0.0,0.0,0.0
0.0,0.00019709693046823367,0.0,0.0,0.0,0.0
0.0,0.00018940960904875173,0.0,0.0,0.0,0.0
0.0,0.0001816471854998015,0.0,0.0,0.0,0.0
0.0,0.0001847065239779039,0.0,0.0,0.0,0.0
0.0,0.00018632149634435657,0.0,0.0,0.0,0.0
0.0,0.00017244332402270717,0.0,0.0,0.0,0.0
0.0,0.000165789927317684,0.0,0.0,0.0,0.0
0.0,0.00017589286511963812,0.0,0.0,0.0,0.0
0.0,0.00018228357029638544,0.0,0.0,0.0,0.0
0.0,0.00019283075480847002,0.0,0.0,0.0,0.0
0.0,0.00020233758919192618,0.0,0.0,0.0,0.0
0.0,0.00020893970422110293,0.0,0.0,0.0,0.0
0.0,0.00021140435189465323,0.0,0.0,0.0,0.0
0.0,0.00021853420784856886,0.0,0.0,0.0,0.0
0.0,0.0003223952543074964,0.0,0.0,0.0,0.0
0.0,0.00032625802672118793,0.0,0.0,0.0,0.0
0.0,0.0003343975179333695,0.0,0.0,0.0,0.0
0.0,0.0003673155319340646,0.0,0.0,0.0,0.0
0.0,0.00037012808593781443,0.0,0.0,0.0,0.0
0.0,0.0003789890499737306,0.0,0.0,0.0,0.0
0.0,0.0003822806560630466,0.0,0.0,0.0,0.0
0.0,0.0003911608364854598,0.0,0.0,0.0,0.0
0.0,0.0004189292303003068,0.0,0.0,0.0,0.0
0.0,0.0004363257957077525,0.0,0.0,0.0,0.0
0.0,0.0004449592116138264,0.0,0.0,0.0,0.0
0.0,0.0004579112359399069,0.0,0.0,0.0,0.0
0.0,0.0004650005376340965,0.0,0.0,0.0,0.0
0.0,0.00046909242159726264,0.0,0.0,0.0,0.0
0.0,0.0004685356976794866,0.0,0.0,0.0,0.0
0.0,0.0004675524569500182,0.0,0.0,0.0,0.0
0.0,0.00046380006468305806,0.0,0.0,0.0,0.0
0.0,0.0004686327986814612,0.0,0.0,0.0,0.0
0.0,0.00048095145285154307,0.0,0.0,0.0,0.0
0.0,0.000487356850777753,0.0,0.0,0.0,0.0
0.0,0.0004936579787666771,0.0,0.0,0.0,0.0
0.0,0.0005013947546594621,0.0,0.0,0.0,0.0
0.0,0.0005068665504844248,0.0,0.0,0.0,0.0
