n_samples,time,memory,MAE,RMSE,R2
0.0,0.004264984548623829,0.0,0.0,0.0,0.0
0.0,0.007196805277343552,0.0,0.0,0.0,0.0
0.0,0.009214308384246753,0.0,0.0,0.0,0.0
0.0,0.010619658407877344,0.0,0.0,0.0,0.0
0.0,0.011485503419528469,0.0,0.0,0.0,0.0
0.0,0.011796021723445585,0.0,0.0,0.0,0.0
0.0,0.011776207127084675,0.0,0.0,0.0,0.0
0.0,0.011780609640421831,0.0,0.0,0.0,0.0
0.0,0.012003457322788312,0.0,0.0,0.0,0.0
0.0,0.012021232133188346,0.0,0.0,0.0,0.0
0.0,0.012033443114919344,0.0,0.0,0.0,0.0
0.0,0.012020892242258894,0.0,0.0,0.0,0.0
0.0,0.011999357328623911,0.0,0.0,0.0,0.0
0.0,0.011964064610323694,0.0,0.0,0.0,0.0
0.0,0.0119925782757504,0.0,0.0,0.0,0.0
0.0,0.011979527674328388,0.0,0.0,0.0,0.0
0.0,0.0119352787860192,0.0,0.0,0.0,0.0
0.0,0.011861894726391738,0.0,0.0,0.0,0.0
0.0,0.011816222632465921,0.0,0.0,0.0,0.0
0.0,0.011781912777643545,0.0,0.0,0.0,0.0
0.0,0.011762497298618169,0.0,0.0,0.0,0.0
0.0,0.011701745882559579,0.0,0.0,0.0,0.0
0.0,0.011703107121615179,0.0,0.0,0.0,0.0
0.0,0.011633089538037624,0.0,0.0,0.0,0.0
0.0,0.01166104904371817,0.0,0.0,0.0,0.0
0.0,0.011605662454164369,0.0,0.0,0.0,0.0
0.0,0.011562290127825045,0.0,0.0,0.0,0.0
0.0,0.011507688508123618,0.0,0.0,0.0,0.0
0.0,0.011462912840984175,0.0,0.0,0.0,0.0
0.0,0.011434650287612692,0.0,0.0,0.0,0.0
0.0,0.011409842233790933,0.0,0.0,0.0,0.0
0.0,0.011358513503095344,0.0,0.0,0.0,0.0
0.0,0.011316038343872839,0.0,0.0,0.0,0.0
0.0,0.011264498825957616,0.0,0.0,0.0,0.0
0.0,0.011223351495876777,0.0,0.0,0.0,0.0
0.0,0.01119613597184311,0.0,0.0,0.0,0.0
0.0,0.011590529077656416,0.0,0.0,0.0,0.0
0.0,0.011547460487050815,0.0,0.0,0.0,0.0
0.0,0.011536746040370329,0.0,0.0,0.0,0.0
0.0,0.011529241505840707,0.0,0.0,0.0,0.0
0.0,0.011466276937175396,0.0,0.0,0.0,0.0
0.0,0.011429755377959747,0.0,0.0,0.0,0.0
0.0,0.011361532062182492,0.0,0.0,0.0,0.0
0.0,0.01141659584990202,0.0,0.0,0.0,0.0
0.0,0.011355663807105232,0.0,0.0,0.0,0.0
0.0,0.0113210642035102,0.0,0.0,0.0,0.0
0.0,0.011296231119271624,0.0,0.0,0.0,0.0
0.0,0.011257169506585542,0.0,0.0,0.0,0.0
0.0,0.011227441351438917,0.0,0.0,0.0,0.0
0.0,0.011217188208281065,0.0,0.0,0.0,0.0
0.0,0.011203397944373798,0.0,0.0,0.0,0.0
0.0,0.011196039866845748,0.0,0.0,0.0,0.0
0.0,0.011232392674759853,0.0,0.0,0.0,0.0
0.0,0.011227594341620994,0.0,0.0,0.0,0.0
0.0,0.011239782738113751,0.0,0.0,0.0,0.0
0.0,0.01123197473732911,0.0,0.0,0.0,0.0
0.0,0.011261392529345578,0.0,0.0,0.0,0.0
0.0,0.011265527049366115,0.0,0.0,0.0,0.0
0.0,0.01128996030551041,0.0,0.0,0.0,0.0
0.0,0.01128243443145152,0.0,0.0,0.0,0.0
