,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,12,5,7,7,0,4,616.0,5,2,3,3,0,3,570.0,10,4,6,6,0,4,616.0,7,3,4,4,0,4,596.0,3,1,2,2,0,2,621.0,3,1,2,2,0,2,589.0,12,5,7,7,0,4,572.0,14,6,8,8,0,4,622.0,1,0,1,1,0,1,569.0,5,2,3,3,0,3,584.0,9,4,5,5,0,4,588.0,3,1,2,2,0,2,576.0,5,2,3,3,0,3,598.0,8,3,5,5,0,3,610.0,5.0,2.0,3.0,3,0,3.0,537.0,8,3,5,5,0,4,636.0,8,3,5,5,0,3,587.0,10,4,6,6,0,4,581.0,7,3,4,4,0,3,615.0,3,1,2,2,0,2,607.0
200,18,8,10,10,0,4,1182.0,11,5,6,6,0,4,1176.0,14,6,8,8,0,6,1214.0,11,5,6,6,0,5,1175.0,8,3,5,5,0,4,1219.0,7,3,4,4,0,4,1228.0,20,9,11,11,0,6,1160.0,16,7,9,9,0,4,1261.0,10,4,6,6,0,4,1220.0,9,4,5,5,0,4,1238.0,15,7,8,8,0,6,1194.0,13,6,7,7,0,5,1178.0,5,2,3,3,0,3,1202.0,12,5,7,7,0,5,1209.0,7.0,3.0,4.0,4,0,3.0,1152.0,14,6,8,8,0,6,1227.0,18,8,10,10,0,5,1175.0,20,9,11,11,0,5,1159.0,14,6,8,8,0,5,1224.0,9,4,5,5,0,4,1263.0
300,34,16,18,18,0,6,1840.0,23,11,12,12,0,7,1744.0,24,11,13,13,0,8,1800.0,17,8,9,9,0,6,1743.0,1,0,1,1,0,1,63.0,9,4,5,5,0,5,1791.0,28,13,15,15,0,6,1735.0,28,13,15,15,0,6,1840.0,18,8,10,10,0,6,1887.0,18,8,10,10,0,5,1832.0,19,9,10,10,0,7,1768.0,24,11,13,13,0,7,1776.0,17,8,9,9,0,6,1797.0,20,9,11,11,0,7,1782.0,16.0,7.0,9.0,9,0,4.0,1750.0,18,8,10,10,0,7,1842.0,28,13,15,15,0,6,1826.0,22,10,12,12,0,5,1766.0,22,10,12,12,0,7,1837.0,17,8,9,9,0,7,1848.0
400,40,19,21,21,0,7,2452.0,33,16,17,17,0,8,2339.0,36,17,19,19,0,8,2404.0,29,14,15,15,0,8,2328.0,5,2,3,3,0,3,651.0,9,4,5,5,0,5,2402.0,36,17,19,19,0,7,2295.0,38,18,20,20,0,7,2429.0,26,12,14,14,0,8,2488.0,28,13,15,15,0,7,2452.0,29,14,15,15,0,9,2411.0,34,16,18,18,0,7,2343.0,23,11,12,12,0,7,2355.0,30,14,16,16,0,8,2352.0,26.0,12.0,14.0,14,0,6.0,2362.0,26,12,14,14,0,8,2456.0,44,21,23,23,0,7,2418.0,30,14,16,16,0,6,2389.0,32,15,17,17,0,8,2447.0,29,14,15,15,0,9,2466.0
500,42,20,22,22,0,8,3061.0,45,22,23,23,0,10,2939.0,42,20,22,22,0,9,3001.0,45,22,23,23,0,9,2937.0,16,7,9,9,0,7,1238.0,13,6,7,7,0,6,3018.0,46,22,24,24,0,7,2922.0,46,22,24,24,0,8,3065.0,1,0,1,1,0,1,313.0,40,19,21,21,0,8,3069.0,39,19,20,20,0,10,3019.0,48,23,25,25,0,8,2916.0,32,15,17,17,0,8,2985.0,38,18,20,20,0,9,2912.0,28.0,13.0,15.0,15,0,7.0,2971.0,36,17,19,19,0,9,3073.0,58,28,30,30,0,8,3004.0,42,20,22,22,0,7,2972.0,42,20,22,22,0,8,3036.0,17,8,9,9,0,6,1257.0
600,48,23,25,25,0,9,3708.0,5,2,3,3,0,3,911.0,48,23,25,25,0,9,3619.0,57,28,29,29,0,9,3529.0,28,13,15,15,0,8,1815.0,26,12,14,14,0,7,3650.0,52,25,27,27,0,8,3544.0,60,29,31,31,0,8,3668.0,7,3,4,4,0,4,931.0,52,25,27,27,0,8,3661.0,52,25,27,27,0,11,3557.0,50,24,26,26,0,8,3483.0,36,17,19,19,0,8,3627.0,46,22,24,24,0,9,3543.0,36.0,17.0,19.0,19,0,9.0,3570.0,46,22,24,24,0,10,3730.0,74,36,38,38,0,9,3606.0,52,25,27,27,0,7,3554.0,46,22,24,24,0,8,3627.0,30,14,16,16,0,7,1853.0
700,56,27,29,29,0,9,4295.0,11,5,6,6,0,4,1475.0,60,29,31,31,0,10,4221.0,16,7,9,9,0,5,903.0,34,16,18,18,0,9,2413.0,34,16,18,18,0,7,4240.0,56,27,29,29,0,8,4142.0,76,37,39,39,0,9,4205.0,11,5,6,6,0,6,1490.0,66,32,34,34,0,9,4280.0,65,31,34,34,0,12,4108.0,70,34,36,36,0,9,4122.0,42,20,22,22,0,9,4212.0,46,22,24,24,0,9,4117.0,46.0,22.0,24.0,24,0,10.0,4147.0,52,25,27,27,0,10,4297.0,10,4,6,6,0,4,772.0,60,29,31,31,0,8,4170.0,54,26,28,28,0,9,4244.0,40,19,21,21,0,7,2456.0
800,64,31,33,33,0,10,4894.0,21,10,11,11,0,6,2044.0,68,33,35,35,0,10,4834.0,26,12,14,14,0,7,1509.0,49,23,26,26,0,10,3023.0,49,23,26,26,0,9,4813.0,64,31,33,33,0,8,4790.0,90,44,46,46,0,9,4762.0,23,11,12,12,0,9,2093.0,13,6,7,7,0,6,1371.0,76,36,40,40,0,13,4731.0,80,39,41,41,0,10,4703.0,46,22,24,24,0,9,4830.0,58,28,30,30,0,9,4690.0,65.0,31.0,34.0,34,0,11.0,4768.0,64,31,33,33,0,11,4934.0,18,8,10,10,0,6,1390.0,66,32,34,34,0,8,4792.0,67,32,35,35,0,10,4862.0,44,21,23,23,0,7,3002.0
900,76,37,39,39,0,10,5493.0,31,15,16,16,0,7,2693.0,68,33,35,35,0,10,5416.0,37,17,20,20,0,8,2105.0,9,4,5,5,0,4,1000.0,3,1,2,2,0,2,575.0,76,37,39,39,0,9,5404.0,106,52,54,54,0,10,5358.0,27,13,14,14,0,9,2679.0,24,11,13,13,0,7,2001.0,83,39,44,44,0,13,5344.0,36,17,19,19,0,7,1721.0,23,11,12,12,0,6,1960.0,68,33,35,35,0,9,5273.0,1.0,0.0,1.0,1,0,1.0,562.0,74,36,38,38,0,11,5504.0,28,13,15,15,0,7,1960.0,78,38,40,40,0,9,5387.0,13,6,7,7,0,5,1728.0,56,27,29,29,0,7,3577.0
1000,86,42,44,44,0,11,6080.0,39,19,20,20,0,8,3273.0,80,39,41,41,0,11,6027.0,51,24,27,27,0,9,2758.0,17,8,9,9,0,5,1603.0,7,3,4,4,0,4,1161.0,84,41,43,43,0,9,6012.0,8,3,5,5,0,4,615.0,1,0,1,1,0,1,410.0,34,16,18,18,0,8,2606.0,89,42,47,47,0,13,5963.0,42,20,22,22,0,8,2333.0,31,15,16,16,0,7,2570.0,76,37,39,39,0,9,5907.0,5.0,2.0,3.0,3,0,3.0,1152.0,84,41,43,43,0,11,6063.0,36,17,19,19,0,8,2584.0,86,42,44,44,0,9,5964.0,23,11,12,12,0,6,2373.0,68,33,35,35,0,8,4169.0
