,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,1,0,1,1,0,1,42.0,1,0,1,1,0,1,55.0,1,0,1,1,0,1,45.0,1,0,1,1,0,1,53.0,1,0,1,1,0,1,50.0,1,0,1,1,0,1,44.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,42.0,1,0,1,1,0,1,57.0,1.0,0.0,1.0,1,0,1.0,47.0,1,0,1,1,0,1,45.0,1,0,1,1,0,1,47.0,1,0,1,1,0,1,43.0,1,0,1,1,0,1,52.0,3,1,2,2,0,2,51.0,1,0,1,1,0,1,49.0,1,0,1,1,0,1,50.0,1,0,1,1,0,1,40.0,1,0,1,1,0,1,39.0,1,0,1,1,0,1,48.0
200,1,0,1,1,0,1,96.0,1,0,1,1,0,1,104.0,1,0,1,1,0,1,90.0,1,0,1,1,0,1,98.0,1,0,1,1,0,1,100.0,1,0,1,1,0,1,94.0,1,0,1,1,0,1,104.0,1,0,1,1,0,1,89.0,1,0,1,1,0,1,107.0,3.0,1.0,2.0,2,0,2.0,100.0,1,0,1,1,0,1,99.0,1,0,1,1,0,1,87.0,1,0,1,1,0,1,92.0,1,0,1,1,0,1,95.0,3,1,2,2,0,2,96.0,1,0,1,1,0,1,97.0,1,0,1,1,0,1,106.0,1,0,1,1,0,1,89.0,1,0,1,1,0,1,98.0,1,0,1,1,0,1,94.0
300,1,0,1,1,0,1,141.0,1,0,1,1,0,1,155.0,1,0,1,1,0,1,140.0,1,0,1,1,0,1,150.0,1,0,1,1,0,1,145.0,1,0,1,1,0,1,150.0,1,0,1,1,0,1,161.0,1,0,1,1,0,1,141.0,1,0,1,1,0,1,157.0,3.0,1.0,2.0,2,0,2.0,151.0,1,0,1,1,0,1,157.0,1,0,1,1,0,1,134.0,1,0,1,1,0,1,137.0,1,0,1,1,0,1,145.0,3,1,2,2,0,2,153.0,3,1,2,2,0,2,152.0,1,0,1,1,0,1,150.0,1,0,1,1,0,1,148.0,1,0,1,1,0,1,148.0,1,0,1,1,0,1,146.0
400,1,0,1,1,0,1,196.0,1,0,1,1,0,1,208.0,1,0,1,1,0,1,189.0,1,0,1,1,0,1,201.0,1,0,1,1,0,1,189.0,1,0,1,1,0,1,201.0,1,0,1,1,0,1,210.0,1,0,1,1,0,1,186.0,1,0,1,1,0,1,209.0,1.0,0.0,1.0,1,0,1.0,8.0,1,0,1,1,0,1,213.0,1,0,1,1,0,1,182.0,1,0,1,1,0,1,189.0,1,0,1,1,0,1,194.0,5,2,3,3,0,3,203.0,3,1,2,2,0,2,200.0,1,0,1,1,0,1,197.0,1,0,1,1,0,1,203.0,1,0,1,1,0,1,201.0,1,0,1,1,0,1,198.0
500,1,0,1,1,0,1,238.0,1,0,1,1,0,1,255.0,3,1,2,2,0,2,235.0,1,0,1,1,0,1,246.0,1,0,1,1,0,1,235.0,3,1,2,2,0,2,253.0,1,0,1,1,0,1,256.0,3,1,2,2,0,2,244.0,1,0,1,1,0,1,256.0,1.0,0.0,1.0,1,0,1.0,66.0,1,0,1,1,0,1,268.0,1,0,1,1,0,1,233.0,3,1,2,2,0,2,239.0,1,0,1,1,0,1,239.0,5,2,3,3,0,3,249.0,3,1,2,2,0,2,255.0,1,0,1,1,0,1,251.0,1,0,1,1,0,1,252.0,1,0,1,1,0,1,249.0,1,0,1,1,0,1,240.0
600,1,0,1,1,0,1,290.0,1,0,1,1,0,1,108.0,1,0,1,1,0,1,41.0,1,0,1,1,0,1,43.0,1,0,1,1,0,1,283.0,3,1,2,2,0,2,306.0,1,0,1,1,0,1,304.0,3,1,2,2,0,2,300.0,1,0,1,1,0,1,45.0,1.0,0.0,1.0,1,0,1.0,108.0,1,0,1,1,0,1,314.0,1,0,1,1,0,1,290.0,3,1,2,2,0,2,286.0,1,0,1,1,0,1,287.0,5,2,3,3,0,3,299.0,3,1,2,2,0,2,112.0,1,0,1,1,0,1,43.0,1,0,1,1,0,1,40.0,1,0,1,1,0,1,304.0,1,0,1,1,0,1,303.0
700,1,0,1,1,0,1,333.0,3,1,2,2,0,2,159.0,1,0,1,1,0,1,99.0,3,1,2,2,0,2,87.0,1,0,1,1,0,1,328.0,3,1,2,2,0,2,358.0,1,0,1,1,0,1,354.0,3,1,2,2,0,2,359.0,1,0,1,1,0,1,98.0,1.0,0.0,1.0,1,0,1.0,152.0,1,0,1,1,0,1,365.0,1,0,1,1,0,1,338.0,3,1,2,2,0,2,342.0,3,1,2,2,0,2,344.0,5,2,3,3,0,3,351.0,3,1,2,2,0,2,159.0,3,1,2,2,0,2,92.0,4,1,3,3,0,2,87.0,1,0,1,1,0,1,357.0,1,0,1,1,0,1,345.0
800,1,0,1,1,0,1,133.0,3,1,2,2,0,2,207.0,3,1,2,2,0,2,144.0,3,1,2,2,0,2,132.0,3,1,2,2,0,2,141.0,3,1,2,2,0,2,413.0,3,1,2,2,0,2,137.0,3,1,2,2,0,2,153.0,1,0,1,1,0,1,152.0,1.0,0.0,1.0,1,0,1.0,200.0,3,1,2,2,0,2,135.0,1,0,1,1,0,1,15.0,1,0,1,1,0,1,17.0,3,1,2,2,0,2,396.0,7,3,4,4,0,4,401.0,3,1,2,2,0,2,209.0,3,1,2,2,0,2,139.0,4,1,3,3,0,2,135.0,1,0,1,1,0,1,147.0,3,1,2,2,0,2,121.0
900,1,0,1,1,0,1,183.0,3,1,2,2,0,2,252.0,3,1,2,2,0,2,187.0,3,1,2,2,0,2,178.0,3,1,2,2,0,2,186.0,3,1,2,2,0,2,200.0,3,1,2,2,0,2,192.0,3,1,2,2,0,2,199.0,1,0,1,1,0,1,200.0,1.0,0.0,1.0,1,0,1.0,248.0,3,1,2,2,0,2,184.0,1,0,1,1,0,1,64.0,1,0,1,1,0,1,65.0,1,0,1,1,0,1,195.0,7,3,4,4,0,4,457.0,5,2,3,3,0,3,260.0,3,1,2,2,0,2,187.0,4,1,3,3,0,2,191.0,1,0,1,1,0,1,199.0,3,1,2,2,0,2,174.0
1000,1,0,1,1,0,1,228.0,3,1,2,2,0,2,306.0,3,1,2,2,0,2,237.0,3,1,2,2,0,2,227.0,3,1,2,2,0,2,231.0,5,2,3,3,0,3,254.0,3,1,2,2,0,2,247.0,5,2,3,3,0,3,249.0,1,0,1,1,0,1,255.0,1.0,0.0,1.0,1,0,1.0,67.0,3,1,2,2,0,2,240.0,1,0,1,1,0,1,114.0,1,0,1,1,0,1,114.0,1,0,1,1,0,1,252.0,9,4,5,5,0,4,513.0,5,2,3,3,0,3,305.0,3,1,2,2,0,2,237.0,4,1,3,3,0,2,244.0,3,1,2,2,0,2,249.0,3,1,2,2,0,2,225.0
