,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,1,0,1,1,0,1,53.0,1,0,1,1,0,1,51.0,3,1,2,2,0,2,56.0,3,1,2,2,0,2,55.0,1,0,1,1,0,1,50.0,1,0,1,1,0,1,63.0,3,1,2,2,0,2,55.0,1,0,1,1,0,1,47.0,1,0,1,1,0,1,49.0,1,0,1,1,0,1,44.0,3,1,2,2,0,2,50.0,1,0,1,1,0,1,41.0,3,1,2,2,0,2,51.0,3,1,2,2,0,2,56.0,3,1,2,2,0,2,55.0,1,0,1,1,0,1,42.0,1,0,1,1,0,1,55.0,1,0,1,1,0,1,43.0,1,0,1,1,0,1,53.0,1,0,1,1,0,1,46.0
200,1,0,1,1,0,1,103.0,1,0,1,1,0,1,110.0,3,1,2,2,0,2,105.0,3,1,2,2,0,2,110.0,1,0,1,1,0,1,105.0,1,0,1,1,0,1,119.0,3,1,2,2,0,2,102.0,3,1,2,2,0,2,91.0,3,1,2,2,0,2,102.0,1,0,1,1,0,1,87.0,3,1,2,2,0,2,99.0,1,0,1,1,0,1,86.0,3,1,2,2,0,2,103.0,3,1,2,2,0,2,106.0,3,1,2,2,0,2,109.0,3,1,2,2,0,2,92.0,1,0,1,1,0,1,100.0,1,0,1,1,0,1,93.0,1,0,1,1,0,1,103.0,3,1,2,2,0,2,100.0
300,1,0,1,1,0,1,153.0,1,0,1,1,0,1,154.0,3,1,2,2,0,2,161.0,3,1,2,2,0,2,161.0,3,1,2,2,0,2,155.0,3,1,2,2,0,2,172.0,3,1,2,2,0,2,147.0,3,1,2,2,0,2,144.0,3,1,2,2,0,2,156.0,1,0,1,1,0,1,131.0,3,1,2,2,0,2,147.0,3,1,2,2,0,2,132.0,3,1,2,2,0,2,156.0,3,1,2,2,0,2,160.0,5,2,3,3,0,3,159.0,3,1,2,2,0,2,134.0,3,1,2,2,0,2,151.0,1,0,1,1,0,1,136.0,1,0,1,1,0,1,153.0,5,2,3,3,0,3,151.0
400,1,0,1,1,0,1,201.0,1,0,1,1,0,1,200.0,3,1,2,2,0,2,218.0,3,1,2,2,0,2,207.0,3,1,2,2,0,2,204.0,3,1,2,2,0,2,223.0,3,1,2,2,0,2,194.0,3,1,2,2,0,2,196.0,3,1,2,2,0,2,210.0,1,0,1,1,0,1,180.0,3,1,2,2,0,2,196.0,3,1,2,2,0,2,183.0,3,1,2,2,0,2,205.0,3,1,2,2,0,2,202.0,5,2,3,3,0,3,206.0,3,1,2,2,0,2,184.0,3,1,2,2,0,2,200.0,1,0,1,1,0,1,176.0,1,0,1,1,0,1,207.0,5,2,3,3,0,3,208.0
500,1,0,1,1,0,1,257.0,1,0,1,1,0,1,252.0,3,1,2,2,0,2,269.0,3,1,2,2,0,2,259.0,5,2,3,3,0,3,264.0,3,1,2,2,0,2,271.0,5,2,3,3,0,3,245.0,3,1,2,2,0,2,243.0,3,1,2,2,0,2,260.0,1,0,1,1,0,1,221.0,3,1,2,2,0,2,243.0,5,2,3,3,0,3,237.0,5,2,3,3,0,3,253.0,3,1,2,2,0,2,258.0,5,2,3,3,0,3,264.0,5,2,3,3,0,3,232.0,3,1,2,2,0,2,252.0,1,0,1,1,0,1,224.0,1,0,1,1,0,1,265.0,5,2,3,3,0,3,249.0
600,1,0,1,1,0,1,311.0,1,0,1,1,0,1,305.0,3,1,2,2,0,2,315.0,3,1,2,2,0,2,311.0,5,2,3,3,0,3,323.0,3,1,2,2,0,2,317.0,5,2,3,3,0,3,294.0,5,2,3,3,0,3,294.0,5,2,3,3,0,3,316.0,1,0,1,1,0,1,276.0,3,1,2,2,0,2,298.0,5,2,3,3,0,3,290.0,5,2,3,3,0,3,305.0,3,1,2,2,0,2,304.0,5,2,3,3,0,3,318.0,5,2,3,3,0,3,287.0,3,1,2,2,0,2,296.0,1,0,1,1,0,1,271.0,1,0,1,1,0,1,310.0,5,2,3,3,0,3,296.0
700,1,0,1,1,0,1,350.0,3,1,2,2,0,2,355.0,3,1,2,2,0,2,370.0,3,1,2,2,0,2,355.0,5,2,3,3,0,3,373.0,3,1,2,2,0,2,362.0,5,2,3,3,0,3,335.0,5,2,3,3,0,3,349.0,5,2,3,3,0,3,364.0,3,1,2,2,0,2,326.0,3,1,2,2,0,2,353.0,5,2,3,3,0,3,335.0,5,2,3,3,0,3,355.0,3,1,2,2,0,2,351.0,5,2,3,3,0,3,359.0,5,2,3,3,0,3,330.0,3,1,2,2,0,2,342.0,1,0,1,1,0,1,327.0,1,0,1,1,0,1,367.0,7,3,4,4,0,4,345.0
800,1,0,1,1,0,1,396.0,3,1,2,2,0,2,414.0,3,1,2,2,0,2,417.0,3,1,2,2,0,2,405.0,7,3,4,4,0,4,426.0,5,2,3,3,0,3,414.0,5,2,3,3,0,3,387.0,5,2,3,3,0,3,408.0,5,2,3,3,0,3,422.0,3,1,2,2,0,2,378.0,3,1,2,2,0,2,398.0,5,2,3,3,0,3,380.0,5,2,3,3,0,3,413.0,3,1,2,2,0,2,398.0,7,3,4,4,0,4,415.0,7,3,4,4,0,4,383.0,3,1,2,2,0,2,386.0,1,0,1,1,0,1,376.0,1,0,1,1,0,1,408.0,9,4,5,5,0,4,395.0
900,1,0,1,1,0,1,440.0,3,1,2,2,0,2,453.0,3,1,2,2,0,2,467.0,3,1,2,2,0,2,453.0,7,3,4,4,0,4,469.0,5,2,3,3,0,3,463.0,5,2,3,3,0,3,445.0,5,2,3,3,0,3,453.0,5,2,3,3,0,3,478.0,5,2,3,3,0,3,421.0,3,1,2,2,0,2,443.0,5,2,3,3,0,3,439.0,5,2,3,3,0,3,455.0,5,2,3,3,0,3,444.0,7,3,4,4,0,4,470.0,7,3,4,4,0,4,437.0,5,2,3,3,0,3,435.0,3,1,2,2,0,2,437.0,1,0,1,1,0,1,463.0,9,4,5,5,0,4,448.0
1000,1,0,1,1,0,1,492.0,5,2,3,3,0,3,511.0,3,1,2,2,0,2,523.0,3,1,2,2,0,2,497.0,9,4,5,5,0,4,521.0,5,2,3,3,0,3,512.0,5,2,3,3,0,3,483.0,5,2,3,3,0,3,504.0,5,2,3,3,0,3,538.0,5,2,3,3,0,3,465.0,3,1,2,2,0,2,487.0,7,3,4,4,0,4,481.0,7,3,4,4,0,3,513.0,5,2,3,3,0,3,488.0,9,4,5,5,0,5,517.0,7,3,4,4,0,4,492.0,5,2,3,3,0,3,489.0,3,1,2,2,0,2,488.0,1,0,1,1,0,1,524.0,11,5,6,6,0,4,505.0
