,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,15,7,8,8,0,5,616.0,11,5,6,6,0,4,570.0,9,4,5,5,0,5,616.0,13,6,7,7,0,5,596.0,13,6,7,7,0,5,621.0,15,7,8,8,0,4,589.0,7,3,4,4,0,4,572.0,11,5,6,6,0,4,622.0,11,5,6,6,0,4,569.0,13,6,7,7,0,5,584.0,11,5,6,6,0,4,588.0,9,4,5,5,0,4,576.0,9,4,5,5,0,5,598.0,11,5,6,6,0,5,610.0,11,5,6,6,0,5,537.0,13,6,7,7,0,5,636.0,13,6,7,7,0,5,587.0,11,5,6,6,0,5,581.0,7,3,4,4,0,4,615.0,15,7,8,8,0,5,607.0
200,25,12,13,13,0,7,1182.0,25,12,13,13,0,6,1176.0,19,9,10,10,0,7,1214.0,29,14,15,15,0,7,1175.0,25,12,13,13,0,7,1219.0,23,11,12,12,0,5,1228.0,25,12,13,13,0,7,1160.0,19,9,10,10,0,5,1261.0,23,11,12,12,0,6,1220.0,21,10,11,11,0,6,1238.0,21,10,11,11,0,6,1194.0,17,8,9,9,0,6,1178.0,15,7,8,8,0,6,1202.0,23,11,12,12,0,7,1209.0,19,9,10,10,0,6,1152.0,27,13,14,14,0,7,1227.0,29,14,15,15,0,7,1175.0,23,11,12,12,0,7,1159.0,13,6,7,7,0,5,1224.0,25,12,13,13,0,8,1263.0
300,35,17,18,18,0,8,1840.0,33,16,17,17,0,6,1744.0,5,2,3,3,0,3,445.0,35,17,18,18,0,7,1743.0,33,16,17,17,0,7,1809.0,35,17,18,18,0,7,1791.0,37,18,19,19,0,8,1735.0,21,10,11,11,0,6,1840.0,31,15,16,16,0,6,1887.0,31,15,16,16,0,7,1832.0,27,13,14,14,0,7,1768.0,23,11,12,12,0,7,1776.0,29,14,15,15,0,7,1797.0,31,15,16,16,0,8,1782.0,9,4,5,5,0,5,645.0,9,4,5,5,0,4,650.0,45,22,23,23,0,8,1826.0,41,20,21,21,0,8,1766.0,21,10,11,11,0,6,1837.0,35,17,18,18,0,9,1848.0
400,53,26,27,27,0,9,2452.0,41,20,21,21,0,7,2339.0,15,7,8,8,0,4,1049.0,47,23,24,24,0,7,2328.0,43,21,22,22,0,8,2397.0,47,23,24,24,0,8,2402.0,23,11,12,12,0,7,992.0,11,5,6,6,0,5,1221.0,49,24,25,25,0,7,2488.0,45,22,23,23,0,8,2452.0,13,6,7,7,0,5,709.0,35,17,18,18,0,8,2343.0,41,20,21,21,0,8,2355.0,39,19,20,20,0,9,2352.0,15,7,8,8,0,7,1257.0,21,10,11,11,0,5,1264.0,53,26,27,27,0,9,2418.0,53,26,27,27,0,9,2389.0,29,14,15,15,0,8,2447.0,49,24,25,25,0,10,2466.0
500,59,29,30,30,0,9,3061.0,51,25,26,26,0,8,2939.0,5,2,3,3,0,3,294.0,55,27,28,28,0,7,2937.0,49,24,25,25,0,8,2984.0,59,29,30,30,0,9,3018.0,37,18,19,19,0,7,1619.0,21,10,11,11,0,7,1857.0,71,35,36,36,0,8,3102.0,53,26,27,27,0,8,3069.0,23,11,12,12,0,6,1317.0,49,24,25,25,0,8,2916.0,55,27,28,28,0,9,2985.0,51,25,26,26,0,10,2912.0,23,11,12,12,0,9,1866.0,35,17,18,18,0,6,1881.0,59,29,30,30,0,10,3004.0,65,32,33,33,0,9,2972.0,5,2,3,3,0,3,280.0,63,31,32,32,0,11,3047.0
600,67,33,34,34,0,11,3708.0,65,32,33,33,0,9,3524.0,5,2,3,3,0,3,167.0,65,32,33,33,0,8,3529.0,67,33,34,34,0,10,3561.0,67,33,34,34,0,10,3650.0,43,21,22,22,0,8,2241.0,29,14,15,15,0,8,2460.0,77,38,39,39,0,9,3720.0,61,30,31,31,0,9,3661.0,35,17,18,18,0,7,1855.0,61,30,31,31,0,9,3483.0,61,30,31,31,0,9,3627.0,57,28,29,29,0,10,3543.0,35,17,18,18,0,9,2465.0,41,20,21,21,0,7,2538.0,71,35,36,36,0,10,3606.0,77,38,39,39,0,9,3554.0,19,9,10,10,0,7,871.0,71,35,36,36,0,11,3643.0
700,73,36,37,37,0,11,4295.0,73,36,37,37,0,9,4088.0,15,7,8,8,0,6,769.0,67,33,34,34,0,8,4133.0,71,35,36,36,0,11,4159.0,85,42,43,43,0,10,4240.0,57,28,29,29,0,8,2839.0,37,18,19,19,0,9,2997.0,91,45,46,46,0,10,4279.0,73,36,37,37,0,10,4280.0,43,21,22,22,0,8,2406.0,73,36,37,37,0,9,4122.0,75,37,38,38,0,10,4212.0,67,33,34,34,0,11,4117.0,39,19,20,20,0,9,3042.0,29,14,15,15,0,7,1733.0,77,38,39,39,0,10,4227.0,87,43,44,44,0,10,4170.0,31,15,16,16,0,8,1488.0,81,40,41,41,0,11,4246.0
800,5,2,3,3,0,3,184.0,93,46,47,47,0,9,4657.0,31,15,16,16,0,7,1382.0,29,14,15,15,0,8,1509.0,27,13,14,14,0,7,1521.0,89,44,45,45,0,10,4813.0,67,33,34,34,0,9,3487.0,49,24,25,25,0,10,3554.0,103,51,52,52,0,10,4882.0,83,41,42,42,0,10,4893.0,55,27,28,28,0,10,3029.0,81,40,41,41,0,9,4703.0,83,41,42,42,0,10,4830.0,79,39,40,40,0,11,4690.0,45,22,23,23,0,9,3663.0,37,18,19,19,0,9,2370.0,85,42,43,43,0,11,4845.0,97,48,49,49,0,10,4792.0,17,8,9,9,0,6,957.0,87,43,44,44,0,11,4792.0
900,11,5,6,6,0,6,783.0,107,53,54,54,0,10,5306.0,43,21,22,22,0,8,1964.0,39,19,20,20,0,9,2105.0,39,19,20,20,0,8,2134.0,97,48,49,49,0,10,5388.0,85,42,43,43,0,9,4101.0,31,15,16,16,0,7,1839.0,119,59,60,60,0,11,5468.0,91,45,46,46,0,10,5523.0,69,34,35,35,0,11,3642.0,87,43,44,44,0,9,5278.0,93,46,47,47,0,10,5409.0,89,44,45,45,0,12,5273.0,53,26,27,27,0,9,4253.0,49,24,25,25,0,11,2940.0,9,4,5,5,0,4,752.0,113,56,57,57,0,10,5387.0,27,13,14,14,0,6,1513.0,99,49,50,50,0,12,5367.0
1000,23,11,12,12,0,8,1370.0,115,57,58,58,0,10,5886.0,55,27,28,28,0,10,2575.0,47,23,24,24,0,9,2758.0,41,20,21,21,0,8,2737.0,113,56,57,57,0,11,5974.0,89,44,45,45,0,9,4709.0,45,22,23,23,0,7,2446.0,131,65,66,66,0,11,6045.0,99,49,50,50,0,11,6128.0,77,38,39,39,0,11,4261.0,103,51,52,52,0,10,5890.0,105,52,53,53,0,10,6019.0,103,51,52,52,0,12,5907.0,63,31,32,32,0,10,4843.0,55,27,28,28,0,11,3499.0,23,11,12,12,0,6,1376.0,125,62,63,63,0,11,5964.0,31,15,16,16,0,7,2158.0,113,56,57,57,0,12,5959.0
