,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,1,0,1,1,0,1,44.0,1,0,1,1,0,1,55.0,3,1,2,2,0,2,51.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,61.0,1.0,0.0,1.0,1,0,1.0,47.0,1,0,1,1,0,1,56.0,1,0,1,1,0,1,42.0,3,1,2,2,0,2,53.0,3,1,2,2,0,2,50.0,1,0,1,1,0,1,42.0,1.0,0.0,1.0,1,0,1.0,48.0,3,1,2,2,0,2,51.0,1,0,1,1,0,1,45.0,3.0,1.0,2.0,2,0,2.0,51.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,49.0,1,0,1,1,0,1,38.0,3,1,2,2,0,2,51.0,3,1,2,2,0,2,55.0
200,3,1,2,2,0,2,87.0,1,0,1,1,0,1,95.0,3,1,2,2,0,2,59.0,3,1,2,2,0,2,96.0,3,1,2,2,0,2,112.0,3.0,1.0,2.0,2,0,2.0,88.0,3,1,2,2,0,2,110.0,3,1,2,2,0,2,98.0,3,1,2,2,0,2,100.0,3,1,2,2,0,2,100.0,3,1,2,2,0,2,96.0,3.0,1.0,2.0,2,0,2.0,98.0,3,1,2,2,0,2,105.0,3,1,2,2,0,2,95.0,1.0,0.0,1.0,1,0,1.0,29.0,1,0,1,1,0,1,96.0,3,1,2,2,0,2,102.0,1,0,1,1,0,1,85.0,3,1,2,2,0,2,106.0,3,1,2,2,0,2,116.0
300,1,0,1,1,0,1,17.0,1,0,1,1,0,1,7.0,3,1,2,2,0,2,110.0,1,0,1,1,0,1,28.0,1,0,1,1,0,1,33.0,1.0,0.0,1.0,1,0,1.0,21.0,1,0,1,1,0,1,39.0,1,0,1,1,0,1,23.0,1,0,1,1,0,1,25.0,1,0,1,1,0,1,17.0,1,0,1,1,0,1,37.0,1.0,0.0,1.0,1,0,1.0,23.0,1,0,1,1,0,1,39.0,7,3,4,4,0,3,162.0,3.0,1.0,2.0,2,0,2.0,79.0,1,0,1,1,0,1,14.0,1,0,1,1,0,1,23.0,1,0,1,1,0,1,4.0,1,0,1,1,0,1,24.0,3,1,2,2,0,2,96.0
400,1,0,1,1,0,1,61.0,3,1,2,2,0,2,56.0,1,0,1,1,0,1,25.0,1,0,1,1,0,1,66.0,3,1,2,2,0,2,77.0,1.0,0.0,1.0,1,0,1.0,66.0,1,0,1,1,0,1,82.0,1,0,1,1,0,1,77.0,3,1,2,2,0,2,72.0,3,1,2,2,0,2,69.0,3,1,2,2,0,2,81.0,3.0,1.0,2.0,2,0,2.0,83.0,3,1,2,2,0,2,87.0,7,3,4,4,0,3,225.0,5.0,2.0,3.0,3,0,3.0,137.0,3,1,2,2,0,2,66.0,3,1,2,2,0,2,72.0,3,1,2,2,0,2,51.0,3,1,2,2,0,2,67.0,3,1,2,2,0,2,152.0
500,3,1,2,2,0,2,118.0,3,1,2,2,0,2,108.0,1,0,1,1,0,1,72.0,3,1,2,2,0,2,110.0,3,1,2,2,0,2,122.0,3.0,1.0,2.0,2,0,2.0,114.0,1,0,1,1,0,1,135.0,3,1,2,2,0,2,132.0,3,1,2,2,0,2,119.0,5,2,3,3,0,3,125.0,3,1,2,2,0,2,129.0,3.0,1.0,2.0,2,0,2.0,134.0,1,0,1,1,0,1,12.0,1,0,1,1,0,1,128.0,5.0,2.0,3.0,3,0,3.0,183.0,3,1,2,2,0,2,115.0,3,1,2,2,0,2,130.0,3,1,2,2,0,2,105.0,3,1,2,2,0,2,116.0,3,1,2,2,0,2,203.0
600,1,0,1,1,0,1,32.0,1,0,1,1,0,1,12.0,1,0,1,1,0,1,26.0,1,0,1,1,0,1,43.0,1,0,1,1,0,1,49.0,3.0,1.0,2.0,2,0,2.0,102.0,1,0,1,1,0,1,48.0,5,2,3,3,0,3,115.0,3,1,2,2,0,2,89.0,5,2,3,3,0,3,180.0,1,0,1,1,0,1,47.0,1.0,0.0,1.0,1,0,1.0,48.0,3,1,2,2,0,2,64.0,1,0,1,1,0,1,190.0,7.0,3.0,4.0,4,0,3.0,228.0,3,1,2,2,0,2,115.0,1,0,1,1,0,1,43.0,5,2,3,3,0,3,155.0,1,0,1,1,0,1,39.0,5,2,3,3,0,3,251.0
700,3,1,2,2,0,2,78.0,3,1,2,2,0,2,59.0,3,1,2,2,0,2,77.0,1,0,1,1,0,1,99.0,3,1,2,2,0,2,99.0,3.0,1.0,2.0,2,0,2.0,156.0,3,1,2,2,0,2,91.0,5,2,3,3,0,3,165.0,3,1,2,2,0,2,137.0,7,3,4,4,0,3,228.0,3,1,2,2,0,2,95.0,1.0,0.0,1.0,1,0,1.0,64.0,3,1,2,2,0,2,114.0,1,0,1,1,0,1,237.0,7.0,3.0,4.0,4,0,3.0,281.0,5,2,3,3,0,3,154.0,3,1,2,2,0,2,67.0,7,3,4,4,0,3,203.0,3,1,2,2,0,2,57.0,5,2,3,3,0,3,298.0
800,3,1,2,2,0,2,121.0,3,1,2,2,0,2,102.0,5,2,3,3,0,3,136.0,1,0,1,1,0,1,15.0,3,1,2,2,0,2,81.0,3.0,1.0,2.0,2,0,2.0,201.0,5,2,3,3,0,3,149.0,7,3,4,4,0,4,218.0,3,1,2,2,0,2,178.0,5,2,3,3,0,3,133.0,3,1,2,2,0,2,82.0,3.0,1.0,2.0,2,0,2.0,113.0,1,0,1,1,0,1,44.0,1,0,1,1,0,1,287.0,7.0,3.0,4.0,4,0,3.0,339.0,7,3,4,4,0,3,201.0,3,1,2,2,0,2,114.0,1,0,1,1,0,1,60.0,5,2,3,3,0,3,110.0,5,2,3,3,0,3,351.0
900,3,1,2,2,0,2,54.0,1,0,1,1,0,1,34.0,5,2,3,3,0,3,180.0,3,1,2,2,0,2,64.0,5,2,3,3,0,3,138.0,5.0,2.0,3.0,3,0,3.0,257.0,1,0,1,1,0,1,50.0,7,3,4,4,0,4,268.0,3,1,2,2,0,2,228.0,7,3,4,4,0,4,186.0,3,1,2,2,0,2,125.0,1.0,0.0,1.0,1,0,1.0,40.0,1,0,1,1,0,1,97.0,3,1,2,2,0,2,338.0,7.0,3.0,4.0,4,0,3.0,383.0,9,4,5,5,0,4,248.0,1,0,1,1,0,1,13.0,3,1,2,2,0,2,115.0,1,0,1,1,0,1,17.0,7,3,4,4,0,4,406.0
1000,3,1,2,2,0,2,114.0,3,1,2,2,0,2,77.0,1,0,1,1,0,1,68.0,3,1,2,2,0,2,118.0,5,2,3,3,0,3,188.0,7.0,3.0,4.0,4,0,3.0,307.0,1,0,1,1,0,1,87.0,9,4,5,5,0,4,322.0,3,1,2,2,0,2,273.0,7,3,4,4,0,4,230.0,3,1,2,2,0,2,179.0,3.0,1.0,2.0,2,0,2.0,82.0,3,1,2,2,0,2,101.0,3,1,2,2,0,2,382.0,9.0,4.0,5.0,5,0,4.0,430.0,9,4,5,5,0,4,295.0,3,1,2,2,0,2,64.0,3,1,2,2,0,2,166.0,3,1,2,2,0,2,59.0,7,3,4,4,0,4,456.0
