,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,3,1,2,2,0,2,50.0,3,1,2,2,0,2,50.0,1,0,1,1,0,1,53.0,3,1,2,2,0,2,58.0,1,0,1,1,0,1,49.0,1,0,1,1,0,1,46.0,1,0,1,1,0,1,43.0,3,1,2,2,0,2,54.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,47.0,1,0,1,1,0,1,47.0,1,0,1,1,0,1,51.0,3,1,2,2,0,2,53.0,1,0,1,1,0,1,53.0,1,0,1,1,0,1,46.0,1,0,1,1,0,1,48.0,3,1,2,2,0,2,53.0,1,0,1,1,0,1,49.0,3,1,2,2,0,2,52.0,1,0,1,1,0,1,54.0
200,3,1,2,2,0,2,101.0,3,1,2,2,0,2,103.0,3,1,2,2,0,2,100.0,3,1,2,2,0,2,103.0,3,1,2,2,0,2,101.0,1,0,1,1,0,1,99.0,1,0,1,1,0,1,96.0,3,1,2,2,0,2,104.0,1,0,1,1,0,1,95.0,1,0,1,1,0,1,99.0,3,1,2,2,0,2,99.0,1,0,1,1,0,1,105.0,3,1,2,2,0,2,103.0,1,0,1,1,0,1,100.0,1,0,1,1,0,1,92.0,1,0,1,1,0,1,95.0,3,1,2,2,0,2,111.0,3,1,2,2,0,2,104.0,3,1,2,2,0,2,100.0,3,1,2,2,0,2,103.0
300,3,1,2,2,0,2,141.0,3,1,2,2,0,2,153.0,3,1,2,2,0,2,145.0,3,1,2,2,0,2,153.0,3,1,2,2,0,2,150.0,3,1,2,2,0,2,142.0,3,1,2,2,0,2,150.0,3,1,2,2,0,2,154.0,1,0,1,1,0,1,139.0,3,1,2,2,0,2,152.0,3,1,2,2,0,2,138.0,1,0,1,1,0,1,148.0,5,2,3,3,0,3,147.0,1,0,1,1,0,1,158.0,3,1,2,2,0,2,149.0,3,1,2,2,0,2,142.0,3,1,2,2,0,2,158.0,5,2,3,3,0,3,153.0,5,2,3,3,0,3,151.0,3,1,2,2,0,2,159.0
400,3,1,2,2,0,2,194.0,3,1,2,2,0,2,210.0,3,1,2,2,0,2,198.0,3,1,2,2,0,2,215.0,3,1,2,2,0,2,201.0,3,1,2,2,0,2,194.0,3,1,2,2,0,2,197.0,3,1,2,2,0,2,201.0,1,0,1,1,0,1,192.0,3,1,2,2,0,2,206.0,3,1,2,2,0,2,194.0,3,1,2,2,0,2,195.0,5,2,3,3,0,3,192.0,3,1,2,2,0,2,210.0,3,1,2,2,0,2,198.0,3,1,2,2,0,2,193.0,5,2,3,3,0,3,205.0,5,2,3,3,0,3,202.0,5,2,3,3,0,3,196.0,3,1,2,2,0,2,206.0
500,3,1,2,2,0,2,244.0,5,2,3,3,0,3,252.0,3,1,2,2,0,2,245.0,5,2,3,3,0,3,267.0,5,2,3,3,0,3,248.0,3,1,2,2,0,2,246.0,3,1,2,2,0,2,244.0,3,1,2,2,0,2,251.0,1,0,1,1,0,1,244.0,3,1,2,2,0,2,255.0,3,1,2,2,0,2,240.0,3,1,2,2,0,2,242.0,5,2,3,3,0,3,246.0,3,1,2,2,0,2,264.0,3,1,2,2,0,2,249.0,3,1,2,2,0,2,239.0,5,2,3,3,0,3,259.0,5,2,3,3,0,3,248.0,5,2,3,3,0,3,240.0,3,1,2,2,0,2,250.0
600,3,1,2,2,0,2,299.0,5,2,3,3,0,3,300.0,5,2,3,3,0,3,297.0,5,2,3,3,0,3,326.0,5,2,3,3,0,3,293.0,3,1,2,2,0,2,303.0,5,2,3,3,0,3,292.0,3,1,2,2,0,2,298.0,1,0,1,1,0,1,304.0,3,1,2,2,0,2,304.0,7,3,4,4,0,3,290.0,3,1,2,2,0,2,298.0,5,2,3,3,0,3,305.0,3,1,2,2,0,2,313.0,3,1,2,2,0,2,300.0,3,1,2,2,0,2,286.0,5,2,3,3,0,3,303.0,5,2,3,3,0,3,297.0,5,2,3,3,0,3,290.0,3,1,2,2,0,2,293.0
700,3,1,2,2,0,2,346.0,5,2,3,3,0,3,349.0,5,2,3,3,0,3,355.0,5,2,3,3,0,3,374.0,5,2,3,3,0,3,346.0,3,1,2,2,0,2,353.0,5,2,3,3,0,3,344.0,3,1,2,2,0,2,349.0,1,0,1,1,0,1,351.0,3,1,2,2,0,2,351.0,7,3,4,4,0,3,347.0,3,1,2,2,0,2,350.0,5,2,3,3,0,3,362.0,3,1,2,2,0,2,366.0,3,1,2,2,0,2,347.0,5,2,3,3,0,3,336.0,5,2,3,3,0,3,347.0,5,2,3,3,0,3,350.0,5,2,3,3,0,3,337.0,3,1,2,2,0,2,338.0
800,3,1,2,2,0,2,395.0,5,2,3,3,0,3,409.0,5,2,3,3,0,3,406.0,7,3,4,4,0,4,434.0,5,2,3,3,0,3,396.0,3,1,2,2,0,2,402.0,7,3,4,4,0,3,391.0,5,2,3,3,0,3,397.0,3,1,2,2,0,2,403.0,3,1,2,2,0,2,407.0,7,3,4,4,0,3,404.0,3,1,2,2,0,2,397.0,9,4,5,5,0,4,411.0,3,1,2,2,0,2,418.0,5,2,3,3,0,3,394.0,7,3,4,4,0,3,382.0,5,2,3,3,0,3,383.0,5,2,3,3,0,3,408.0,7,3,4,4,0,3,388.0,3,1,2,2,0,2,389.0
900,5,2,3,3,0,3,440.0,5,2,3,3,0,3,456.0,7,3,4,4,0,3,444.0,7,3,4,4,0,4,483.0,5,2,3,3,0,3,443.0,5,2,3,3,0,3,456.0,7,3,4,4,0,3,451.0,5,2,3,3,0,3,447.0,3,1,2,2,0,2,456.0,3,1,2,2,0,2,458.0,7,3,4,4,0,3,461.0,3,1,2,2,0,2,448.0,11,5,6,6,0,4,468.0,3,1,2,2,0,2,462.0,5,2,3,3,0,3,457.0,7,3,4,4,0,3,442.0,7,3,4,4,0,4,421.0,5,2,3,3,0,3,455.0,7,3,4,4,0,3,435.0,3,1,2,2,0,2,443.0
1000,5,2,3,3,0,3,495.0,7,3,4,4,0,4,508.0,7,3,4,4,0,3,492.0,7,3,4,4,0,4,525.0,5,2,3,3,0,3,488.0,5,2,3,3,0,3,505.0,7,3,4,4,0,3,494.0,5,2,3,3,0,3,494.0,3,1,2,2,0,2,507.0,7,3,4,4,0,3,512.0,7,3,4,4,0,3,511.0,5,2,3,3,0,3,498.0,11,5,6,6,0,4,519.0,3,1,2,2,0,2,507.0,5,2,3,3,0,3,500.0,7,3,4,4,0,3,490.0,7,3,4,4,0,4,474.0,7,3,4,4,0,3,497.0,9,4,5,5,0,4,483.0,5,2,3,3,0,3,507.0
