Unnamed: 0,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100.0,2.2,0.6,1.6,1.6,0.0,1.6,50.6,2.2,0.6,1.6,1.6,0.0,1.6,50.2,1.8,0.4,1.4,1.4,0.0,1.4,46.2,2.2,0.6,1.6,1.6,0.0,1.6,51.6,1.4,0.2,1.2,1.2,0.0,1.2,48.8,1.4,0.2,1.2,1.2,0.0,1.2,52.0,1.4,0.2,1.2,1.2,0.0,1.2,49.0,1.8,0.4,1.4,1.4,0.0,1.4,50.4,1.8,0.4,1.4,1.4,0.0,1.4,48.8,2.2,0.6,1.6,1.6,0.0,1.6,51.8,2.6,0.8,1.8,1.8,0.0,1.8,52.2,1.4,0.2,1.2,1.2,0.0,1.2,42.4,1.0,0.0,1.0,1.0,0.0,1.0,48.8,1.0,0.0,1.0,1.0,0.0,1.0,48.6,1.4,0.2,1.2,1.2,0.0,1.2,54.0,1.4,0.2,1.2,1.2,0.0,1.2,41.6,2.2,0.6,1.6,1.6,0.0,1.6,54.4,2.6,0.8,1.8,1.8,0.0,1.8,53.2,1.4,0.2,1.2,1.2,0.0,1.2,48.6,2.2,0.6,1.6,1.6,0.0,1.6,49.6
200.0,3.0,1.0,2.0,2.0,0.0,2.0,101.2,2.6,0.8,1.8,1.8,0.0,1.8,88.8,3.0,1.0,2.0,2.0,0.0,2.0,95.8,2.6,0.8,1.8,1.8,0.0,1.8,99.8,2.6,0.8,1.8,1.8,0.0,1.8,100.8,2.2,0.6,1.6,1.6,0.0,1.6,102.4,2.2,0.6,1.6,1.6,0.0,1.6,101.4,2.6,0.8,1.8,1.8,0.0,1.8,94.6,1.8,0.4,1.4,1.4,0.0,1.4,83.6,3.0,1.0,2.0,2.0,0.0,2.0,105.2,3.0,1.0,2.0,2.0,0.0,2.0,103.2,3.0,1.0,2.0,2.0,0.0,2.0,90.6,2.2,0.6,1.6,1.6,0.0,1.6,98.0,1.8,0.4,1.4,1.4,0.0,1.4,87.4,2.2,0.6,1.6,1.6,0.0,1.6,94.2,3.0,1.0,2.0,2.0,0.0,2.0,88.8,2.6,0.8,1.8,1.8,0.0,1.8,107.6,3.0,1.0,2.0,2.0,0.0,2.0,105.6,2.6,0.8,1.8,1.8,0.0,1.8,83.8,3.0,1.0,2.0,2.0,0.0,2.0,98.2
300.0,3.8,1.4,2.4,2.4,0.0,2.4,152.4,3.0,1.0,2.0,2.0,0.0,2.0,138.0,3.4,1.2,2.2,2.2,0.0,2.2,143.0,2.6,0.8,1.8,1.8,0.0,1.8,118.6,2.6,0.8,1.8,1.8,0.0,1.8,128.0,2.2,0.6,1.6,1.6,0.0,1.6,126.8,3.4,1.2,2.2,2.2,0.0,2.2,152.0,3.0,1.0,2.0,2.0,0.0,2.0,144.2,3.0,1.0,2.0,2.0,0.0,2.0,133.6,3.4,1.2,2.2,2.2,0.0,2.2,154.2,3.4,1.2,2.2,2.2,0.0,2.2,138.0,3.0,1.0,2.0,2.0,0.0,2.0,138.4,2.2,0.6,1.6,1.6,0.0,1.6,145.8,3.0,1.0,2.0,2.0,0.0,2.0,134.2,3.4,1.2,2.2,2.2,0.0,2.2,150.6,3.8,1.4,2.4,2.4,0.0,2.4,138.6,3.4,1.2,2.2,2.2,0.0,2.2,131.6,3.4,1.2,2.2,2.2,0.0,2.2,157.2,3.0,1.0,2.0,2.0,0.0,2.0,133.8,3.4,1.2,2.2,2.2,0.0,2.2,144.6
400.0,3.4,1.2,2.2,2.2,0.0,2.2,168.0,3.0,1.0,2.0,2.0,0.0,2.0,138.4,4.6,1.8,2.8,2.8,0.0,2.8,195.4,2.2,0.6,1.6,1.6,0.0,1.6,129.2,3.0,1.0,2.0,2.0,0.0,2.0,141.6,2.2,0.6,1.6,1.6,0.0,1.6,112.2,3.0,1.0,2.0,2.0,0.0,2.0,143.4,2.6,0.8,1.8,1.8,0.0,1.8,131.8,2.2,0.6,1.6,1.6,0.0,1.6,107.8,4.2,1.6,2.6,2.6,0.0,2.6,178.4,3.8,1.4,2.4,2.4,0.0,2.2,150.2,3.4,1.2,2.2,2.2,0.0,2.2,190.8,3.0,1.0,2.0,2.0,0.0,2.0,138.2,2.6,0.8,1.8,1.8,0.0,1.8,119.0,3.8,1.4,2.4,2.4,0.0,2.2,148.4,3.8,1.4,2.4,2.4,0.0,2.4,162.6,4.6,1.8,2.8,2.8,0.0,2.6,143.0,4.6,1.8,2.8,2.8,0.0,2.8,207.8,3.4,1.2,2.2,2.2,0.0,2.2,183.6,3.8,1.4,2.4,2.4,0.0,2.2,145.6
500.0,3.4,1.2,2.2,2.2,0.0,2.0,174.8,2.6,0.8,1.8,1.8,0.0,1.8,144.6,3.8,1.4,2.4,2.4,0.0,2.4,185.8,3.8,1.4,2.4,2.4,0.0,2.4,183.4,3.4,1.2,2.2,2.2,0.0,2.2,112.4,2.2,0.6,1.6,1.6,0.0,1.6,115.8,3.8,1.4,2.4,2.4,0.0,2.4,171.6,3.0,1.0,2.0,2.0,0.0,2.0,123.4,3.4,1.2,2.2,2.2,0.0,1.8,119.6,2.2,0.6,1.6,1.6,0.0,1.6,98.6,3.8,1.4,2.4,2.4,0.0,2.2,159.4,5.8,2.4,3.4,3.4,0.0,3.0,220.4,1.8,0.4,1.4,1.4,0.0,1.4,86.0,2.6,0.8,1.8,1.8,0.0,1.8,135.8,4.2,1.6,2.6,2.6,0.0,2.4,199.0,3.8,1.4,2.4,2.4,0.0,2.4,177.4,2.6,0.8,1.8,1.8,0.0,1.8,92.6,3.0,1.0,2.0,2.0,0.0,2.0,144.2,3.8,1.4,2.4,2.4,0.0,2.4,231.0,4.2,1.6,2.6,2.6,0.0,2.4,195.6
600.0,2.6,0.8,1.8,1.8,0.0,1.8,88.8,2.2,0.6,1.6,1.6,0.0,1.6,145.0,2.2,0.6,1.6,1.6,0.0,1.6,102.2,2.2,0.6,1.6,1.6,0.0,1.6,94.4,3.0,1.0,2.0,2.0,0.0,2.0,111.4,2.2,0.6,1.6,1.6,0.0,1.6,114.2,2.6,0.8,1.8,1.8,0.0,1.8,116.0,4.2,1.6,2.6,2.6,0.0,2.6,172.0,3.4,1.2,2.2,2.2,0.0,2.0,116.2,2.2,0.6,1.6,1.6,0.0,1.6,99.2,3.8,1.4,2.4,2.4,0.0,2.2,157.4,3.0,1.0,2.0,2.0,0.0,2.0,129.6,2.6,0.8,1.8,1.8,0.0,1.8,135.4,3.0,1.0,2.0,2.0,0.0,2.0,142.6,2.6,0.8,1.8,1.8,0.0,1.8,117.6,3.4,1.2,2.2,2.2,0.0,2.0,131.8,3.4,1.2,2.2,2.2,0.0,2.2,141.8,3.8,1.4,2.4,2.4,0.0,2.2,147.6,1.8,0.4,1.4,1.4,0.0,1.4,72.8,2.2,0.6,1.6,1.6,0.0,1.6,98.8
700.0,3.0,1.0,2.0,2.0,0.0,2.0,137.0,4.2,1.6,2.6,2.6,0.0,2.4,191.4,3.4,1.2,2.2,2.2,0.0,2.2,154.8,3.4,1.2,2.2,2.2,0.0,2.2,138.8,2.6,0.8,1.8,1.8,0.0,1.8,134.2,2.6,0.8,1.8,1.8,0.0,1.8,164.6,3.4,1.2,2.2,2.2,0.0,2.2,163.2,4.2,1.6,2.6,2.6,0.0,2.4,149.2,4.2,1.6,2.6,2.6,0.0,2.4,166.6,2.2,0.6,1.6,1.6,0.0,1.6,111.6,5.0,2.0,3.0,3.0,0.0,2.6,207.2,3.4,1.2,2.2,2.2,0.0,2.2,128.8,3.0,1.0,2.0,2.0,0.0,2.0,183.8,3.4,1.2,2.2,2.2,0.0,2.2,191.4,3.4,1.2,2.2,2.2,0.0,2.2,169.0,2.6,0.8,1.8,1.8,0.0,1.8,104.4,3.8,1.4,2.4,2.4,0.0,2.2,195.8,2.6,0.8,1.8,1.8,0.0,1.8,107.4,2.6,0.8,1.8,1.8,0.0,1.8,122.8,3.0,1.0,2.0,2.0,0.0,2.0,149.4
800.0,3.0,1.0,2.0,2.0,0.0,2.0,189.4,4.2,1.6,2.6,2.6,0.0,2.2,155.4,4.6,1.8,2.8,2.8,0.0,2.6,203.6,2.6,0.8,1.8,1.8,0.0,1.8,117.8,3.0,1.0,2.0,2.0,0.0,2.0,150.4,2.2,0.6,1.6,1.6,0.0,1.6,108.6,4.6,1.8,2.8,2.8,0.0,2.4,170.4,4.6,1.8,2.8,2.8,0.0,2.6,200.8,3.0,1.0,2.0,2.0,0.0,2.0,132.2,3.0,1.0,2.0,2.0,0.0,2.0,111.8,3.0,1.0,2.0,2.0,0.0,2.0,160.2,3.8,1.4,2.4,2.4,0.0,2.2,180.8,3.8,1.4,2.4,2.4,0.0,2.4,231.2,3.4,1.2,2.2,2.2,0.0,2.2,168.8,3.5,1.25,2.25,1.8,0.0,2.25,186.4,2.5,0.75,1.75,1.4,0.0,1.75,121.4,3.8,1.4,2.4,2.4,0.0,2.2,178.6,2.6,0.8,1.8,1.8,0.0,1.8,118.6,2.6,0.8,1.8,1.8,0.0,1.8,154.2,4.2,1.6,2.6,2.6,0.0,2.6,199.2
900.0,3.0,1.0,2.0,2.0,0.0,2.0,151.6,3.4,1.2,2.2,2.2,0.0,2.0,151.0,5.0,2.0,3.0,3.0,0.0,2.6,204.0,3.8,1.4,2.4,2.4,0.0,2.2,128.6,3.4,1.2,2.2,2.2,0.0,2.2,202.2,2.2,0.6,1.6,1.6,0.0,1.6,156.2,3.8,1.4,2.4,2.4,0.0,2.2,159.0,4.2,1.6,2.6,2.6,0.0,2.4,208.8,2.6,0.8,1.8,1.8,0.0,1.8,111.0,3.8,1.4,2.4,2.4,0.0,2.4,159.4,4.6,1.8,2.8,2.8,0.0,2.6,208.2,3.8,1.4,2.4,2.4,0.0,2.2,234.2,3.0,1.0,2.0,2.0,0.0,2.0,206.8,3.0,1.0,2.0,2.0,0.0,1.8,133.6,4.6,1.8,2.8,2.8,0.0,2.6,236.4,3.8,1.4,2.4,2.4,0.0,2.2,163.0,3.8,1.4,2.4,2.4,0.0,2.2,185.4,2.6,0.8,1.8,1.8,0.0,1.8,149.0,3.0,1.0,2.0,2.0,0.0,2.0,165.8,4.6,1.8,2.8,2.8,0.0,2.6,179.0
1000.0,3.8,1.4,2.4,2.4,0.0,2.2,170.6,2.6,0.8,1.8,1.8,0.0,1.8,129.4,2.6,0.8,1.8,1.8,0.0,1.8,133.8,5.8,2.4,3.4,3.4,0.0,3.0,175.8,3.0,1.0,2.0,2.0,0.0,2.0,127.2,3.0,1.0,2.0,2.0,0.0,2.0,155.2,2.6,0.8,1.8,1.8,0.0,1.8,86.2,4.6,1.8,2.8,2.8,0.0,2.6,263.0,3.4,1.2,2.2,2.2,0.0,2.2,160.6,3.8,1.4,2.4,2.4,0.0,2.4,168.0,4.6,1.8,2.8,2.8,0.0,2.4,196.8,2.6,0.8,1.8,1.8,0.0,1.8,169.0,2.6,0.8,1.8,1.8,0.0,1.8,158.6,4.2,1.6,2.6,2.6,0.0,2.4,185.4,4.6,1.8,2.8,2.8,0.0,2.6,265.2,3.4,1.2,2.2,2.2,0.0,2.2,134.2,4.2,1.6,2.6,2.6,0.0,2.4,184.2,3.4,1.2,2.2,2.2,0.0,2.2,194.6,2.6,0.8,1.8,1.8,0.0,1.8,167.4,2.6,0.8,1.8,1.8,0.0,1.8,90.0
