Unnamed: 0,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100.0,2.2,0.6,1.6,1.6,0.0,1.6,51.4,2.2,0.6,1.6,1.6,0.0,1.6,51.6,1.4,0.2,1.2,1.2,0.0,1.2,48.4,2.2,0.6,1.6,1.6,0.0,1.6,49.6,1.4,0.2,1.2,1.2,0.0,1.2,47.4,2.6,0.8,1.8,1.8,0.0,1.8,51.2,1.8,0.4,1.4,1.4,0.0,1.4,47.4,2.2,0.6,1.6,1.6,0.0,1.6,52.4,1.4,0.2,1.2,1.2,0.0,1.2,49.8,1.8,0.4,1.4,1.4,0.0,1.4,46.6,1.4,0.2,1.2,1.2,0.0,1.2,47.8,1.8,0.4,1.4,1.4,0.0,1.4,52.8,2.2,0.6,1.6,1.6,0.0,1.6,50.2,2.2,0.6,1.6,1.6,0.0,1.6,51.8,2.2,0.6,1.6,1.6,0.0,1.6,50.2,2.6,0.8,1.8,1.8,0.0,1.8,55.0,1.4,0.2,1.2,1.2,0.0,1.2,49.2,2.2,0.6,1.6,1.6,0.0,1.6,48.2,1.4,0.2,1.2,1.2,0.0,1.2,52.2,2.2,0.6,1.6,1.6,0.0,1.6,52.8
200.0,3.0,1.0,2.0,2.0,0.0,2.0,104.4,3.0,1.0,2.0,2.0,0.0,2.0,100.8,2.6,0.8,1.8,1.8,0.0,1.8,97.6,3.0,1.0,2.0,2.0,0.0,2.0,98.4,2.2,0.6,1.6,1.6,0.0,1.6,96.6,3.0,1.0,2.0,2.0,0.0,2.0,103.4,2.6,0.8,1.8,1.8,0.0,1.8,96.0,2.6,0.8,1.8,1.8,0.0,1.8,105.4,3.0,1.0,2.0,2.0,0.0,2.0,100.4,3.0,1.0,2.0,2.0,0.0,2.0,97.2,2.6,0.8,1.8,1.8,0.0,1.8,97.8,2.6,0.8,1.8,1.8,0.0,1.8,105.2,3.0,1.0,2.0,2.0,0.0,2.0,100.2,2.6,0.8,1.8,1.8,0.0,1.8,100.4,3.0,1.0,2.0,2.0,0.0,2.0,97.0,3.0,1.0,2.0,2.0,0.0,2.0,110.2,3.0,1.0,2.0,2.0,0.0,2.0,100.4,3.0,1.0,2.0,2.0,0.0,2.0,96.6,3.0,1.0,2.0,2.0,0.0,2.0,102.2,3.0,1.0,2.0,2.0,0.0,2.0,101.4
300.0,3.0,1.0,2.0,2.0,0.0,2.0,149.8,4.2,1.6,2.6,2.6,0.0,2.6,155.0,2.6,0.8,1.8,1.8,0.0,1.8,148.6,3.0,1.0,2.0,2.0,0.0,2.0,148.2,3.0,1.0,2.0,2.0,0.0,2.0,147.4,3.8,1.4,2.4,2.4,0.0,2.4,152.0,3.0,1.0,2.0,2.0,0.0,2.0,145.2,3.0,1.0,2.0,2.0,0.0,2.0,155.0,3.4,1.2,2.2,2.2,0.0,2.2,149.2,3.8,1.4,2.4,2.4,0.0,2.4,146.0,3.0,1.0,2.0,2.0,0.0,2.0,149.6,3.0,1.0,2.0,2.0,0.0,2.0,157.0,3.4,1.2,2.2,2.2,0.0,2.2,147.6,3.0,1.0,2.0,2.0,0.0,2.0,154.2,3.0,1.0,2.0,2.0,0.0,2.0,145.8,3.4,1.2,2.2,2.2,0.0,2.2,160.8,3.4,1.2,2.2,2.2,0.0,2.2,151.0,3.0,1.0,2.0,2.0,0.0,2.0,144.6,3.4,1.2,2.2,2.2,0.0,2.2,154.4,3.0,1.0,2.0,2.0,0.0,2.0,151.6
400.0,3.8,1.4,2.4,2.4,0.0,2.4,197.4,4.6,1.8,2.8,2.8,0.0,2.8,202.0,3.4,1.2,2.2,2.2,0.0,2.2,198.6,4.2,1.6,2.6,2.6,0.0,2.6,196.0,3.4,1.2,2.2,2.2,0.0,2.2,195.8,4.2,1.6,2.6,2.6,0.0,2.6,200.4,3.8,1.4,2.4,2.4,0.0,2.4,196.4,4.6,1.8,2.8,2.8,0.0,2.8,205.8,4.6,1.8,2.8,2.8,0.0,2.8,202.8,4.6,1.8,2.8,2.8,0.0,2.6,193.4,3.8,1.4,2.4,2.4,0.0,2.4,203.6,3.8,1.4,2.4,2.4,0.0,2.2,205.0,4.2,1.6,2.6,2.6,0.0,2.6,199.2,3.4,1.2,2.2,2.2,0.0,2.2,201.4,4.2,1.6,2.6,2.6,0.0,2.6,198.6,4.2,1.6,2.6,2.6,0.0,2.6,211.0,5.0,2.0,3.0,3.0,0.0,2.8,203.6,4.2,1.6,2.6,2.6,0.0,2.6,197.8,3.8,1.4,2.4,2.4,0.0,2.4,200.8,4.2,1.6,2.6,2.6,0.0,2.6,199.0
500.0,4.6,1.8,2.8,2.8,0.0,2.8,242.0,5.4,2.2,3.2,3.2,0.0,3.0,253.2,4.2,1.6,2.6,2.6,0.0,2.6,250.6,5.4,2.2,3.2,3.2,0.0,2.8,242.8,4.2,1.6,2.6,2.6,0.0,2.6,245.6,5.8,2.4,3.4,3.4,0.0,3.0,247.6,5.8,2.4,3.4,3.4,0.0,3.0,247.4,5.0,2.0,3.0,3.0,0.0,3.0,254.4,5.0,2.0,3.0,3.0,0.0,3.0,251.4,4.6,1.8,2.8,2.8,0.0,2.6,241.2,4.6,1.8,2.8,2.8,0.0,2.8,253.4,4.2,1.6,2.6,2.6,0.0,2.4,252.6,6.2,2.6,3.6,3.6,0.0,3.0,251.6,5.4,2.2,3.2,3.2,0.0,3.0,253.6,5.0,2.0,3.0,3.0,0.0,3.0,246.0,5.0,2.0,3.0,3.0,0.0,2.8,258.4,5.0,2.0,3.0,3.0,0.0,2.8,246.8,4.6,1.8,2.8,2.8,0.0,2.8,247.2,5.0,2.0,3.0,3.0,0.0,2.6,251.8,4.6,1.8,2.8,2.8,0.0,2.6,247.6
600.0,5.0,2.0,3.0,3.0,0.0,2.8,293.8,6.2,2.6,3.6,3.6,0.0,3.2,304.6,4.6,1.8,2.8,2.8,0.0,2.8,299.2,5.8,2.4,3.4,3.4,0.0,2.8,291.6,4.2,1.6,2.6,2.6,0.0,2.6,296.6,7.0,3.0,4.0,4.0,0.0,3.2,297.8,5.8,2.4,3.4,3.4,0.0,3.0,294.8,6.2,2.6,3.6,3.6,0.0,3.2,301.6,5.0,2.0,3.0,3.0,0.0,3.0,302.4,5.0,2.0,3.0,3.0,0.0,2.8,292.4,5.0,2.0,3.0,3.0,0.0,3.0,301.8,4.6,1.8,2.8,2.8,0.0,2.6,305.0,6.6,2.8,3.8,3.8,0.0,3.0,302.0,5.4,2.2,3.2,3.2,0.0,3.0,304.2,5.4,2.2,3.2,3.2,0.0,3.0,295.4,5.4,2.2,3.2,3.2,0.0,2.8,309.6,5.4,2.2,3.2,3.2,0.0,2.8,298.0,5.0,2.0,3.0,3.0,0.0,2.8,297.8,5.8,2.4,3.4,3.4,0.0,2.8,304.0,5.0,2.0,3.0,3.0,0.0,2.8,299.0
700.0,5.8,2.4,3.4,3.4,0.0,3.2,346.0,7.4,3.2,4.2,4.2,0.0,3.4,352.6,6.2,2.6,3.6,3.6,0.0,3.0,353.4,7.0,3.0,4.0,4.0,0.0,3.2,339.6,4.2,1.6,2.6,2.6,0.0,2.6,346.0,7.4,3.2,4.2,4.2,0.0,3.4,344.4,7.4,3.2,4.2,4.2,0.0,3.2,347.0,7.0,3.0,4.0,4.0,0.0,3.2,352.4,5.8,2.4,3.4,3.4,0.0,3.0,351.0,5.8,2.4,3.4,3.4,0.0,3.2,347.4,6.2,2.6,3.6,3.6,0.0,3.0,353.0,4.6,1.8,2.8,2.8,0.0,2.6,355.8,7.0,3.0,4.0,4.0,0.0,3.2,352.8,6.2,2.6,3.6,3.6,0.0,3.0,355.0,6.2,2.6,3.6,3.6,0.0,3.2,343.2,6.2,2.6,3.6,3.6,0.0,3.0,359.6,6.2,2.6,3.6,3.6,0.0,3.2,349.2,5.4,2.2,3.2,3.2,0.0,3.0,352.6,6.6,2.8,3.8,3.8,0.0,3.0,355.2,5.8,2.4,3.4,3.4,0.0,3.0,351.4
800.0,5.8,2.4,3.4,3.4,0.0,3.2,393.8,9.0,4.0,5.0,5.0,0.0,3.8,401.0,6.2,2.6,3.6,3.6,0.0,3.0,402.0,7.8,3.4,4.4,4.4,0.0,3.4,385.8,4.6,1.8,2.8,2.8,0.0,2.8,395.4,7.8,3.4,4.4,4.4,0.0,3.4,394.8,7.8,3.4,4.4,4.4,0.0,3.4,399.4,7.4,3.2,4.2,4.2,0.0,3.4,401.6,5.8,2.4,3.4,3.4,0.0,3.0,400.8,6.6,2.8,3.8,3.8,0.0,3.4,393.0,7.4,3.2,4.2,4.2,0.0,3.4,407.0,5.4,2.2,3.2,3.2,0.0,2.8,404.0,7.8,3.4,4.4,4.4,0.0,3.6,401.8,6.6,2.8,3.8,3.8,0.0,3.2,406.0,6.6,2.8,3.8,3.8,0.0,3.2,391.6,6.2,2.6,3.6,3.6,0.0,3.0,411.4,7.0,3.0,4.0,4.0,0.0,3.4,399.0,5.8,2.4,3.4,3.4,0.0,3.0,400.6,6.6,2.8,3.8,3.8,0.0,3.0,405.0,6.2,2.6,3.6,3.6,0.0,3.2,403.0
900.0,5.8,2.4,3.4,3.4,0.0,3.2,443.6,9.0,4.0,5.0,5.0,0.0,3.8,447.4,6.6,2.8,3.8,3.8,0.0,3.0,452.4,8.2,3.6,4.6,4.6,0.0,3.4,433.4,5.8,2.4,3.4,3.4,0.0,3.2,446.0,8.2,3.6,4.6,4.6,0.0,3.4,444.8,7.8,3.4,4.4,4.4,0.0,3.4,453.6,8.2,3.6,4.6,4.6,0.0,3.6,449.4,6.6,2.8,3.8,3.8,0.0,3.2,449.4,7.0,3.0,4.0,4.0,0.0,3.4,443.6,7.4,3.2,4.2,4.2,0.0,3.4,455.0,6.6,2.8,3.8,3.8,0.0,3.2,455.4,7.8,3.4,4.4,4.4,0.0,3.6,452.4,6.6,2.8,3.8,3.8,0.0,3.2,455.8,7.0,3.0,4.0,4.0,0.0,3.2,441.8,7.8,3.4,4.4,4.4,0.0,3.8,462.6,8.2,3.6,4.6,4.6,0.0,3.8,449.0,6.2,2.6,3.6,3.6,0.0,3.2,449.4,7.8,3.4,4.4,4.4,0.0,3.4,453.2,7.0,3.0,4.0,4.0,0.0,3.4,454.8
1000.0,7.0,3.0,4.0,4.0,0.0,3.4,494.6,9.0,4.0,5.0,5.0,0.0,3.8,497.2,6.6,2.8,3.8,3.8,0.0,3.0,504.2,9.0,4.0,5.0,5.0,0.0,3.8,481.0,6.6,2.8,3.8,3.8,0.0,3.6,496.6,8.2,3.6,4.6,4.6,0.0,3.4,495.8,8.6,3.8,4.8,4.8,0.0,3.6,501.8,8.2,3.6,4.6,4.6,0.0,3.6,497.0,6.6,2.8,3.8,3.8,0.0,3.2,497.8,7.4,3.2,4.2,4.2,0.0,3.4,493.2,7.4,3.2,4.2,4.2,0.0,3.4,504.2,6.6,2.8,3.8,3.8,0.0,3.2,502.8,8.6,3.8,4.8,4.8,0.0,4.0,500.2,7.0,3.0,4.0,4.0,0.0,3.4,505.4,7.8,3.4,4.4,4.4,0.0,3.4,495.8,9.0,4.0,5.0,5.0,0.0,4.0,512.0,8.6,3.8,4.8,4.8,0.0,3.8,500.4,6.6,2.8,3.8,3.8,0.0,3.2,497.4,8.6,3.8,4.8,4.8,0.0,3.6,501.2,7.4,3.2,4.2,4.2,0.0,3.6,507.6
