Unnamed: 0,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100.0,2.2,0.6,1.6,1.6,0.0,1.6,51.8,1.4,0.2,1.2,1.2,0.0,1.2,47.6,1.8,0.4,1.4,1.4,0.0,1.4,49.6,1.8,0.4,1.4,1.4,0.0,1.4,48.8,1.8,0.4,1.4,1.4,0.0,1.4,48.6,1.4,0.2,1.2,1.2,0.0,1.2,51.4,1.4,0.2,1.2,1.2,0.0,1.2,49.6,1.8,0.4,1.4,1.4,0.0,1.4,52.0,2.6,0.8,1.8,1.8,0.0,1.8,52.6,1.0,0.0,1.0,1.0,0.0,1.0,47.0,1.4,0.2,1.2,1.2,0.0,1.2,49.2,1.8,0.4,1.4,1.4,0.0,1.4,49.6,2.2,0.6,1.6,1.6,0.0,1.6,49.4,2.2,0.6,1.6,1.6,0.0,1.6,52.6,1.0,0.0,1.0,1.0,0.0,1.0,45.8,1.8,0.4,1.4,1.4,0.0,1.4,49.4,1.8,0.4,1.4,1.4,0.0,1.4,54.2,1.8,0.4,1.4,1.4,0.0,1.4,48.8,1.4,0.2,1.2,1.2,0.0,1.2,53.8,1.8,0.4,1.4,1.4,0.0,1.4,46.8
200.0,3.0,1.0,2.0,2.0,0.0,2.0,100.4,2.2,0.6,1.6,1.6,0.0,1.6,96.6,3.0,1.0,2.0,2.0,0.0,2.0,102.6,2.6,0.8,1.8,1.8,0.0,1.8,97.8,3.0,1.0,2.0,2.0,0.0,2.0,101.6,2.6,0.8,1.8,1.8,0.0,1.8,100.4,2.6,0.8,1.8,1.8,0.0,1.8,102.2,2.6,0.8,1.8,1.8,0.0,1.8,98.4,2.6,0.8,1.8,1.8,0.0,1.8,101.4,1.8,0.4,1.4,1.4,0.0,1.4,96.2,1.8,0.4,1.4,1.4,0.0,1.4,99.6,2.6,0.8,1.8,1.8,0.0,1.8,98.4,2.6,0.8,1.8,1.8,0.0,1.8,103.0,2.6,0.8,1.8,1.8,0.0,1.8,102.4,1.8,0.4,1.4,1.4,0.0,1.4,95.2,2.2,0.6,1.6,1.6,0.0,1.6,99.8,2.6,0.8,1.8,1.8,0.0,1.8,106.6,2.2,0.6,1.6,1.6,0.0,1.6,99.8,2.6,0.8,1.8,1.8,0.0,1.8,103.0,2.6,0.8,1.8,1.8,0.0,1.8,91.2
300.0,3.4,1.2,2.2,2.2,0.0,2.2,148.2,3.0,1.0,2.0,2.0,0.0,2.0,145.0,3.0,1.0,2.0,2.0,0.0,2.0,155.0,3.0,1.0,2.0,2.0,0.0,2.0,146.4,3.0,1.0,2.0,2.0,0.0,2.0,153.6,3.0,1.0,2.0,2.0,0.0,2.0,148.8,3.0,1.0,2.0,2.0,0.0,2.0,154.4,3.0,1.0,2.0,2.0,0.0,2.0,150.4,3.4,1.2,2.2,2.2,0.0,2.2,153.8,1.8,0.4,1.4,1.4,0.0,1.4,147.8,3.0,1.0,2.0,2.0,0.0,2.0,146.2,3.0,1.0,2.0,2.0,0.0,2.0,148.2,3.0,1.0,2.0,2.0,0.0,2.0,152.2,3.0,1.0,2.0,2.0,0.0,2.0,150.0,2.6,0.8,1.8,1.8,0.0,1.8,149.0,2.6,0.8,1.8,1.8,0.0,1.8,146.0,3.0,1.0,2.0,2.0,0.0,2.0,155.0,2.6,0.8,1.8,1.8,0.0,1.8,153.2,3.4,1.2,2.2,2.2,0.0,2.2,155.4,3.0,1.0,2.0,2.0,0.0,2.0,141.8
400.0,3.4,1.2,2.2,2.2,0.0,2.2,194.2,3.0,1.0,2.0,2.0,0.0,2.0,193.6,3.0,1.0,2.0,2.0,0.0,2.0,205.8,3.0,1.0,2.0,2.0,0.0,2.0,195.4,3.0,1.0,2.0,2.0,0.0,2.0,203.2,3.4,1.2,2.2,2.2,0.0,2.2,196.6,3.0,1.0,2.0,2.0,0.0,2.0,203.8,3.0,1.0,2.0,2.0,0.0,2.0,201.0,3.4,1.2,2.2,2.2,0.0,2.2,203.4,2.6,0.8,1.8,1.8,0.0,1.8,194.8,3.0,1.0,2.0,2.0,0.0,2.0,195.8,3.4,1.2,2.2,2.2,0.0,2.2,196.0,3.0,1.0,2.0,2.0,0.0,2.0,206.2,3.0,1.0,2.0,2.0,0.0,2.0,201.6,3.0,1.0,2.0,2.0,0.0,2.0,199.6,3.0,1.0,2.0,2.0,0.0,2.0,193.4,3.0,1.0,2.0,2.0,0.0,2.0,206.8,3.0,1.0,2.0,2.0,0.0,2.0,204.2,3.4,1.2,2.2,2.2,0.0,2.2,204.0,3.0,1.0,2.0,2.0,0.0,2.0,190.6
500.0,3.8,1.4,2.4,2.4,0.0,2.4,244.2,3.0,1.0,2.0,2.0,0.0,2.0,242.2,3.4,1.2,2.2,2.2,0.0,2.2,255.0,3.4,1.2,2.2,2.2,0.0,2.2,239.0,3.4,1.2,2.2,2.2,0.0,2.2,254.4,3.4,1.2,2.2,2.2,0.0,2.2,248.0,3.0,1.0,2.0,2.0,0.0,2.0,254.6,3.0,1.0,2.0,2.0,0.0,2.0,249.2,3.4,1.2,2.2,2.2,0.0,2.2,250.6,3.0,1.0,2.0,2.0,0.0,2.0,244.0,3.0,1.0,2.0,2.0,0.0,2.0,247.0,3.8,1.4,2.4,2.4,0.0,2.4,247.0,3.0,1.0,2.0,2.0,0.0,2.0,254.8,3.0,1.0,2.0,2.0,0.0,2.0,250.8,3.0,1.0,2.0,2.0,0.0,2.0,250.6,3.0,1.0,2.0,2.0,0.0,2.0,246.8,3.0,1.0,2.0,2.0,0.0,2.0,256.4,3.4,1.2,2.2,2.2,0.0,2.2,254.6,3.4,1.2,2.2,2.2,0.0,2.2,257.4,3.0,1.0,2.0,2.0,0.0,2.0,239.0
600.0,3.8,1.4,2.4,2.4,0.0,2.4,293.0,3.0,1.0,2.0,2.0,0.0,2.0,293.6,3.4,1.2,2.2,2.2,0.0,2.2,306.0,3.4,1.2,2.2,2.2,0.0,2.2,289.2,4.2,1.6,2.6,2.6,0.0,2.4,303.0,3.4,1.2,2.2,2.2,0.0,2.2,298.2,3.0,1.0,2.0,2.0,0.0,2.0,301.4,3.4,1.2,2.2,2.2,0.0,2.2,297.8,3.8,1.4,2.4,2.4,0.0,2.4,299.2,3.0,1.0,2.0,2.0,0.0,2.0,293.2,3.0,1.0,2.0,2.0,0.0,2.0,299.8,3.8,1.4,2.4,2.4,0.0,2.4,295.8,3.0,1.0,2.0,2.0,0.0,2.0,305.6,3.4,1.2,2.2,2.2,0.0,2.2,303.0,3.0,1.0,2.0,2.0,0.0,2.0,299.8,3.4,1.2,2.2,2.2,0.0,2.2,293.0,3.0,1.0,2.0,2.0,0.0,2.0,306.6,3.8,1.4,2.4,2.4,0.0,2.4,307.2,3.4,1.2,2.2,2.2,0.0,2.2,307.4,3.8,1.4,2.4,2.4,0.0,2.4,286.0
700.0,4.2,1.6,2.6,2.6,0.0,2.6,345.0,3.0,1.0,2.0,2.0,0.0,2.0,342.6,3.8,1.4,2.4,2.4,0.0,2.4,355.8,3.8,1.4,2.4,2.4,0.0,2.4,339.0,4.6,1.8,2.8,2.8,0.0,2.6,354.6,3.8,1.4,2.4,2.4,0.0,2.4,347.6,3.4,1.2,2.2,2.2,0.0,2.2,348.2,3.4,1.2,2.2,2.2,0.0,2.2,347.8,4.2,1.6,2.6,2.6,0.0,2.4,350.0,3.0,1.0,2.0,2.0,0.0,2.0,345.2,3.0,1.0,2.0,2.0,0.0,2.0,349.8,3.8,1.4,2.4,2.4,0.0,2.4,347.0,3.4,1.2,2.2,2.2,0.0,2.2,355.4,3.4,1.2,2.2,2.2,0.0,2.2,351.8,3.0,1.0,2.0,2.0,0.0,2.0,349.6,3.8,1.4,2.4,2.4,0.0,2.4,343.8,3.4,1.2,2.2,2.2,0.0,2.2,353.6,4.2,1.6,2.6,2.6,0.0,2.4,357.4,3.8,1.4,2.4,2.4,0.0,2.4,361.2,4.2,1.6,2.6,2.6,0.0,2.6,336.0
800.0,4.6,1.8,2.8,2.8,0.0,2.6,393.4,3.0,1.0,2.0,2.0,0.0,2.0,389.0,3.8,1.4,2.4,2.4,0.0,2.4,406.0,4.2,1.6,2.6,2.6,0.0,2.6,388.0,5.0,2.0,3.0,3.0,0.0,2.8,405.8,4.6,1.8,2.8,2.8,0.0,2.6,397.8,3.4,1.2,2.2,2.2,0.0,2.2,396.6,4.2,1.6,2.6,2.6,0.0,2.6,397.4,4.2,1.6,2.6,2.6,0.0,2.4,401.6,3.0,1.0,2.0,2.0,0.0,2.0,394.2,3.0,1.0,2.0,2.0,0.0,2.0,397.8,4.2,1.6,2.6,2.6,0.0,2.6,397.0,3.4,1.2,2.2,2.2,0.0,2.2,409.2,3.4,1.2,2.2,2.2,0.0,2.2,398.6,3.4,1.2,2.2,2.2,0.0,2.2,396.8,3.8,1.4,2.4,2.4,0.0,2.4,396.4,3.8,1.4,2.4,2.4,0.0,2.2,402.4,4.6,1.8,2.8,2.8,0.0,2.6,412.6,3.8,1.4,2.4,2.4,0.0,2.4,410.2,4.2,1.6,2.6,2.6,0.0,2.6,388.6
900.0,4.6,1.8,2.8,2.8,0.0,2.6,444.8,3.8,1.4,2.4,2.4,0.0,2.2,442.0,4.2,1.6,2.6,2.6,0.0,2.6,453.2,4.6,1.8,2.8,2.8,0.0,2.6,439.0,5.0,2.0,3.0,3.0,0.0,2.8,455.8,5.0,2.0,3.0,3.0,0.0,2.8,446.2,3.4,1.2,2.2,2.2,0.0,2.2,445.2,4.2,1.6,2.6,2.6,0.0,2.6,448.4,4.6,1.8,2.8,2.8,0.0,2.6,449.6,3.0,1.0,2.0,2.0,0.0,2.0,444.4,3.0,1.0,2.0,2.0,0.0,2.0,450.0,4.6,1.8,2.8,2.8,0.0,2.8,443.4,3.4,1.2,2.2,2.2,0.0,2.2,457.2,4.2,1.6,2.6,2.6,0.0,2.6,449.0,3.8,1.4,2.4,2.4,0.0,2.4,442.2,4.2,1.6,2.6,2.6,0.0,2.6,446.6,3.8,1.4,2.4,2.4,0.0,2.2,449.8,4.6,1.8,2.8,2.8,0.0,2.6,461.6,4.6,1.8,2.8,2.8,0.0,2.4,460.4,4.2,1.6,2.6,2.6,0.0,2.6,443.0
1000.0,5.0,2.0,3.0,3.0,0.0,2.6,489.6,4.2,1.6,2.6,2.6,0.0,2.4,492.2,4.6,1.8,2.8,2.8,0.0,2.6,504.0,5.0,2.0,3.0,3.0,0.0,2.8,490.0,5.4,2.2,3.2,3.2,0.0,3.0,506.0,5.0,2.0,3.0,3.0,0.0,2.8,496.0,3.8,1.4,2.4,2.4,0.0,2.4,493.8,4.6,1.8,2.8,2.8,0.0,2.8,498.0,5.4,2.2,3.2,3.2,0.0,2.8,500.2,3.4,1.2,2.2,2.2,0.0,2.2,493.8,3.4,1.2,2.2,2.2,0.0,2.2,501.2,5.4,2.2,3.2,3.2,0.0,3.0,494.4,3.4,1.2,2.2,2.2,0.0,2.2,505.0,4.2,1.6,2.6,2.6,0.0,2.6,498.8,3.8,1.4,2.4,2.4,0.0,2.4,491.8,4.6,1.8,2.8,2.8,0.0,2.8,497.8,3.8,1.4,2.4,2.4,0.0,2.2,499.2,5.0,2.0,3.0,3.0,0.0,2.6,514.2,5.0,2.0,3.0,3.0,0.0,2.6,506.6,4.2,1.6,2.6,2.6,0.0,2.6,495.2
