Unnamed: 0,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100.0,9.0,3.2,5.8,5.8,0.0,3.2,616.0,13.0,4.6,8.4,8.4,0.0,4.2,570.0,12.8,4.2,8.6,8.6,0.0,3.8,616.0,16.6,3.4,13.2,13.2,0.0,3.2,596.0,5.8,2.4,3.4,3.4,0.0,3.0,621.0,20.0,3.8,16.2,16.2,0.0,3.8,589.0,17.8,4.4,13.4,13.4,0.0,4.4,572.0,12.8,3.6,9.2,9.2,0.0,3.8,622.0,7.4,2.2,5.2,5.2,0.0,2.6,569.0,7.6,2.8,4.8,4.8,0.0,2.8,584.0,16.2,3.4,12.8,12.8,0.0,3.2,588.0,22.2,4.4,17.8,17.8,0.0,4.0,576.0,12.0,3.4,8.6,8.6,0.0,3.6,598.0,10.4,3.0,7.4,7.4,0.0,3.4,610.0,5.8,2.0,3.8,3.8,0.0,2.8,537.0,13.6,4.0,9.6,9.6,0.0,3.6,636.0,9.2,3.6,5.6,5.6,0.0,3.8,587.0,15.0,3.6,11.4,11.4,0.0,3.8,581.0,28.6,2.0,26.6,26.6,0.0,2.6,615.0,13.0,4.8,8.2,8.2,0.0,4.2,607.0
200.0,27.6,9.0,18.6,18.6,0.0,5.4,1182.0,30.6,9.4,21.2,21.2,0.0,5.6,1176.0,24.4,8.0,16.4,16.4,0.0,5.4,1214.0,31.2,7.8,23.4,23.4,0.0,5.4,1175.0,17.0,6.8,10.2,10.2,0.0,5.0,1219.0,36.0,8.2,27.8,27.8,0.0,5.8,1228.0,31.8,7.6,24.2,24.2,0.0,5.0,1160.0,29.0,8.8,20.2,20.2,0.0,5.8,1261.0,25.4,6.8,18.6,18.6,0.0,5.0,1220.0,22.0,6.8,15.2,15.2,0.0,4.4,1238.0,24.8,6.2,18.6,18.6,0.0,4.2,1194.0,39.6,7.0,32.6,32.6,0.0,4.8,1178.0,24.8,7.2,17.6,17.6,0.0,4.8,1202.0,30.0,7.6,22.4,22.4,0.0,5.2,1209.0,27.2,6.6,20.6,20.6,0.0,4.6,1152.0,27.4,7.0,20.4,20.4,0.0,4.4,1227.0,24.6,8.0,16.6,16.6,0.0,5.4,1175.0,26.4,6.4,20.0,20.0,0.0,5.0,1159.0,26.0,3.0,23.0,23.0,0.0,3.0,988.2,32.0,8.8,23.2,23.2,0.0,5.2,1263.0
300.0,47.0,14.0,33.0,33.0,0.0,6.8,1840.0,55.2,13.4,41.8,41.8,0.0,6.6,1744.0,43.8,14.8,29.0,29.0,0.0,6.4,1800.0,43.2,12.0,31.2,31.2,0.0,6.8,1743.0,31.8,11.6,20.2,20.2,0.0,6.4,1809.0,55.2,12.0,43.2,43.2,0.0,6.2,1791.0,40.6,10.2,30.4,30.4,0.0,6.0,1735.0,48.0,12.8,35.2,35.2,0.0,6.6,1840.0,40.8,11.2,29.6,29.6,0.0,6.0,1887.0,37.2,11.2,26.0,26.0,0.0,6.2,1832.0,35.2,9.2,26.0,26.0,0.0,5.2,1768.0,54.4,9.8,44.6,44.6,0.0,5.2,1776.0,36.0,10.8,25.2,25.2,0.0,5.4,1797.0,50.0,11.2,38.8,38.8,0.0,6.2,1782.0,49.8,10.0,39.8,39.8,0.0,5.8,1750.0,41.8,11.2,30.6,30.6,0.0,5.4,1842.0,42.8,12.2,30.6,30.6,0.0,7.0,1826.0,43.8,10.6,33.2,33.2,0.0,6.2,1766.0,21.6,5.0,16.6,16.6,0.0,3.6,764.8,48.2,12.4,35.8,35.8,0.0,6.2,1848.0
400.0,67.8,18.4,49.4,49.4,0.0,8.0,2452.0,70.0,17.0,53.0,53.0,0.0,6.6,2339.0,55.4,19.4,36.0,36.0,0.0,7.4,2404.0,56.2,17.0,39.2,39.2,0.0,8.4,2328.0,51.2,16.6,34.6,34.6,0.0,7.2,2397.0,66.8,16.2,50.6,50.6,0.0,6.6,2402.0,48.6,14.2,34.4,34.4,0.0,6.8,2295.0,63.8,17.4,46.4,46.4,0.0,7.4,2429.0,52.0,15.4,36.6,36.6,0.0,7.0,2488.0,50.8,15.6,35.2,35.2,0.0,7.2,2452.0,48.4,14.0,34.4,34.4,0.0,6.6,2411.0,54.0,11.6,42.4,42.4,0.0,5.2,1960.8,52.6,16.0,36.6,36.6,0.0,6.4,2355.0,64.2,14.8,49.4,49.4,0.0,7.0,2352.0,70.4,14.0,56.4,56.4,0.0,6.0,2362.0,55.8,14.6,41.2,41.2,0.0,5.8,2456.0,58.2,16.8,41.4,41.4,0.0,8.0,2418.0,50.4,13.6,36.8,36.8,0.0,6.6,2006.0,33.4,9.0,24.4,24.4,0.0,4.8,1374.8,63.4,17.8,45.6,45.6,0.0,6.8,2466.0
500.0,82.2,21.4,60.8,60.8,0.0,8.6,3061.0,82.8,20.8,62.0,62.0,0.0,7.0,2939.0,69.0,24.2,44.8,44.8,0.0,8.0,3001.0,74.8,22.0,52.8,52.8,0.0,9.6,2937.0,70.6,21.2,49.4,49.4,0.0,7.6,2984.0,78.2,20.2,58.0,58.0,0.0,7.2,3018.0,59.6,18.2,41.4,41.4,0.0,7.2,2922.0,79.6,21.8,57.8,57.8,0.0,7.6,3065.0,63.8,19.8,44.0,44.0,0.0,7.6,3102.0,61.4,19.6,41.8,41.8,0.0,7.8,3069.0,63.8,19.6,44.2,44.2,0.0,7.4,3019.0,63.6,14.8,48.8,48.8,0.0,6.0,2533.8,67.8,21.0,46.8,46.8,0.0,6.6,2985.0,87.0,19.2,67.8,67.8,0.0,7.8,2912.0,86.0,17.2,68.8,68.8,0.0,6.4,2971.0,74.0,19.8,54.2,54.2,0.0,6.4,3073.0,75.0,21.0,54.0,54.0,0.0,8.2,3004.0,62.0,17.8,44.2,44.2,0.0,7.0,2589.0,44.0,13.8,30.2,30.2,0.0,6.0,1687.4,76.4,22.6,53.8,53.8,0.0,7.6,3047.0
600.0,101.0,26.8,74.2,74.2,0.0,9.0,3708.0,91.4,23.6,67.8,67.8,0.0,7.0,3524.0,83.2,29.6,53.6,53.6,0.0,8.8,3619.0,74.6,20.8,53.8,53.8,0.0,9.0,3001.0,91.6,25.4,66.2,66.2,0.0,8.6,3561.0,89.8,25.0,64.8,64.8,0.0,7.6,3650.0,76.0,23.6,52.4,52.4,0.0,7.8,3544.0,91.0,25.0,66.0,66.0,0.0,8.2,3668.0,81.0,25.8,55.2,55.2,0.0,8.0,3720.0,76.0,24.4,51.6,51.6,0.0,8.2,3661.0,76.0,23.8,52.2,52.2,0.0,7.4,3557.0,74.6,18.6,56.0,56.0,0.0,6.4,3100.8,77.2,24.6,52.6,52.6,0.0,7.0,3627.0,99.6,23.2,76.4,76.4,0.0,8.4,3543.0,100.0,20.4,79.6,79.6,0.0,6.6,3570.0,91.2,25.0,66.2,66.2,0.0,6.8,3730.0,89.0,25.2,63.8,63.8,0.0,8.8,3606.0,71.4,21.4,50.0,50.0,0.0,7.6,3171.0,59.8,18.6,41.2,41.2,0.0,7.2,2278.4,88.8,27.0,61.8,61.8,0.0,7.8,3643.0
700.0,116.6,31.6,85.0,85.0,0.0,9.4,4295.0,101.6,27.6,74.0,74.0,0.0,7.4,4088.0,99.4,35.0,64.4,64.4,0.0,9.2,4221.0,90.2,25.4,64.8,64.8,0.0,9.8,3605.0,108.0,29.4,78.6,78.6,0.0,9.0,4159.0,99.8,29.2,70.6,70.6,0.0,7.6,4240.0,84.8,26.2,58.6,58.6,0.0,8.8,3737.4,102.6,28.4,74.2,74.2,0.0,8.2,4205.0,91.8,28.4,63.4,63.4,0.0,8.4,4279.0,75.4,27.0,48.4,48.4,0.0,7.8,3495.4,89.8,29.4,60.4,60.4,0.0,7.6,4108.0,90.6,24.2,66.4,66.4,0.0,6.4,3739.8,97.0,30.4,66.6,66.6,0.0,7.8,4212.0,114.0,27.4,86.6,86.6,0.0,8.6,4117.0,96.2,20.0,76.2,76.2,0.0,6.2,3387.4,107.4,29.8,77.6,77.6,0.0,7.2,4297.0,105.2,29.2,76.0,76.0,0.0,9.2,4227.0,87.8,26.0,61.8,61.8,0.0,8.6,3787.0,78.2,23.4,54.8,54.8,0.0,7.8,2895.4,102.8,31.2,71.6,71.6,0.0,8.0,4246.0
800.0,132.6,35.6,97.0,97.0,0.0,9.8,4894.0,114.2,33.0,81.2,81.2,0.0,7.8,4657.0,117.0,40.2,76.8,76.8,0.0,9.6,4834.0,101.8,29.4,72.4,72.4,0.0,10.4,4211.0,116.0,31.8,84.2,84.2,0.0,9.0,4769.0,111.2,33.4,77.8,77.8,0.0,8.0,4813.0,101.2,29.6,71.6,71.6,0.0,9.0,4385.4,115.0,32.2,82.8,82.8,0.0,8.6,4762.0,106.0,33.4,72.6,72.6,0.0,9.2,4882.0,90.8,33.0,57.8,57.8,0.0,8.6,4108.4,87.6,30.2,57.4,57.4,0.0,8.0,4150.2,100.8,28.4,72.4,72.4,0.0,6.6,4320.8,109.4,34.6,74.8,74.8,0.0,8.2,4830.0,124.4,30.8,93.6,93.6,0.0,8.6,4690.0,111.6,25.0,86.6,86.6,0.0,6.6,4008.4,124.4,34.6,89.8,89.8,0.0,7.2,4934.0,118.4,33.8,84.6,84.6,0.0,9.4,4845.0,103.4,31.4,72.0,72.0,0.0,9.0,4409.0,95.4,29.0,66.4,66.4,0.0,8.4,3513.4,111.8,34.2,77.6,77.6,0.0,8.4,4792.0
900.0,147.0,40.6,106.4,106.4,0.0,10.0,5493.0,129.2,39.2,90.0,90.0,0.0,8.6,5306.0,132.4,45.4,87.0,87.0,0.0,9.6,5416.0,116.8,34.0,82.8,82.8,0.0,11.0,4807.0,129.4,35.8,93.6,93.6,0.0,9.2,5382.0,85.6,25.6,60.0,60.0,0.0,4.8,3242.0,95.8,27.6,68.2,68.2,0.0,8.2,3920.2,135.8,39.6,96.2,96.2,0.0,9.2,5358.0,124.4,38.0,86.4,86.4,0.0,9.6,5468.0,105.2,37.4,67.8,67.8,0.0,8.8,4738.4,103.0,34.2,68.8,68.8,0.0,8.2,4763.2,86.6,23.0,63.6,63.6,0.0,6.6,3393.0,120.6,38.0,82.6,82.6,0.0,8.4,5409.0,140.2,35.2,105.0,105.0,0.0,9.4,5273.0,124.4,27.4,97.0,97.0,0.0,6.8,4598.4,138.0,39.2,98.8,98.8,0.0,7.8,5504.0,129.2,37.4,91.8,91.8,0.0,9.6,5415.0,91.0,30.2,60.8,60.8,0.0,8.6,4044.4,115.8,34.6,81.2,81.2,0.0,9.2,4069.4,129.4,39.8,89.6,89.6,0.0,8.8,5367.0
1000.0,161.8,44.4,117.4,117.4,0.0,10.6,6080.0,141.6,43.0,98.6,98.6,0.0,8.6,5886.0,152.0,51.8,100.2,100.2,0.0,10.0,6027.0,132.4,38.6,93.8,93.8,0.0,11.0,5460.0,143.2,40.6,102.6,102.6,0.0,9.8,5985.0,102.2,28.8,73.4,73.4,0.0,6.0,3828.0,105.8,31.2,74.6,74.6,0.0,8.8,4528.2,154.2,44.8,109.4,109.4,0.0,9.4,5965.0,143.2,41.6,101.6,101.6,0.0,9.8,6045.0,130.6,43.6,87.0,87.0,0.0,9.4,5343.4,119.8,39.0,80.8,80.8,0.0,8.6,5382.2,98.8,28.0,70.8,70.8,0.0,7.0,4005.0,135.0,42.6,92.4,92.4,0.0,8.6,6019.0,161.6,42.0,119.6,119.6,0.0,9.8,5907.0,108.6,29.0,79.6,79.6,0.0,6.6,4575.0,152.6,44.4,108.2,108.2,0.0,8.0,6063.0,143.6,42.0,101.6,101.6,0.0,10.0,6039.0,105.2,34.8,70.4,70.4,0.0,9.4,4621.4,141.2,40.4,100.8,100.8,0.0,9.6,4714.4,144.8,45.0,99.8,99.8,0.0,9.0,5959.0
