Unnamed: 0,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100.0,13.0,6.0,7.0,7.0,0.0,5.4,616.0,13.0,6.0,7.0,7.0,0.0,5.4,570.0,13.0,6.0,7.0,7.0,0.0,5.4,616.0,15.4,7.2,8.2,8.2,0.0,6.0,596.0,12.2,5.6,6.6,6.6,0.0,5.2,621.0,12.6,5.8,6.8,6.8,0.0,5.4,589.0,13.8,6.4,7.4,7.4,0.0,5.6,572.0,14.2,6.6,7.6,7.6,0.0,5.4,622.0,10.6,4.8,5.8,5.8,0.0,4.8,569.0,13.8,6.4,7.4,7.4,0.0,4.8,584.0,14.6,6.8,7.8,7.8,0.0,5.8,588.0,11.0,5.0,6.0,6.0,0.0,4.8,576.0,12.2,5.6,6.6,6.6,0.0,5.2,598.0,11.8,5.4,6.4,6.4,0.0,4.8,610.0,13.0,6.0,7.0,7.0,0.0,5.8,537.0,13.4,6.2,7.2,7.2,0.0,5.6,636.0,12.6,5.8,6.8,6.8,0.0,5.2,587.0,13.8,6.4,7.4,7.4,0.0,5.4,581.0,9.4,4.2,5.2,5.2,0.0,4.4,615.0,11.8,5.4,6.4,6.4,0.0,5.2,607.0
200.0,25.8,12.4,13.4,13.4,0.0,7.8,1182.0,27.8,13.4,14.4,14.4,0.0,7.8,1176.0,24.6,11.8,12.8,12.8,0.0,7.6,1214.0,25.4,12.2,13.2,13.2,0.0,7.8,1175.0,25.0,12.0,13.0,13.0,0.0,7.6,1219.0,25.0,12.0,13.0,13.0,0.0,7.0,1228.0,23.8,11.4,12.4,12.4,0.0,7.6,1160.0,27.4,13.2,14.2,14.2,0.0,7.4,1261.0,23.0,11.0,12.0,12.0,0.0,6.8,1220.0,25.8,12.4,13.4,13.4,0.0,6.8,1238.0,26.6,12.8,13.8,13.8,0.0,8.2,1194.0,25.4,12.2,13.2,13.2,0.0,7.0,1178.0,24.6,11.8,12.8,12.8,0.0,7.4,1202.0,24.2,11.6,12.6,12.6,0.0,6.8,1209.0,26.6,12.8,13.8,13.8,0.0,8.2,1152.0,26.2,12.6,13.6,13.6,0.0,7.4,1227.0,22.2,10.6,11.6,11.6,0.0,6.4,1175.0,27.4,13.2,14.2,14.2,0.0,7.8,1159.0,21.8,10.4,11.4,11.4,0.0,7.4,1224.0,23.8,11.4,12.4,12.4,0.0,7.6,1263.0
300.0,37.8,18.4,19.4,19.4,0.0,9.6,1840.0,39.8,19.4,20.4,20.4,0.0,9.4,1744.0,37.4,18.2,19.2,19.2,0.0,9.0,1800.0,33.8,16.4,17.4,17.4,0.0,8.2,1743.0,39.4,19.2,20.2,20.2,0.0,8.8,1809.0,37.4,18.2,19.2,19.2,0.0,8.2,1791.0,33.4,16.2,17.2,17.2,0.0,8.8,1735.0,39.4,19.2,20.2,20.2,0.0,8.8,1840.0,35.0,17.0,18.0,18.0,0.0,8.4,1887.0,36.6,17.8,18.8,18.8,0.0,7.8,1832.0,36.6,17.8,18.8,18.8,0.0,9.4,1768.0,36.2,17.6,18.6,18.6,0.0,8.6,1776.0,36.6,17.8,18.8,18.8,0.0,8.4,1797.0,36.2,17.6,18.6,18.6,0.0,8.4,1782.0,39.0,19.0,20.0,20.0,0.0,9.0,1750.0,39.4,19.2,20.2,20.2,0.0,9.0,1842.0,36.6,17.8,18.8,18.8,0.0,8.0,1826.0,39.4,19.2,20.2,20.2,0.0,9.0,1766.0,35.4,17.2,18.2,18.2,0.0,8.8,1837.0,36.2,17.6,18.6,18.6,0.0,9.4,1848.0
400.0,51.4,25.2,26.2,26.2,0.0,11.2,2452.0,52.2,25.6,26.6,26.6,0.0,10.2,2339.0,49.0,24.0,25.0,25.0,0.0,10.0,2404.0,45.8,22.4,23.4,23.4,0.0,9.2,2328.0,52.6,25.8,26.8,26.8,0.0,10.0,2397.0,48.6,23.8,24.8,24.8,0.0,9.4,2402.0,46.6,22.8,23.8,23.8,0.0,9.8,2295.0,52.2,25.6,26.6,26.6,0.0,10.2,2429.0,48.2,23.6,24.6,24.6,0.0,10.0,2488.0,48.6,23.8,24.8,24.8,0.0,8.8,2452.0,46.2,22.6,23.6,23.6,0.0,10.2,2411.0,49.8,24.4,25.4,25.4,0.0,9.4,2343.0,47.0,23.0,24.0,24.0,0.0,9.4,2355.0,46.6,22.8,23.8,23.8,0.0,9.2,2352.0,53.8,26.4,27.4,27.4,0.0,9.8,2362.0,53.0,26.0,27.0,27.0,0.0,10.2,2456.0,47.4,23.2,24.2,24.2,0.0,8.8,2418.0,54.2,26.6,27.6,27.6,0.0,10.4,2389.0,48.2,23.6,24.6,24.6,0.0,9.8,2447.0,48.6,23.8,24.8,24.8,0.0,10.2,2466.0
500.0,61.8,30.4,31.4,31.4,0.0,11.4,3061.0,63.8,31.4,32.4,32.4,0.0,11.0,2939.0,61.0,30.0,31.0,31.0,0.0,11.0,3001.0,58.2,28.6,29.6,29.6,0.0,10.0,2937.0,63.4,31.2,32.2,32.2,0.0,10.8,2984.0,62.6,30.8,31.8,31.8,0.0,10.2,3018.0,62.6,30.8,31.8,31.8,0.0,11.0,2922.0,63.0,31.0,32.0,32.0,0.0,10.8,3065.0,63.4,31.2,32.2,32.2,0.0,10.6,3102.0,63.8,31.4,32.4,32.4,0.0,9.8,3069.0,59.8,29.4,30.4,30.4,0.0,10.8,3019.0,65.8,32.4,33.4,33.4,0.0,10.6,2916.0,61.0,30.0,31.0,31.0,0.0,10.2,2985.0,59.0,29.0,30.0,30.0,0.0,10.2,2912.0,66.2,32.6,33.6,33.6,0.0,10.6,2971.0,66.6,32.8,33.8,33.8,0.0,11.0,3073.0,61.0,30.0,31.0,31.0,0.0,9.2,3004.0,66.2,32.6,33.6,33.6,0.0,11.2,2972.0,60.6,29.8,30.8,30.8,0.0,10.4,3036.0,63.4,31.2,32.2,32.2,0.0,11.0,3047.0
600.0,74.2,36.6,37.6,37.6,0.0,12.2,3708.0,78.2,38.6,39.6,39.6,0.0,11.6,3524.0,76.6,37.8,38.8,38.8,0.0,11.8,3619.0,70.2,34.6,35.6,35.6,0.0,10.8,3529.0,77.0,38.0,39.0,39.0,0.0,11.6,3561.0,76.2,37.6,38.6,38.6,0.0,11.0,3650.0,75.0,37.0,38.0,38.0,0.0,11.2,3544.0,75.4,37.2,38.2,38.2,0.0,11.4,3668.0,74.6,36.8,37.8,37.8,0.0,11.2,3720.0,75.4,37.2,38.2,38.2,0.0,10.6,3661.0,68.6,33.8,34.8,34.8,0.0,11.6,3557.0,76.2,37.6,38.6,38.6,0.0,10.8,3483.0,69.4,34.2,35.2,35.2,0.0,10.8,3627.0,73.4,36.2,37.2,37.2,0.0,10.8,3543.0,77.4,38.2,39.2,39.2,0.0,11.2,3570.0,80.6,39.8,40.8,40.8,0.0,11.4,3730.0,74.6,36.8,37.8,37.8,0.0,10.2,3606.0,77.8,38.4,39.4,39.4,0.0,11.6,3554.0,75.4,37.2,38.2,38.2,0.0,10.8,3627.0,77.0,38.0,39.0,39.0,0.0,11.4,3643.0
700.0,88.6,43.8,44.8,44.8,0.0,12.8,4295.0,90.6,44.8,45.8,45.8,0.0,12.2,4088.0,86.6,42.8,43.8,43.8,0.0,12.2,4221.0,82.2,40.6,41.6,41.6,0.0,11.4,4133.0,93.8,46.4,47.4,47.4,0.0,12.4,4159.0,90.6,44.8,45.8,45.8,0.0,11.6,4240.0,89.8,44.4,45.4,45.4,0.0,11.8,4142.0,84.6,41.8,42.8,42.8,0.0,11.8,4205.0,87.0,43.0,44.0,44.0,0.0,12.2,4279.0,91.4,45.2,46.2,46.2,0.0,11.0,4280.0,81.4,40.2,41.2,41.2,0.0,12.4,4108.0,89.8,44.4,45.4,45.4,0.0,11.2,4122.0,83.4,41.2,42.2,42.2,0.0,11.2,4212.0,87.0,43.0,44.0,44.0,0.0,11.4,4117.0,92.6,45.8,46.8,46.8,0.0,12.0,4147.0,92.6,45.8,46.8,46.8,0.0,12.0,4297.0,86.2,42.6,43.6,43.6,0.0,10.4,4227.0,91.8,45.4,46.4,46.4,0.0,12.6,4170.0,86.6,42.8,43.8,43.8,0.0,11.4,4244.0,90.2,44.6,45.6,45.6,0.0,12.4,4246.0
800.0,100.2,49.6,50.6,50.6,0.0,13.2,4894.0,101.0,50.0,51.0,51.0,0.0,12.8,4657.0,101.8,50.4,51.4,51.4,0.0,12.8,4834.0,96.2,47.6,48.6,48.6,0.0,11.4,4739.0,107.8,53.4,54.4,54.4,0.0,12.8,4769.0,101.4,50.2,51.2,51.2,0.0,12.2,4813.0,107.0,53.0,54.0,54.0,0.0,12.8,4790.0,101.0,50.0,51.0,51.0,0.0,12.2,4762.0,101.0,50.0,51.0,51.0,0.0,12.8,4882.0,104.6,51.8,52.8,52.8,0.0,11.8,4893.0,92.6,45.8,46.8,46.8,0.0,12.6,4731.0,99.0,49.0,50.0,50.0,0.0,11.6,4703.0,95.4,47.2,48.2,48.2,0.0,12.0,4830.0,97.8,48.4,49.4,49.4,0.0,11.8,4690.0,105.8,52.4,53.4,53.4,0.0,12.6,4768.0,106.2,52.6,53.6,53.6,0.0,12.2,4934.0,98.6,48.8,49.8,49.8,0.0,10.6,4845.0,107.0,53.0,54.0,54.0,0.0,13.0,4792.0,101.0,50.0,51.0,51.0,0.0,12.0,4862.0,104.2,51.6,52.6,52.6,0.0,12.4,4792.0
900.0,115.8,57.4,58.4,58.4,0.0,13.8,5493.0,114.6,56.8,57.8,57.8,0.0,13.0,5306.0,111.8,55.4,56.4,56.4,0.0,13.0,5416.0,110.6,54.8,55.8,55.8,0.0,12.2,5335.0,117.4,58.2,59.2,59.2,0.0,13.4,5382.0,111.4,55.2,56.2,56.2,0.0,12.4,5388.0,117.4,58.2,59.2,59.2,0.0,13.2,5404.0,108.6,53.8,54.8,54.8,0.0,12.8,5358.0,110.6,54.8,55.8,55.8,0.0,13.2,5468.0,115.4,57.2,58.2,58.2,0.0,12.0,5523.0,103.8,51.4,52.4,52.4,0.0,12.6,5344.0,115.4,57.2,58.2,58.2,0.0,12.0,5278.0,109.0,54.0,55.0,55.0,0.0,12.2,5409.0,109.8,54.4,55.4,55.4,0.0,12.2,5273.0,116.2,57.6,58.6,58.6,0.0,13.0,5358.0,118.6,58.8,59.8,59.8,0.0,12.6,5504.0,111.0,55.0,56.0,56.0,0.0,11.0,5415.0,116.2,57.6,58.6,58.6,0.0,13.0,5387.0,112.6,55.8,56.8,56.8,0.0,12.4,5418.0,116.2,57.6,58.6,58.6,0.0,12.8,5367.0
1000.0,126.2,62.6,63.6,63.6,0.0,14.2,6080.0,125.8,62.4,63.4,63.4,0.0,13.2,5886.0,125.0,62.0,63.0,63.0,0.0,13.6,6027.0,124.6,61.8,62.8,62.8,0.0,12.2,5988.0,131.4,65.2,66.2,66.2,0.0,13.8,5985.0,122.6,60.8,61.8,61.8,0.0,13.0,5974.0,130.6,64.8,65.8,65.8,0.0,13.8,6012.0,124.6,61.8,62.8,62.8,0.0,13.4,5965.0,122.6,60.8,61.8,61.8,0.0,13.6,6045.0,131.0,65.0,66.0,66.0,0.0,12.8,6128.0,116.6,57.8,58.8,58.8,0.0,13.4,5963.0,129.4,64.2,65.2,65.2,0.0,12.4,5890.0,121.8,60.4,61.4,61.4,0.0,13.0,6019.0,122.6,60.8,61.8,61.8,0.0,12.6,5907.0,128.2,63.6,64.6,64.6,0.0,13.0,5948.0,128.6,63.8,64.8,64.8,0.0,12.8,6063.0,121.8,60.4,61.4,61.4,0.0,11.4,6039.0,128.6,63.8,64.8,64.8,0.0,13.6,5964.0,129.8,64.4,65.4,65.4,0.0,12.6,6063.0,125.8,62.4,63.4,63.4,0.0,12.8,5959.0
