,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,3,1,2,2,0,2,64.0,1,0,1,1,0,1,44.0,1,0,1,1,0,1,48.0,3,1,2,2,0,2,55.0,1,0,1,1,0,1,44.0,1.0,0.0,1.0,1,0,1.0,48.0,3,1,2,2,0,2,50.0,3.0,1.0,2.0,2,0,2.0,55.0,3.0,1.0,2.0,2,0,2.0,51.0,3,1,2,2,0,2,50.0,1,0,1,1,0,1,53.0,1,0,1,1,0,1,45.0,3,1,2,2,0,2,53.0,3,1,2,2,0,2,54.0,3,1,2,2,0,2,55.0,1,0,1,1,0,1,49.0,1,0,1,1,0,1,51.0,3,1,2,2,0,2,52.0,3,1,2,2,0,2,52.0,1,0,1,1,0,1,40.0
200,5,2,3,3,0,3,117.0,3,1,2,2,0,2,87.0,1,0,1,1,0,1,102.0,3,1,2,2,0,2,106.0,3,1,2,2,0,2,93.0,3.0,1.0,2.0,2,0,2.0,96.0,3,1,2,2,0,2,105.0,3.0,1.0,2.0,2,0,2.0,100.0,3.0,1.0,2.0,2,0,2.0,109.0,3,1,2,2,0,2,98.0,1,0,1,1,0,1,99.0,1,0,1,1,0,1,97.0,3,1,2,2,0,2,106.0,3,1,2,2,0,2,102.0,1,0,1,1,0,1,53.0,3,1,2,2,0,2,104.0,1,0,1,1,0,1,98.0,3,1,2,2,0,2,106.0,3,1,2,2,0,2,93.0,1,0,1,1,0,1,96.0
300,5,2,3,3,0,3,168.0,3,1,2,2,0,2,138.0,3,1,2,2,0,2,156.0,3,1,2,2,0,2,153.0,3,1,2,2,0,2,141.0,3.0,1.0,2.0,2,0,2.0,140.0,3,1,2,2,0,2,159.0,5.0,2.0,3.0,3,0,3.0,149.0,3.0,1.0,2.0,2,0,2.0,152.0,3,1,2,2,0,2,147.0,1,0,1,1,0,1,140.0,3,1,2,2,0,2,149.0,3,1,2,2,0,2,152.0,5,2,3,3,0,3,154.0,3,1,2,2,0,2,109.0,3,1,2,2,0,2,148.0,3,1,2,2,0,2,156.0,3,1,2,2,0,2,150.0,3,1,2,2,0,2,145.0,3,1,2,2,0,2,151.0
400,5,2,3,3,0,3,213.0,5,2,3,3,0,3,188.0,3,1,2,2,0,2,207.0,3,1,2,2,0,2,199.0,3,1,2,2,0,2,192.0,5.0,2.0,3.0,3,0,3.0,190.0,3,1,2,2,0,2,204.0,5.0,2.0,3.0,3,0,3.0,197.0,3.0,1.0,2.0,2,0,2.0,195.0,3,1,2,2,0,2,200.0,3,1,2,2,0,2,194.0,3,1,2,2,0,2,197.0,3,1,2,2,0,2,201.0,7,3,4,4,0,3,208.0,3,1,2,2,0,2,164.0,5,2,3,3,0,3,198.0,5,2,3,3,0,3,201.0,3,1,2,2,0,2,201.0,3,1,2,2,0,2,192.0,3,1,2,2,0,2,202.0
500,5,2,3,3,0,3,254.0,5,2,3,3,0,3,240.0,3,1,2,2,0,2,65.0,5,2,3,3,0,3,244.0,1,0,1,1,0,1,37.0,5.0,2.0,3.0,3,0,3.0,235.0,5,2,3,3,0,3,252.0,5.0,2.0,3.0,3,0,3.0,243.0,3.0,1.0,2.0,2,0,2.0,245.0,5,2,3,3,0,3,258.0,3,1,2,2,0,2,239.0,3,1,2,2,0,2,251.0,3,1,2,2,0,2,253.0,7,3,4,4,0,3,269.0,3,1,2,2,0,2,208.0,5,2,3,3,0,3,247.0,5,2,3,3,0,3,252.0,3,1,2,2,0,2,256.0,5,2,3,3,0,3,234.0,3,1,2,2,0,2,62.0
600,3,1,2,2,0,2,240.0,3,1,2,2,0,2,74.0,3,1,2,2,0,2,123.0,1,0,1,1,0,1,47.0,1,0,1,1,0,1,88.0,1.0,0.0,1.0,1,0,1.0,41.0,1,0,1,1,0,1,64.0,1.0,0.0,1.0,1,0,1.0,39.0,5.0,2.0,3.0,3,0,3.0,284.0,1,0,1,1,0,1,48.0,3,1,2,2,0,2,63.0,1,0,1,1,0,1,44.0,1,0,1,1,0,1,56.0,3,1,2,2,0,2,66.0,1,0,1,1,0,1,57.0,3,1,2,2,0,2,79.0,1,0,1,1,0,1,99.0,3,1,2,2,0,2,309.0,1,0,1,1,0,1,49.0,3,1,2,2,0,2,111.0
700,3,1,2,2,0,2,281.0,3,1,2,2,0,2,123.0,3,1,2,2,0,2,164.0,3,1,2,2,0,2,103.0,3,1,2,2,0,2,135.0,1.0,0.0,1.0,1,0,1.0,91.0,3,1,2,2,0,2,116.0,1.0,0.0,1.0,1,0,1.0,94.0,5.0,2.0,3.0,3,0,3.0,337.0,3,1,2,2,0,2,102.0,3,1,2,2,0,2,110.0,3,1,2,2,0,2,89.0,1,0,1,1,0,1,108.0,3,1,2,2,0,2,115.0,1,0,1,1,0,1,102.0,3,1,2,2,0,2,130.0,3,1,2,2,0,2,141.0,5,2,3,3,0,3,363.0,1,0,1,1,0,1,93.0,3,1,2,2,0,2,168.0
800,3,1,2,2,0,2,323.0,7,3,4,4,0,3,173.0,3,1,2,2,0,2,218.0,3,1,2,2,0,2,145.0,3,1,2,2,0,2,186.0,3.0,1.0,2.0,2,0,2.0,131.0,3,1,2,2,0,2,155.0,,,,0,0,,0.0,1.0,0.0,1.0,1,0,1.0,146.0,5,2,3,3,0,3,151.0,3,1,2,2,0,2,158.0,5,2,3,3,0,3,140.0,1,0,1,1,0,1,28.0,5,2,3,3,0,3,164.0,3,1,2,2,0,2,59.0,3,1,2,2,0,2,179.0,1,0,1,1,0,1,15.0,3,1,2,2,0,2,103.0,1,0,1,1,0,1,147.0,5,2,3,3,0,3,220.0
900,3,1,2,2,0,2,380.0,7,3,4,4,0,3,217.0,3,1,2,2,0,2,271.0,3,1,2,2,0,2,199.0,3,1,2,2,0,2,131.0,3.0,1.0,2.0,2,0,2.0,174.0,3,1,2,2,0,2,102.0,1.0,0.0,1.0,1,0,1.0,51.0,3.0,1.0,2.0,2,0,2.0,189.0,5,2,3,3,0,3,204.0,3,1,2,2,0,2,210.0,5,2,3,3,0,3,198.0,1,0,1,1,0,1,78.0,5,2,3,3,0,3,211.0,3,1,2,2,0,2,103.0,5,2,3,3,0,3,231.0,3,1,2,2,0,2,71.0,3,1,2,2,0,2,154.0,1,0,1,1,0,1,58.0,5,2,3,3,0,3,278.0
1000,3,1,2,2,0,2,432.0,7,3,4,4,0,3,263.0,1,0,1,1,0,1,43.0,1,0,1,1,0,1,17.0,3,1,2,2,0,2,177.0,1.0,0.0,1.0,1,0,1.0,24.0,3,1,2,2,0,2,149.0,1.0,0.0,1.0,1,0,1.0,99.0,3.0,1.0,2.0,2,0,2.0,242.0,7,3,4,4,0,3,249.0,3,1,2,2,0,2,256.0,1,0,1,1,0,1,25.0,3,1,2,2,0,2,122.0,5,2,3,3,0,3,264.0,3,1,2,2,0,2,152.0,5,2,3,3,0,3,276.0,3,1,2,2,0,2,123.0,3,1,2,2,0,2,207.0,3,1,2,2,0,2,114.0,1,0,1,1,0,1,34.0
1100,3,1,2,2,0,2,477.0,3,1,2,2,0,2,174.0,1,0,1,1,0,1,23.0,1,0,1,1,0,1,65.0,5,2,3,3,0,3,230.0,3.0,1.0,2.0,2,0,2.0,74.0,3,1,2,2,0,2,206.0,3.0,1.0,2.0,2,0,2.0,151.0,3.0,1.0,2.0,2,0,2.0,292.0,9,4,5,5,0,4,307.0,3,1,2,2,0,2,311.0,3,1,2,2,0,2,76.0,1,0,1,1,0,1,6.0,1,0,1,1,0,1,36.0,3,1,2,2,0,2,204.0,1,0,1,1,0,1,36.0,3,1,2,2,0,2,160.0,3,1,2,2,0,2,249.0,3,1,2,2,0,2,170.0,3,1,2,2,0,2,81.0
1200,5,2,3,3,0,3,532.0,3,1,2,2,0,2,237.0,3,1,2,2,0,2,72.0,3,1,2,2,0,2,118.0,7,3,4,4,0,3,288.0,3.0,1.0,2.0,2,0,2.0,124.0,3,1,2,2,0,2,250.0,3.0,1.0,2.0,2,0,2.0,75.0,3.0,1.0,2.0,2,0,2.0,340.0,9,4,5,5,0,4,359.0,7,3,4,4,0,3,357.0,5,2,3,3,0,3,129.0,3,1,2,2,0,2,58.0,1,0,1,1,0,1,21.0,3,1,2,2,0,2,257.0,3,1,2,2,0,2,92.0,3,1,2,2,0,2,203.0,3,1,2,2,0,2,299.0,3,1,2,2,0,2,226.0,3,1,2,2,0,2,128.0
