,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,1,0,1,1,0,1,47.0,1,0,1,1,0,1,45.0,3,1,2,2,0,2,55.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,48.0,3,1,2,2,0,2,51.0,1,0,1,1,0,1,45.0,1,0,1,1,0,1,60.0,3,1,2,2,0,2,55.0,3,1,2,2,0,2,52.0,1,0,1,1,0,1,43.0,1,0,1,1,0,1,48.0,3,1,2,2,0,2,56.0,1,0,1,1,0,1,51.0,1,0,1,1,0,1,55.0,3,1,2,2,0,2,54.0,3,1,2,2,0,2,54.0,3,1,2,2,0,2,52.0,3,1,2,2,0,2,59.0,1,0,1,1,0,1,49.0
200,3,1,2,2,0,2,107.0,3,1,2,2,0,2,92.0,3,1,2,2,0,2,104.0,1,0,1,1,0,1,94.0,3,1,2,2,0,2,96.0,3,1,2,2,0,2,106.0,3,1,2,2,0,2,92.0,1,0,1,1,0,1,104.0,3,1,2,2,0,2,108.0,3,1,2,2,0,2,103.0,3,1,2,2,0,2,92.0,3,1,2,2,0,2,95.0,3,1,2,2,0,2,98.0,1,0,1,1,0,1,94.0,1,0,1,1,0,1,117.0,3,1,2,2,0,2,105.0,3,1,2,2,0,2,105.0,3,1,2,2,0,2,101.0,3,1,2,2,0,2,111.0,3,1,2,2,0,2,98.0
300,3,1,2,2,0,2,154.0,3,1,2,2,0,2,134.0,3,1,2,2,0,2,162.0,3,1,2,2,0,2,138.0,3,1,2,2,0,2,149.0,3,1,2,2,0,2,153.0,3,1,2,2,0,2,132.0,1,0,1,1,0,1,148.0,5,2,3,3,0,3,165.0,5,2,3,3,0,3,153.0,3,1,2,2,0,2,143.0,5,2,3,3,0,3,137.0,3,1,2,2,0,2,143.0,3,1,2,2,0,2,144.0,1,0,1,1,0,1,167.0,3,1,2,2,0,2,151.0,3,1,2,2,0,2,163.0,3,1,2,2,0,2,150.0,3,1,2,2,0,2,153.0,3,1,2,2,0,2,152.0
400,3,1,2,2,0,2,194.0,3,1,2,2,0,2,188.0,3,1,2,2,0,2,217.0,3,1,2,2,0,2,193.0,5,2,3,3,0,3,190.0,3,1,2,2,0,2,202.0,3,1,2,2,0,2,184.0,3,1,2,2,0,2,207.0,5,2,3,3,0,3,215.0,5,2,3,3,0,3,207.0,3,1,2,2,0,2,201.0,5,2,3,3,0,3,191.0,3,1,2,2,0,2,196.0,3,1,2,2,0,2,187.0,1,0,1,1,0,1,215.0,3,1,2,2,0,2,207.0,3,1,2,2,0,2,210.0,5,2,3,3,0,3,203.0,3,1,2,2,0,2,200.0,3,1,2,2,0,2,196.0
500,3,1,2,2,0,2,119.0,1,0,1,1,0,1,23.0,3,1,2,2,0,2,262.0,5,2,3,3,0,3,251.0,3,1,2,2,0,2,74.0,3,1,2,2,0,2,248.0,5,2,3,3,0,3,235.0,1,0,1,1,0,1,19.0,1,0,1,1,0,1,31.0,1,0,1,1,0,1,29.0,5,2,3,3,0,3,151.0,1,0,1,1,0,1,18.0,3,1,2,2,0,2,112.0,3,1,2,2,0,2,133.0,1,0,1,1,0,1,36.0,3,1,2,2,0,2,255.0,1,0,1,1,0,1,20.0,7,3,4,4,0,3,255.0,1,0,1,1,0,1,98.0,1,0,1,1,0,1,27.0
600,3,1,2,2,0,2,171.0,3,1,2,2,0,2,67.0,3,1,2,2,0,2,320.0,5,2,3,3,0,3,297.0,3,1,2,2,0,2,126.0,3,1,2,2,0,2,298.0,5,2,3,3,0,3,282.0,1,0,1,1,0,1,69.0,3,1,2,2,0,2,82.0,3,1,2,2,0,2,76.0,5,2,3,3,0,3,199.0,1,0,1,1,0,1,59.0,7,3,4,4,0,3,171.0,5,2,3,3,0,3,182.0,1,0,1,1,0,1,94.0,3,1,2,2,0,2,300.0,3,1,2,2,0,2,82.0,7,3,4,4,0,3,292.0,3,1,2,2,0,2,145.0,3,1,2,2,0,2,73.0
700,5,2,3,3,0,3,217.0,5,2,3,3,0,3,119.0,7,3,4,4,0,3,371.0,5,2,3,3,0,3,346.0,3,1,2,2,0,2,183.0,5,2,3,3,0,3,347.0,5,2,3,3,0,3,332.0,3,1,2,2,0,2,117.0,5,2,3,3,0,3,129.0,3,1,2,2,0,2,125.0,5,2,3,3,0,3,257.0,3,1,2,2,0,2,105.0,7,3,4,4,0,3,223.0,5,2,3,3,0,3,238.0,3,1,2,2,0,2,150.0,3,1,2,2,0,2,355.0,3,1,2,2,0,2,127.0,7,3,4,4,0,3,341.0,3,1,2,2,0,2,191.0,5,2,3,3,0,3,123.0
800,5,2,3,3,0,3,259.0,5,2,3,3,0,3,174.0,7,3,4,4,0,3,409.0,7,3,4,4,0,4,402.0,5,2,3,3,0,3,236.0,7,3,4,4,0,3,399.0,5,2,3,3,0,3,376.0,3,1,2,2,0,2,164.0,5,2,3,3,0,3,175.0,3,1,2,2,0,2,174.0,7,3,4,4,0,4,302.0,3,1,2,2,0,2,149.0,7,3,4,4,0,3,284.0,7,3,4,4,0,3,286.0,3,1,2,2,0,2,208.0,5,2,3,3,0,3,404.0,5,2,3,3,0,3,172.0,7,3,4,4,0,3,379.0,5,2,3,3,0,3,247.0,5,2,3,3,0,3,177.0
900,5,2,3,3,0,3,309.0,5,2,3,3,0,3,224.0,7,3,4,4,0,3,460.0,9,4,5,5,0,4,453.0,5,2,3,3,0,3,293.0,7,3,4,4,0,3,440.0,7,3,4,4,0,3,430.0,3,1,2,2,0,2,216.0,9,4,5,5,0,4,225.0,3,1,2,2,0,2,219.0,7,3,4,4,0,4,345.0,5,2,3,3,0,3,198.0,7,3,4,4,0,3,332.0,7,3,4,4,0,3,331.0,5,2,3,3,0,3,254.0,7,3,4,4,0,3,446.0,5,2,3,3,0,3,223.0,7,3,4,4,0,3,435.0,5,2,3,3,0,3,285.0,5,2,3,3,0,3,227.0
1000,5,2,3,3,0,3,363.0,5,2,3,3,0,3,274.0,7,3,4,4,0,3,512.0,9,4,5,5,0,4,509.0,9,4,5,5,0,4,346.0,7,3,4,4,0,3,489.0,7,3,4,4,0,3,482.0,3,1,2,2,0,2,266.0,9,4,5,5,0,4,273.0,5,2,3,3,0,3,263.0,7,3,4,4,0,4,405.0,7,3,4,4,0,3,248.0,9,4,5,5,0,4,382.0,7,3,4,4,0,3,386.0,5,2,3,3,0,3,296.0,7,3,4,4,0,3,499.0,5,2,3,3,0,3,271.0,7,3,4,4,0,3,479.0,5,2,3,3,0,3,338.0,9,4,5,5,0,4,280.0
