,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,3,1,2,2,0,2,62.0,3,1,2,2,0,2,56.0,3,1,2,2,0,2,56.0,1,0,1,1,0,1,44.0,1,0,1,1,0,1,57.0,1,0,1,1,0,1,46.0,1,0,1,1,0,1,47.0,1,0,1,1,0,1,43.0,3,1,2,2,0,2,54.0,1,0,1,1,0,1,46.0,3,1,2,2,0,2,55.0,1,0,1,1,0,1,42.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,47.0,3,1,2,2,0,2,50.0,3,1,2,2,0,2,54.0,3,1,2,2,0,2,53.0,1,0,1,1,0,1,48.0,3,1,2,2,0,2,55.0,3,1,2,2,0,2,51.0
200,5,2,3,3,0,3,117.0,3,1,2,2,0,2,108.0,3,1,2,2,0,2,112.0,3,1,2,2,0,2,88.0,3,1,2,2,0,2,109.0,1,0,1,1,0,1,99.0,3,1,2,2,0,2,96.0,3,1,2,2,0,2,102.0,3,1,2,2,0,2,103.0,3,1,2,2,0,2,99.0,3,1,2,2,0,2,108.0,1,0,1,1,0,1,91.0,3,1,2,2,0,2,91.0,3,1,2,2,0,2,91.0,3,1,2,2,0,2,97.0,3,1,2,2,0,2,94.0,3,1,2,2,0,2,100.0,3,1,2,2,0,2,89.0,3,1,2,2,0,2,108.0,3,1,2,2,0,2,92.0
300,5,2,3,3,0,3,163.0,3,1,2,2,0,2,159.0,3,1,2,2,0,2,161.0,3,1,2,2,0,2,140.0,3,1,2,2,0,2,162.0,3,1,2,2,0,2,152.0,3,1,2,2,0,2,147.0,3,1,2,2,0,2,148.0,3,1,2,2,0,2,155.0,5,2,3,3,0,3,142.0,3,1,2,2,0,2,168.0,1,0,1,1,0,1,138.0,3,1,2,2,0,2,138.0,5,2,3,3,0,3,138.0,5,2,3,3,0,3,148.0,3,1,2,2,0,2,154.0,3,1,2,2,0,2,149.0,5,2,3,3,0,3,137.0,3,1,2,2,0,2,160.0,3,1,2,2,0,2,142.0
400,5,2,3,3,0,3,215.0,3,1,2,2,0,2,217.0,3,1,2,2,0,2,211.0,3,1,2,2,0,2,202.0,3,1,2,2,0,2,215.0,3,1,2,2,0,2,200.0,5,2,3,3,0,3,188.0,3,1,2,2,0,2,192.0,3,1,2,2,0,2,204.0,7,3,4,4,0,4,197.0,3,1,2,2,0,2,216.0,3,1,2,2,0,2,181.0,3,1,2,2,0,2,186.0,5,2,3,3,0,3,189.0,5,2,3,3,0,3,198.0,3,1,2,2,0,2,202.0,5,2,3,3,0,3,202.0,5,2,3,3,0,3,181.0,3,1,2,2,0,2,213.0,3,1,2,2,0,2,195.0
500,5,2,3,3,0,3,262.0,5,2,3,3,0,3,265.0,5,2,3,3,0,3,266.0,3,1,2,2,0,2,248.0,3,1,2,2,0,2,263.0,3,1,2,2,0,2,254.0,5,2,3,3,0,3,229.0,3,1,2,2,0,2,239.0,3,1,2,2,0,2,256.0,7,3,4,4,0,4,247.0,5,2,3,3,0,3,276.0,3,1,2,2,0,2,232.0,5,2,3,3,0,3,242.0,7,3,4,4,0,3,246.0,7,3,4,4,0,4,249.0,3,1,2,2,0,2,252.0,5,2,3,3,0,3,249.0,7,3,4,4,0,4,234.0,7,3,4,4,0,3,260.0,3,1,2,2,0,2,251.0
600,5,2,3,3,0,3,311.0,5,2,3,3,0,3,316.0,5,2,3,3,0,3,314.0,3,1,2,2,0,2,294.0,3,1,2,2,0,2,310.0,3,1,2,2,0,2,304.0,5,2,3,3,0,3,273.0,3,1,2,2,0,2,285.0,3,1,2,2,0,2,312.0,7,3,4,4,0,4,298.0,5,2,3,3,0,3,328.0,3,1,2,2,0,2,276.0,5,2,3,3,0,3,291.0,9,4,5,5,0,4,307.0,7,3,4,4,0,4,302.0,5,2,3,3,0,3,311.0,5,2,3,3,0,3,294.0,7,3,4,4,0,4,274.0,7,3,4,4,0,3,312.0,5,2,3,3,0,3,303.0
700,7,3,4,4,0,4,364.0,5,2,3,3,0,3,367.0,5,2,3,3,0,3,365.0,7,3,4,4,0,3,346.0,5,2,3,3,0,3,362.0,5,2,3,3,0,3,367.0,7,3,4,4,0,4,315.0,5,2,3,3,0,3,334.0,7,3,4,4,0,3,369.0,9,4,5,5,0,5,344.0,5,2,3,3,0,3,366.0,3,1,2,2,0,2,325.0,7,3,4,4,0,3,338.0,9,4,5,5,0,4,355.0,7,3,4,4,0,4,351.0,5,2,3,3,0,3,362.0,5,2,3,3,0,3,340.0,7,3,4,4,0,4,318.0,7,3,4,4,0,3,361.0,5,2,3,3,0,3,359.0
800,7,3,4,4,0,4,411.0,5,2,3,3,0,3,415.0,5,2,3,3,0,3,426.0,7,3,4,4,0,3,398.0,5,2,3,3,0,3,406.0,5,2,3,3,0,3,409.0,7,3,4,4,0,4,350.0,5,2,3,3,0,3,387.0,7,3,4,4,0,3,418.0,11,5,6,6,0,5,394.0,5,2,3,3,0,3,421.0,3,1,2,2,0,2,378.0,7,3,4,4,0,3,387.0,9,4,5,5,0,4,406.0,7,3,4,4,0,4,400.0,5,2,3,3,0,3,410.0,5,2,3,3,0,3,393.0,9,4,5,5,0,5,369.0,9,4,5,5,0,4,406.0,5,2,3,3,0,3,410.0
900,7,3,4,4,0,4,457.0,7,3,4,4,0,4,466.0,5,2,3,3,0,3,478.0,7,3,4,4,0,3,451.0,7,3,4,4,0,4,456.0,5,2,3,3,0,3,462.0,9,4,5,5,0,5,399.0,7,3,4,4,0,3,437.0,7,3,4,4,0,3,464.0,11,5,6,6,0,5,437.0,5,2,3,3,0,3,475.0,3,1,2,2,0,2,422.0,7,3,4,4,0,3,439.0,11,5,6,6,0,5,455.0,7,3,4,4,0,4,450.0,5,2,3,3,0,3,463.0,5,2,3,3,0,3,444.0,9,4,5,5,0,5,423.0,9,4,5,5,0,4,460.0,7,3,4,4,0,4,459.0
1000,7,3,4,4,0,4,511.0,7,3,4,4,0,4,511.0,5,2,3,3,0,3,528.0,7,3,4,4,0,3,500.0,9,4,5,5,0,4,511.0,5,2,3,3,0,3,509.0,9,4,5,5,0,5,452.0,7,3,4,4,0,3,487.0,7,3,4,4,0,3,516.0,11,5,6,6,0,5,491.0,5,2,3,3,0,3,533.0,3,1,2,2,0,2,470.0,7,3,4,4,0,3,489.0,15,7,8,8,0,5,507.0,9,4,5,5,0,5,505.0,7,3,4,4,0,4,514.0,5,2,3,3,0,3,501.0,11,5,6,6,0,5,477.0,9,4,5,5,0,4,512.0,7,3,4,4,0,4,509.0
