,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,1,0,1,1,0,1,45.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,56.0,1,0,1,1,0,1,47.0,1,0,1,1,0,1,49.0,3,1,2,2,0,2,51.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,40.0,3,1,2,2,0,2,51.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,40.0,1,0,1,1,0,1,40.0,3.0,1.0,2.0,2,0,2.0,53.0,1,0,1,1,0,1,44.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,42.0,3,1,2,2,0,2,51.0,3,1,2,2,0,2,59.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,48.0
200,1,0,1,1,0,1,91.0,3,1,2,2,0,2,100.0,3,1,2,2,0,2,101.0,3,1,2,2,0,2,97.0,3,1,2,2,0,2,100.0,3,1,2,2,0,2,98.0,1,0,1,1,0,1,94.0,3,1,2,2,0,2,85.0,3,1,2,2,0,2,108.0,3,1,2,2,0,2,92.0,3,1,2,2,0,2,86.0,3,1,2,2,0,2,76.0,3.0,1.0,2.0,2,0,2.0,102.0,3,1,2,2,0,2,96.0,3,1,2,2,0,2,103.0,3,1,2,2,0,2,94.0,3,1,2,2,0,2,99.0,3,1,2,2,0,2,108.0,3,1,2,2,0,2,104.0,3,1,2,2,0,2,88.0
300,3,1,2,2,0,2,146.0,3,1,2,2,0,2,144.0,3,1,2,2,0,2,150.0,3,1,2,2,0,2,148.0,1,0,1,1,0,1,27.0,1,0,1,1,0,1,29.0,1,0,1,1,0,1,17.0,5,2,3,3,0,3,129.0,3,1,2,2,0,2,155.0,3,1,2,2,0,2,144.0,1,0,1,1,0,1,24.0,1,0,1,1,0,1,18.0,5.0,2.0,3.0,3,0,3.0,152.0,5,2,3,3,0,3,140.0,3,1,2,2,0,2,147.0,1,0,1,1,0,1,18.0,3,1,2,2,0,2,145.0,3,1,2,2,0,2,149.0,3,1,2,2,0,2,146.0,3,1,2,2,0,2,132.0
400,1,0,1,1,0,1,9.0,3,1,2,2,0,2,196.0,3,1,2,2,0,2,204.0,3,1,2,2,0,2,75.0,3,1,2,2,0,2,78.0,1,0,1,1,0,1,81.0,3,1,2,2,0,2,61.0,1,0,1,1,0,1,7.0,3,1,2,2,0,2,204.0,3,1,2,2,0,2,188.0,1,0,1,1,0,1,73.0,3,1,2,2,0,2,62.0,3.0,1.0,2.0,2,0,2.0,70.0,5,2,3,3,0,3,187.0,3,1,2,2,0,2,192.0,3,1,2,2,0,2,76.0,3,1,2,2,0,2,201.0,3,1,2,2,0,2,208.0,3,1,2,2,0,2,73.0,3,1,2,2,0,2,184.0
500,1,0,1,1,0,1,53.0,3,1,2,2,0,2,242.0,3,1,2,2,0,2,255.0,3,1,2,2,0,2,128.0,3,1,2,2,0,2,129.0,3,1,2,2,0,2,136.0,3,1,2,2,0,2,98.0,3,1,2,2,0,2,61.0,3,1,2,2,0,2,254.0,5,2,3,3,0,3,252.0,1,0,1,1,0,1,121.0,3,1,2,2,0,2,113.0,3.0,1.0,2.0,2,0,2.0,117.0,5,2,3,3,0,3,231.0,3,1,2,2,0,2,241.0,3,1,2,2,0,2,135.0,5,2,3,3,0,3,257.0,5,2,3,3,0,3,252.0,3,1,2,2,0,2,124.0,3,1,2,2,0,2,234.0
600,1,0,1,1,0,1,91.0,3,1,2,2,0,2,290.0,3,1,2,2,0,2,308.0,5,2,3,3,0,3,177.0,3,1,2,2,0,2,183.0,3,1,2,2,0,2,177.0,3,1,2,2,0,2,150.0,3,1,2,2,0,2,111.0,5,2,3,3,0,3,304.0,5,2,3,3,0,3,301.0,1,0,1,1,0,1,162.0,5,2,3,3,0,3,161.0,5.0,2.0,3.0,3,0,3.0,177.0,5,2,3,3,0,3,289.0,3,1,2,2,0,2,297.0,3,1,2,2,0,2,187.0,5,2,3,3,0,3,309.0,5,2,3,3,0,3,302.0,5,2,3,3,0,3,178.0,5,2,3,3,0,3,283.0
700,1,0,1,1,0,1,148.0,5,2,3,3,0,3,342.0,7,3,4,4,0,3,364.0,5,2,3,3,0,3,234.0,5,2,3,3,0,3,232.0,5,2,3,3,0,3,231.0,5,2,3,3,0,3,201.0,3,1,2,2,0,2,161.0,5,2,3,3,0,3,352.0,5,2,3,3,0,3,347.0,3,1,2,2,0,2,210.0,5,2,3,3,0,3,212.0,5.0,2.0,3.0,3,0,3.0,237.0,9,4,5,5,0,4,333.0,3,1,2,2,0,2,349.0,3,1,2,2,0,2,238.0,7,3,4,4,0,3,354.0,5,2,3,3,0,3,356.0,5,2,3,3,0,3,226.0,3,1,2,2,0,2,68.0
800,1,0,1,1,0,1,196.0,5,2,3,3,0,3,394.0,7,3,4,4,0,3,420.0,5,2,3,3,0,3,282.0,5,2,3,3,0,3,131.0,5,2,3,3,0,3,288.0,3,1,2,2,0,2,100.0,3,1,2,2,0,2,207.0,7,3,4,4,0,3,393.0,5,2,3,3,0,3,398.0,3,1,2,2,0,2,264.0,7,3,4,4,0,3,261.0,7.0,3.0,4.0,4,0,4.0,290.0,9,4,5,5,0,4,388.0,5,2,3,3,0,3,409.0,3,1,2,2,0,2,292.0,7,3,4,4,0,3,415.0,5,2,3,3,0,3,413.0,5,2,3,3,0,3,274.0,3,1,2,2,0,2,120.0
900,3,1,2,2,0,2,252.0,5,2,3,3,0,3,448.0,7,3,4,4,0,3,471.0,5,2,3,3,0,3,326.0,5,2,3,3,0,3,178.0,5,2,3,3,0,3,340.0,3,1,2,2,0,2,151.0,3,1,2,2,0,2,252.0,5,2,3,3,0,3,244.0,5,2,3,3,0,3,446.0,3,1,2,2,0,2,309.0,7,3,4,4,0,3,315.0,9.0,4.0,5.0,5,0,4.0,348.0,9,4,5,5,0,4,440.0,5,2,3,3,0,3,456.0,3,1,2,2,0,2,336.0,7,3,4,4,0,3,466.0,7,3,4,4,0,3,468.0,7,3,4,4,0,3,325.0,3,1,2,2,0,2,176.0
1000,3,1,2,2,0,2,298.0,5,2,3,3,0,3,494.0,9,4,5,5,0,4,514.0,1,0,1,1,0,1,24.0,5,2,3,3,0,3,232.0,5,2,3,3,0,3,389.0,3,1,2,2,0,2,198.0,3,1,2,2,0,2,298.0,7,3,4,4,0,3,293.0,7,3,4,4,0,3,497.0,3,1,2,2,0,2,356.0,7,3,4,4,0,3,368.0,9.0,4.0,5.0,5,0,4.0,397.0,11,5,6,6,0,4,491.0,7,3,4,4,0,3,507.0,1,0,1,1,0,1,55.0,7,3,4,4,0,3,522.0,7,3,4,4,0,3,520.0,7,3,4,4,0,3,371.0,3,1,2,2,0,2,232.0
