,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,3,1,2,2,0,2,50.0,3,1,2,2,0,2,51.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,46.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,45.0,1,0,1,1,0,1,51.0,3,1,2,2,0,2,57.0,1,0,1,1,0,1,49.0,3,1,2,2,0,2,50.0,1,0,1,1,0,1,39.0,1,0,1,1,0,1,49.0,1,0,1,1,0,1,45.0,1,0,1,1,0,1,46.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,48.0,3,1,2,2,0,2,52.0,1,0,1,1,0,1,47.0,3,1,2,2,0,2,57.0,1,0,1,1,0,1,44.0
200,3,1,2,2,0,2,94.0,3,1,2,2,0,2,109.0,1,0,1,1,0,1,92.0,1,0,1,1,0,1,95.0,3,1,2,2,0,2,95.0,3,1,2,2,0,2,96.0,3,1,2,2,0,2,107.0,3,1,2,2,0,2,112.0,3,1,2,2,0,2,92.0,3,1,2,2,0,2,104.0,3,1,2,2,0,2,88.0,1,0,1,1,0,1,96.0,3,1,2,2,0,2,99.0,3,1,2,2,0,2,92.0,1,0,1,1,0,1,95.0,3,1,2,2,0,2,95.0,3,1,2,2,0,2,101.0,1,0,1,1,0,1,85.0,3,1,2,2,0,2,103.0,3,1,2,2,0,2,87.0
300,5,2,3,3,0,3,150.0,3,1,2,2,0,2,159.0,3,1,2,2,0,2,138.0,3,1,2,2,0,2,151.0,5,2,3,3,0,3,154.0,3,1,2,2,0,2,148.0,3,1,2,2,0,2,156.0,3,1,2,2,0,2,159.0,3,1,2,2,0,2,148.0,5,2,3,3,0,3,152.0,5,2,3,3,0,3,142.0,3,1,2,2,0,2,153.0,5,2,3,3,0,3,149.0,3,1,2,2,0,2,148.0,3,1,2,2,0,2,135.0,5,2,3,3,0,3,142.0,5,2,3,3,0,3,145.0,3,1,2,2,0,2,133.0,5,2,3,3,0,3,150.0,3,1,2,2,0,2,139.0
400,7,3,4,4,0,3,192.0,5,2,3,3,0,3,210.0,3,1,2,2,0,2,180.0,5,2,3,3,0,3,205.0,5,2,3,3,0,3,204.0,3,1,2,2,0,2,196.0,3,1,2,2,0,2,208.0,5,2,3,3,0,3,210.0,3,1,2,2,0,2,204.0,5,2,3,3,0,3,208.0,5,2,3,3,0,3,184.0,3,1,2,2,0,2,199.0,5,2,3,3,0,3,209.0,5,2,3,3,0,3,197.0,5,2,3,3,0,3,182.0,7,3,4,4,0,4,197.0,5,2,3,3,0,3,194.0,3,1,2,2,0,2,189.0,7,3,4,4,0,3,203.0,7,3,4,4,0,3,190.0
500,7,3,4,4,0,3,243.0,7,3,4,4,0,3,259.0,3,1,2,2,0,2,234.0,5,2,3,3,0,3,251.0,5,2,3,3,0,3,256.0,3,1,2,2,0,2,248.0,3,1,2,2,0,2,253.0,7,3,4,4,0,3,264.0,3,1,2,2,0,2,248.0,9,4,5,5,0,4,256.0,5,2,3,3,0,3,232.0,5,2,3,3,0,3,248.0,5,2,3,3,0,3,259.0,5,2,3,3,0,3,254.0,5,2,3,3,0,3,232.0,7,3,4,4,0,4,254.0,5,2,3,3,0,3,244.0,3,1,2,2,0,2,235.0,7,3,4,4,0,3,259.0,7,3,4,4,0,3,240.0
600,7,3,4,4,0,3,296.0,7,3,4,4,0,3,304.0,5,2,3,3,0,3,283.0,5,2,3,3,0,3,302.0,9,4,5,5,0,4,307.0,3,1,2,2,0,2,304.0,5,2,3,3,0,3,305.0,7,3,4,4,0,3,310.0,3,1,2,2,0,2,303.0,11,5,6,6,0,4,309.0,5,2,3,3,0,3,270.0,5,2,3,3,0,3,300.0,7,3,4,4,0,4,308.0,5,2,3,3,0,3,298.0,7,3,4,4,0,4,277.0,7,3,4,4,0,4,307.0,5,2,3,3,0,3,293.0,3,1,2,2,0,2,283.0,9,4,5,5,0,4,310.0,7,3,4,4,0,3,282.0
700,7,3,4,4,0,3,346.0,7,3,4,4,0,3,359.0,5,2,3,3,0,3,328.0,7,3,4,4,0,4,358.0,9,4,5,5,0,4,360.0,5,2,3,3,0,3,361.0,5,2,3,3,0,3,355.0,9,4,5,5,0,4,360.0,3,1,2,2,0,2,353.0,11,5,6,6,0,4,356.0,7,3,4,4,0,3,319.0,5,2,3,3,0,3,350.0,7,3,4,4,0,4,360.0,9,4,5,5,0,4,343.0,7,3,4,4,0,4,329.0,7,3,4,4,0,4,348.0,5,2,3,3,0,3,347.0,5,2,3,3,0,3,339.0,9,4,5,5,0,4,362.0,7,3,4,4,0,3,320.0
800,9,4,5,5,0,4,394.0,9,4,5,5,0,4,416.0,5,2,3,3,0,3,380.0,7,3,4,4,0,4,411.0,11,5,6,6,0,4,421.0,5,2,3,3,0,3,408.0,5,2,3,3,0,3,401.0,9,4,5,5,0,4,410.0,3,1,2,2,0,2,406.0,11,5,6,6,0,4,401.0,7,3,4,4,0,3,363.0,5,2,3,3,0,3,403.0,7,3,4,4,0,4,415.0,9,4,5,5,0,4,395.0,9,4,5,5,0,5,385.0,9,4,5,5,0,5,403.0,7,3,4,4,0,3,398.0,5,2,3,3,0,3,381.0,11,5,6,6,0,4,413.0,9,4,5,5,0,4,372.0
900,9,4,5,5,0,4,440.0,9,4,5,5,0,4,460.0,7,3,4,4,0,4,437.0,7,3,4,4,0,4,459.0,11,5,6,6,0,4,472.0,7,3,4,4,0,3,459.0,5,2,3,3,0,3,450.0,9,4,5,5,0,4,459.0,5,2,3,3,0,3,458.0,13,6,7,7,0,5,451.0,7,3,4,4,0,3,410.0,7,3,4,4,0,3,448.0,9,4,5,5,0,4,467.0,9,4,5,5,0,4,441.0,9,4,5,5,0,5,437.0,3,1,2,2,0,2,145.0,7,3,4,4,0,3,445.0,5,2,3,3,0,3,433.0,11,5,6,6,0,4,461.0,3,1,2,2,0,2,63.0
1000,9,4,5,5,0,4,490.0,3,1,2,2,0,2,61.0,7,3,4,4,0,4,489.0,9,4,5,5,0,5,512.0,11,5,6,6,0,4,524.0,7,3,4,4,0,3,508.0,7,3,4,4,0,4,499.0,9,4,5,5,0,4,507.0,5,2,3,3,0,3,507.0,13,6,7,7,0,5,503.0,7,3,4,4,0,3,459.0,7,3,4,4,0,3,506.0,11,5,6,6,0,4,518.0,9,4,5,5,0,4,488.0,11,5,6,6,0,5,488.0,3,1,2,2,0,2,204.0,7,3,4,4,0,3,495.0,5,2,3,3,0,3,479.0,11,5,6,6,0,4,507.0,3,1,2,2,0,2,110.0
