,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,3,1,2,2,0,2,51.0,1,0,1,1,0,1,45.0,1,0,1,1,0,1,49.0,1,0,1,1,0,1,49.0,3.0,1.0,2.0,2,0,2.0,52.0,3.0,1.0,2.0,2,0,2.0,59.0,1.0,0.0,1.0,1,0,1.0,45.0,1.0,0.0,1.0,1,0,1.0,54.0,3,1,2,2,0,2,52.0,3,1,2,2,0,2,50.0,3.0,1.0,2.0,2,0,2.0,51.0,1,0,1,1,0,1,38.0,3,1,2,2,0,2,54.0,3.0,1.0,2.0,2,0,2.0,53.0,1.0,0.0,1.0,1,0,1.0,49.0,1.0,0.0,1.0,1,0,1.0,55.0,1,0,1,1,0,1,45.0,3.0,1.0,2.0,2,0,2.0,50.0,1,0,1,1,0,1,48.0,3,1,2,2,0,2,54.0
200,3,1,2,2,0,2,103.0,1,0,1,1,0,1,91.0,3,1,2,2,0,2,104.0,3,1,2,2,0,2,97.0,3.0,1.0,2.0,2,0,2.0,105.0,3.0,1.0,2.0,2,0,2.0,107.0,3.0,1.0,2.0,2,0,2.0,96.0,3.0,1.0,2.0,2,0,2.0,105.0,3,1,2,2,0,2,99.0,3,1,2,2,0,2,109.0,3.0,1.0,2.0,2,0,2.0,102.0,1,0,1,1,0,1,88.0,3,1,2,2,0,2,98.0,3.0,1.0,2.0,2,0,2.0,98.0,3.0,1.0,2.0,2,0,2.0,88.0,3.0,1.0,2.0,2,0,2.0,105.0,3,1,2,2,0,2,93.0,3.0,1.0,2.0,2,0,2.0,103.0,1,0,1,1,0,1,94.0,3,1,2,2,0,2,104.0
300,3,1,2,2,0,2,151.0,1,0,1,1,0,1,140.0,3,1,2,2,0,2,147.0,3,1,2,2,0,2,135.0,3.0,1.0,2.0,2,0,2.0,159.0,3.0,1.0,2.0,2,0,2.0,154.0,3.0,1.0,2.0,2,0,2.0,144.0,3.0,1.0,2.0,2,0,2.0,165.0,3,1,2,2,0,2,147.0,3,1,2,2,0,2,157.0,3.0,1.0,2.0,2,0,2.0,159.0,3,1,2,2,0,2,142.0,3,1,2,2,0,2,149.0,3.0,1.0,2.0,2,0,2.0,150.0,3.0,1.0,2.0,2,0,2.0,137.0,3.0,1.0,2.0,2,0,2.0,159.0,3,1,2,2,0,2,149.0,3.0,1.0,2.0,2,0,2.0,155.0,3,1,2,2,0,2,137.0,3,1,2,2,0,2,148.0
400,3,1,2,2,0,2,195.0,1,0,1,1,0,1,195.0,3,1,2,2,0,2,205.0,3,1,2,2,0,2,182.0,3.0,1.0,2.0,2,0,2.0,209.0,3.0,1.0,2.0,2,0,2.0,205.0,5.0,2.0,3.0,3,0,3.0,194.0,3.0,1.0,2.0,2,0,2.0,214.0,3,1,2,2,0,2,205.0,3,1,2,2,0,2,206.0,3.0,1.0,2.0,2,0,2.0,212.0,3,1,2,2,0,2,194.0,3,1,2,2,0,2,197.0,3.0,1.0,2.0,2,0,2.0,206.0,3.0,1.0,2.0,2,0,2.0,190.0,3.0,1.0,2.0,2,0,2.0,208.0,3,1,2,2,0,2,200.0,3.0,1.0,2.0,2,0,2.0,202.0,3,1,2,2,0,2,188.0,3,1,2,2,0,2,195.0
500,3,1,2,2,0,2,237.0,3,1,2,2,0,2,247.0,3,1,2,2,0,2,259.0,3,1,2,2,0,2,238.0,3.0,1.0,2.0,2,0,2.0,260.0,5.0,2.0,3.0,3,0,3.0,255.0,5.0,2.0,3.0,3,0,3.0,249.0,3.0,1.0,2.0,2,0,2.0,265.0,3,1,2,2,0,2,248.0,3,1,2,2,0,2,254.0,3.0,1.0,2.0,2,0,2.0,270.0,3,1,2,2,0,2,240.0,3,1,2,2,0,2,241.0,3.0,1.0,2.0,2,0,2.0,262.0,3.0,1.0,2.0,2,0,2.0,245.0,3.0,1.0,2.0,2,0,2.0,255.0,3,1,2,2,0,2,245.0,3.0,1.0,2.0,2,0,2.0,254.0,3,1,2,2,0,2,238.0,3,1,2,2,0,2,240.0
600,3,1,2,2,0,2,289.0,3,1,2,2,0,2,291.0,3,1,2,2,0,2,292.0,5,2,3,3,0,3,286.0,7.0,3.0,4.0,4,0,3.0,310.0,5.0,2.0,3.0,3,0,3.0,303.0,7.0,3.0,4.0,4,0,3.0,298.0,3.0,1.0,2.0,2,0,2.0,315.0,5,2,3,3,0,3,299.0,3,1,2,2,0,2,313.0,3.0,1.0,2.0,2,0,2.0,324.0,3,1,2,2,0,2,280.0,3,1,2,2,0,2,292.0,3.0,1.0,2.0,2,0,2.0,303.0,5.0,2.0,3.0,3,0,3.0,298.0,3.0,1.0,2.0,2,0,2.0,298.0,3,1,2,2,0,2,297.0,3.0,1.0,2.0,2,0,2.0,306.0,3,1,2,2,0,2,285.0,3,1,2,2,0,2,283.0
700,3,1,2,2,0,2,336.0,3,1,2,2,0,2,338.0,3,1,2,2,0,2,355.0,5,2,3,3,0,3,348.0,7.0,3.0,4.0,4,0,3.0,359.0,5.0,2.0,3.0,3,0,3.0,363.0,7.0,3.0,4.0,4,0,3.0,353.0,3.0,1.0,2.0,2,0,2.0,373.0,7,3,4,4,0,3,346.0,3,1,2,2,0,2,365.0,3.0,1.0,2.0,2,0,2.0,371.0,5,2,3,3,0,3,332.0,3,1,2,2,0,2,338.0,3.0,1.0,2.0,2,0,2.0,347.0,5.0,2.0,3.0,3,0,3.0,348.0,3.0,1.0,2.0,2,0,2.0,351.0,5,2,3,3,0,3,351.0,3.0,1.0,2.0,2,0,2.0,361.0,3,1,2,2,0,2,337.0,3,1,2,2,0,2,338.0
800,3,1,2,2,0,2,382.0,3,1,2,2,0,2,396.0,5,2,3,3,0,3,408.0,5,2,3,3,0,3,397.0,7.0,3.0,4.0,4,0,3.0,403.0,5.0,2.0,3.0,3,0,3.0,415.0,7.0,3.0,4.0,4,0,3.0,397.0,3.0,1.0,2.0,2,0,2.0,428.0,7,3,4,4,0,3,391.0,3,1,2,2,0,2,415.0,3.0,1.0,2.0,2,0,2.0,419.0,5,2,3,3,0,3,376.0,5,2,3,3,0,3,388.0,3.0,1.0,2.0,2,0,2.0,395.0,5.0,2.0,3.0,3,0,3.0,400.0,3.0,1.0,2.0,2,0,2.0,404.0,5,2,3,3,0,3,406.0,3.0,1.0,2.0,2,0,2.0,415.0,3,1,2,2,0,2,388.0,3,1,2,2,0,2,391.0
900,5,2,3,3,0,3,435.0,3,1,2,2,0,2,451.0,5,2,3,3,0,3,458.0,5,2,3,3,0,3,441.0,7.0,3.0,4.0,4,0,3.0,450.0,5.0,2.0,3.0,3,0,3.0,466.0,7.0,3.0,4.0,4,0,3.0,441.0,3.0,1.0,2.0,2,0,2.0,475.0,7,3,4,4,0,3,432.0,5,2,3,3,0,3,464.0,3.0,1.0,2.0,2,0,2.0,471.0,5,2,3,3,0,3,431.0,7,3,4,4,0,3,436.0,3.0,1.0,2.0,2,0,2.0,448.0,5.0,2.0,3.0,3,0,3.0,451.0,3.0,1.0,2.0,2,0,2.0,457.0,5,2,3,3,0,3,450.0,3.0,1.0,2.0,2,0,2.0,460.0,3,1,2,2,0,2,437.0,3,1,2,2,0,2,444.0
1000,5,2,3,3,0,3,483.0,3,1,2,2,0,2,500.0,5,2,3,3,0,3,509.0,5,2,3,3,0,3,502.0,7.0,3.0,4.0,4,0,3.0,499.0,5.0,2.0,3.0,3,0,3.0,511.0,7.0,3.0,4.0,4,0,3.0,486.0,3.0,1.0,2.0,2,0,2.0,514.0,7,3,4,4,0,3,489.0,5,2,3,3,0,3,516.0,5.0,2.0,3.0,3,0,3.0,530.0,5,2,3,3,0,3,486.0,7,3,4,4,0,3,478.0,3.0,1.0,2.0,2,0,2.0,504.0,5.0,2.0,3.0,3,0,3.0,490.0,3.0,1.0,2.0,2,0,2.0,501.0,5,2,3,3,0,3,505.0,3.0,1.0,2.0,2,0,2.0,520.0,3,1,2,2,0,2,483.0,3,1,2,2,0,2,494.0
