,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,7,3,4,4,0,3,616.0,11,4,7,7,0,4,570.0,14,5,9,9,0,4,616.0,7,3,4,4,0,4,596.0,7,3,4,4,0,3,621.0,24,6,18,18,0,6,589.0,18,5,13,13,0,5,572.0,7,3,4,4,0,3,622.0,1,0,1,1,0,1,569.0,7,3,4,4,0,3,584.0,28,2,26,26,0,3,588.0,30,3,27,27,0,3,576.0,9,2,7,7,0,3,598.0,3,1,2,2,0,2,610.0,9,2,7,7,0,3,537.0,11,3,8,8,0,3,636.0,3,1,2,2,0,2,587.0,9,4,5,5,0,4,581.0,31,1,30,30,0,2,615.0,12,4,8,8,0,5,607.0
200,31,9,22,22,0,6,1182.0,27,10,17,17,0,6,1176.0,23,7,16,16,0,5,1214.0,17,8,9,9,0,6,1175.0,9,4,5,5,0,4,1219.0,47,11,36,36,0,10,1228.0,31,7,24,24,0,5,1160.0,31,10,21,21,0,7,1261.0,16,4,12,12,0,4,1220.0,24,6,18,18,0,5,1238.0,32,2,30,30,0,3,1194.0,48,6,42,42,0,4,1178.0,26,4,22,22,0,4,1202.0,25,4,21,21,0,4,1209.0,30,6,24,24,0,4,1152.0,29,6,23,23,0,4,1227.0,19,5,14,14,0,4,1175.0,21,10,11,11,0,7,1159.0,34,2,32,32,0,3,1224.0,32,9,23,23,0,6,1263.0
300,55,14,41,41,0,8,1840.0,41,13,28,28,0,7,1744.0,51,12,39,39,0,6,1800.0,37,15,22,22,0,7,1743.0,15,7,8,8,0,5,1809.0,60,12,48,48,0,11,1791.0,39,9,30,30,0,6,1735.0,64,15,49,49,0,8,1840.0,21,5,16,16,0,4,1887.0,37,9,28,28,0,6,1832.0,48,4,44,44,0,4,1768.0,56,8,48,48,0,4,1776.0,37,7,30,30,0,4,1797.0,42,6,36,36,0,6,1782.0,63,10,53,53,0,5,1750.0,43,11,32,32,0,6,1842.0,36,11,25,25,0,6,1826.0,57,16,41,41,0,9,1766.0,11,4,7,7,0,4,443.0,42,12,30,30,0,7,1848.0
400,81,16,65,65,0,9,2452.0,54,19,35,35,0,7,2339.0,64,17,47,47,0,7,2404.0,56,22,34,34,0,9,2328.0,25,12,13,13,0,6,2397.0,67,15,52,52,0,11,2402.0,51,15,36,36,0,6,2295.0,89,19,70,70,0,9,2429.0,29,9,20,20,0,5,2488.0,54,12,42,42,0,7,2452.0,66,8,58,58,0,5,2411.0,21,3,18,18,0,3,432.0,50,13,37,37,0,5,2355.0,55,9,46,46,0,6,2352.0,102,13,89,89,0,5,2362.0,53,14,39,39,0,6,2456.0,49,15,34,34,0,8,2418.0,83,20,63,63,0,9,2389.0,30,10,20,20,0,6,1053.0,51,16,35,35,0,7,2466.0
500,106,19,87,87,0,9,3061.0,68,24,44,44,0,7,2939.0,74,21,53,53,0,8,3001.0,91,28,63,63,0,11,2937.0,58,22,36,36,0,7,2984.0,68,15,53,53,0,11,3018.0,53,16,37,37,0,7,2922.0,100,21,79,79,0,9,3065.0,39,14,25,25,0,6,3102.0,59,14,45,45,0,8,3069.0,81,12,69,69,0,5,3019.0,29,3,26,26,0,3,1005.0,67,18,49,49,0,6,2985.0,78,12,66,66,0,7,2912.0,127,15,112,112,0,5,2971.0,76,18,58,58,0,6,3073.0,72,20,52,52,0,8,3004.0,100,24,76,76,0,9,2972.0,52,17,35,35,0,8,1642.0,67,22,45,45,0,7,3047.0
600,115,22,93,93,0,9,3708.0,78,29,49,49,0,7,3524.0,85,26,59,59,0,8,3619.0,115,31,84,84,0,12,3529.0,85,27,58,58,0,9,3561.0,72,17,55,55,0,11,3650.0,73,24,49,49,0,7,3544.0,117,24,93,93,0,10,3668.0,53,20,33,33,0,7,3720.0,81,19,62,62,0,8,3661.0,96,18,78,78,0,5,3557.0,38,6,32,32,0,5,1572.0,80,24,56,56,0,7,3627.0,90,15,75,75,0,8,3543.0,142,16,126,126,0,5,3570.0,96,25,71,71,0,7,3730.0,89,25,64,64,0,10,3606.0,108,25,83,83,0,9,3554.0,74,23,51,51,0,9,2233.0,78,26,52,52,0,7,3643.0
700,136,28,108,108,0,9,4295.0,90,35,55,55,0,8,4088.0,102,33,69,69,0,9,4221.0,132,34,98,98,0,12,4133.0,102,30,72,72,0,9,4159.0,85,23,62,62,0,11,4240.0,90,28,62,62,0,7,4142.0,135,27,108,108,0,10,4205.0,63,22,41,41,0,7,4279.0,104,29,75,75,0,8,4280.0,109,24,85,85,0,5,4108.0,54,12,42,42,0,5,2211.0,105,31,74,74,0,8,4212.0,108,21,87,87,0,8,4117.0,156,19,137,137,0,5,4147.0,109,30,79,79,0,8,4297.0,117,29,88,88,0,10,4227.0,125,31,94,94,0,9,4170.0,92,28,64,64,0,10,2850.0,95,31,64,64,0,8,4246.0
800,167,33,134,134,0,9,4894.0,100,40,60,60,0,8,4657.0,120,38,82,82,0,9,4834.0,145,38,107,107,0,12,4739.0,110,31,79,79,0,9,4769.0,91,26,65,65,0,12,4813.0,98,29,69,69,0,7,4790.0,149,30,119,119,0,10,4762.0,80,30,50,50,0,8,4882.0,116,35,81,81,0,8,4893.0,47,10,37,37,0,6,1827.0,68,18,50,50,0,5,2792.0,123,35,88,88,0,9,4830.0,121,26,95,95,0,8,4690.0,167,22,145,145,0,6,4768.0,124,35,89,89,0,8,4934.0,136,35,101,101,0,10,4845.0,134,33,101,101,0,9,4792.0,117,36,81,81,0,11,3468.0,103,35,68,68,0,8,4792.0
900,180,35,145,145,0,9,5493.0,114,47,67,67,0,9,5306.0,132,41,91,91,0,9,5416.0,167,43,124,124,0,13,5335.0,122,36,86,86,0,9,5382.0,1,0,1,1,0,1,23.0,109,34,75,75,0,7,5404.0,164,36,128,128,0,11,5358.0,106,36,70,70,0,9,5468.0,131,42,89,89,0,8,5523.0,57,12,45,45,0,6,2440.0,80,23,57,57,0,6,3367.0,130,37,93,93,0,9,5409.0,126,28,98,98,0,9,5273.0,184,23,161,161,0,6,5358.0,135,39,96,96,0,9,5504.0,160,40,120,120,0,10,5415.0,14,4,10,10,0,5,589.0,138,40,98,98,0,11,4024.0,114,38,76,76,0,8,5367.0
1000,205,39,166,166,0,9,6080.0,131,54,77,77,0,9,5886.0,159,49,110,110,0,10,6027.0,178,47,131,131,0,13,5988.0,132,39,93,93,0,10,5985.0,18,5,13,13,0,5,609.0,121,39,82,82,0,7,6012.0,178,41,137,137,0,11,5965.0,121,40,81,81,0,9,6045.0,141,46,95,95,0,9,6128.0,69,17,52,52,0,7,3059.0,95,29,66,66,0,7,3979.0,140,40,100,100,0,9,6019.0,150,36,114,114,0,10,5907.0,64,16,48,48,0,5,2881.0,148,45,103,103,0,10,6063.0,181,46,135,135,0,11,6039.0,35,11,24,24,0,6,1166.0,151,43,108,108,0,11,4669.0,129,44,85,85,0,8,5959.0
