,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,1,0,1,1,0,1,48.0,1,0,1,1,0,1,40.0,1,0,1,1,0,1,49.0,1,0,1,1,0,1,48.0,3,1,2,2,0,2,61.0,1,0,1,1,0,1,47.0,1,0,1,1,0,1,46.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,50.0,1,0,1,1,0,1,47.0,1,0,1,1,0,1,48.0,1,0,1,1,0,1,37.0,1,0,1,1,0,1,47.0,1,0,1,1,0,1,45.0,1,0,1,1,0,1,42.0,1,0,1,1,0,1,44.0,1,0,1,1,0,1,43.0,1.0,0.0,1.0,1,0,1.0,53.0,1,0,1,1,0,1,45.0,1,0,1,1,0,1,45.0
200,1,0,1,1,0,1,106.0,1,0,1,1,0,1,87.0,1,0,1,1,0,1,96.0,3,1,2,2,0,2,104.0,3,1,2,2,0,2,109.0,1,0,1,1,0,1,97.0,1,0,1,1,0,1,94.0,1,0,1,1,0,1,99.0,1,0,1,1,0,1,102.0,1,0,1,1,0,1,100.0,1,0,1,1,0,1,99.0,1,0,1,1,0,1,86.0,1,0,1,1,0,1,106.0,1,0,1,1,0,1,94.0,3,1,2,2,0,2,100.0,3,1,2,2,0,2,88.0,3,1,2,2,0,2,100.0,3.0,1.0,2.0,2,0,2.0,116.0,1,0,1,1,0,1,98.0,3,1,2,2,0,2,105.0
300,1,0,1,1,0,1,159.0,3,1,2,2,0,2,133.0,1,0,1,1,0,1,143.0,3,1,2,2,0,2,158.0,5,2,3,3,0,3,165.0,1,0,1,1,0,1,149.0,1,0,1,1,0,1,149.0,1,0,1,1,0,1,145.0,1,0,1,1,0,1,150.0,1,0,1,1,0,1,149.0,1,0,1,1,0,1,146.0,3,1,2,2,0,2,138.0,3,1,2,2,0,2,162.0,1,0,1,1,0,1,83.0,3,1,2,2,0,2,157.0,3,1,2,2,0,2,142.0,3,1,2,2,0,2,152.0,1.0,0.0,1.0,1,0,1.0,104.0,1,0,1,1,0,1,144.0,3,1,2,2,0,2,159.0
400,1,0,1,1,0,1,205.0,3,1,2,2,0,2,184.0,3,1,2,2,0,2,198.0,3,1,2,2,0,2,210.0,5,2,3,3,0,3,213.0,3,1,2,2,0,2,206.0,1,0,1,1,0,1,200.0,1,0,1,1,0,1,197.0,1,0,1,1,0,1,205.0,3,1,2,2,0,2,204.0,1,0,1,1,0,1,197.0,3,1,2,2,0,2,196.0,3,1,2,2,0,2,212.0,1,0,1,1,0,1,135.0,5,2,3,3,0,3,210.0,3,1,2,2,0,2,192.0,3,1,2,2,0,2,202.0,1.0,0.0,1.0,1,0,1.0,154.0,1,0,1,1,0,1,185.0,3,1,2,2,0,2,207.0
500,1,0,1,1,0,1,257.0,3,1,2,2,0,2,232.0,3,1,2,2,0,2,253.0,3,1,2,2,0,2,262.0,3,1,2,2,0,2,58.0,3,1,2,2,0,2,260.0,1,0,1,1,0,1,252.0,1,0,1,1,0,1,244.0,3,1,2,2,0,2,259.0,3,1,2,2,0,2,267.0,1,0,1,1,0,1,250.0,5,2,3,3,0,3,253.0,3,1,2,2,0,2,263.0,1,0,1,1,0,1,185.0,3,1,2,2,0,2,109.0,3,1,2,2,0,2,241.0,1,0,1,1,0,1,114.0,3.0,1.0,2.0,2,0,2.0,204.0,1,0,1,1,0,1,234.0,5,2,3,3,0,3,260.0
600,3,1,2,2,0,2,307.0,3,1,2,2,0,2,280.0,3,1,2,2,0,2,299.0,1,0,1,1,0,1,168.0,3,1,2,2,0,2,107.0,5,2,3,3,0,3,305.0,1,0,1,1,0,1,308.0,3,1,2,2,0,2,292.0,3,1,2,2,0,2,308.0,3,1,2,2,0,2,315.0,1,0,1,1,0,1,298.0,1,0,1,1,0,1,102.0,3,1,2,2,0,2,321.0,1,0,1,1,0,1,230.0,3,1,2,2,0,2,159.0,1,0,1,1,0,1,110.0,3,1,2,2,0,2,164.0,3.0,1.0,2.0,2,0,2.0,258.0,1,0,1,1,0,1,290.0,7,3,4,4,0,3,302.0
700,3,1,2,2,0,2,366.0,5,2,3,3,0,3,335.0,3,1,2,2,0,2,343.0,1,0,1,1,0,1,222.0,3,1,2,2,0,2,164.0,5,2,3,3,0,3,348.0,3,1,2,2,0,2,355.0,3,1,2,2,0,2,348.0,3,1,2,2,0,2,358.0,3,1,2,2,0,2,361.0,3,1,2,2,0,2,350.0,1,0,1,1,0,1,156.0,3,1,2,2,0,2,375.0,1,0,1,1,0,1,279.0,1,0,1,1,0,1,32.0,3,1,2,2,0,2,166.0,3,1,2,2,0,2,221.0,3.0,1.0,2.0,2,0,2.0,302.0,1,0,1,1,0,1,335.0,7,3,4,4,0,3,353.0
800,3,1,2,2,0,2,413.0,5,2,3,3,0,3,386.0,5,2,3,3,0,3,395.0,1,0,1,1,0,1,268.0,3,1,2,2,0,2,212.0,5,2,3,3,0,3,394.0,3,1,2,2,0,2,400.0,3,1,2,2,0,2,405.0,3,1,2,2,0,2,409.0,3,1,2,2,0,2,419.0,3,1,2,2,0,2,408.0,3,1,2,2,0,2,205.0,5,2,3,3,0,3,419.0,1,0,1,1,0,1,330.0,1,0,1,1,0,1,94.0,3,1,2,2,0,2,220.0,3,1,2,2,0,2,267.0,,,,0,0,,0.0,1,0,1,1,0,1,385.0,7,3,4,4,0,3,399.0
900,3,1,2,2,0,2,462.0,5,2,3,3,0,3,423.0,5,2,3,3,0,3,445.0,3,1,2,2,0,2,327.0,3,1,2,2,0,2,272.0,5,2,3,3,0,3,449.0,3,1,2,2,0,2,449.0,3,1,2,2,0,2,449.0,3,1,2,2,0,2,456.0,3,1,2,2,0,2,476.0,3,1,2,2,0,2,458.0,3,1,2,2,0,2,255.0,5,2,3,3,0,3,467.0,3,1,2,2,0,2,377.0,1,0,1,1,0,1,148.0,3,1,2,2,0,2,266.0,3,1,2,2,0,2,313.0,3.0,1.0,2.0,2,0,2.0,59.0,1,0,1,1,0,1,431.0,7,3,4,4,0,3,446.0
1000,5,2,3,3,0,3,518.0,3,1,2,2,0,2,251.0,5,2,3,3,0,3,502.0,3,1,2,2,0,2,377.0,3,1,2,2,0,2,318.0,5,2,3,3,0,3,503.0,3,1,2,2,0,2,499.0,3,1,2,2,0,2,499.0,5,2,3,3,0,3,509.0,3,1,2,2,0,2,525.0,3,1,2,2,0,2,512.0,3,1,2,2,0,2,310.0,5,2,3,3,0,3,514.0,3,1,2,2,0,2,421.0,1,0,1,1,0,1,199.0,3,1,2,2,0,2,310.0,5,2,3,3,0,3,363.0,3.0,1.0,2.0,2,0,2.0,104.0,1,0,1,1,0,1,470.0,3,1,2,2,0,2,191.0
