n_samples,time,memory,MAE,RMSE,R2
100.0,3.1442872,6.428,55677.4026726,74530.99106900001,0.43341759999999996
200.0,6.431094,10.862,47049.6296936,64734.5035802,0.558694
300.0,10.1035194,14.424000000000001,43511.2863874,63490.896196,0.5946576
400.0,13.8344108,18.628,39631.0792852,58199.3544036,0.6519353999999999
500.0,17.8993502,20.304,37797.3456056,56496.219461999994,0.6796868
600.0,22.064194800000003,21.998,35878.7486754,53618.1643984,0.7069502
700.0,26.2814958,25.266,34687.2429834,52497.879233600004,0.7232648
800.0,30.7593138,27.410000000000004,33722.2088076,50750.3445728,0.7347952
900.0,35.4625322,30.994,33202.3722662,50121.917978800004,0.7365695999999999
1000.0,40.2736774,36.134,33872.4682112,51018.9531422,0.7284762
1100.0,45.3520398,39.438,35328.5011474,53096.9349184,0.7182028
1200.0,50.794401199999996,42.94,35884.8106112,53673.2791218,0.7093809999999999
1300.0,56.4697132,44.742000000000004,35560.845941,53468.4460862,0.6988928
1400.0,62.887703,49.15599999999999,34830.1606052,52511.316557,0.6941488
1500.0,68.9331066,49.508,34644.193595200006,52285.0929094,0.6873608
1600.0,75.09578859999999,54.2,35363.2177378,52995.11736419999,0.6762330000000001
1700.0,81.3652818,55.464,35803.154793,52919.254134200004,0.6789424000000001
1800.0,87.79455,55.146,35779.9407504,52530.4888144,0.689576
1900.0,93.984588,58.894000000000005,35625.682474,51952.563724,0.692913
2000.0,100.23750559999999,59.232000000000006,35297.9877796,51257.654992200005,0.692583
2100.0,106.3633936,58.14399999999999,35818.4913332,52055.3746342,0.6860956
2200.0,112.652431,46.251999999999995,37029.5436994,53921.416313600006,0.6880716
2300.0,118.15035700000001,41.45,37252.9799318,54195.94864159999,0.6915656
2400.0,123.19373479999999,40.232,37148.4172562,53858.91581399999,0.696028
2500.0,128.4120924,43.922,37007.8182592,53943.5152478,0.693526
2600.0,133.9040082,44.774,37145.5483626,53986.6441366,0.6952054000000001
2700.0,139.28888320000001,45.866,36925.0494326,53574.6800036,0.7042208000000001
2800.0,144.8813672,46.604,36514.8321096,52997.827906,0.7115984
