n_samples,time,memory,MAE,RMSE,R2
100,0.6447864000000001,2.9019999999999997,84729.8586914,104653.74559359999,-0.114255
200,1.0295946,4.318,67535.2644778,87186.1963004,0.1984782
300,1.4753295999999998,3.8340000000000005,62078.075627599996,83240.54320480001,0.3026688
400,1.9179606000000002,5.346,59366.8156132,78502.3227902,0.3658634
500,2.3718484,4.608,56844.0647582,76009.43557100001,0.42070660000000004
600,2.8193572000000002,4.442,54804.468999,73074.8953248,0.45592380000000005
700,3.2625578000000006,5.24,53466.422508799995,71845.92235919999,0.4821046
800,3.7262388,5.0520000000000005,51688.5967666,69480.2129128,0.5031115999999999
900,4.1874874,5.266,50040.5897246,67894.879792,0.5165138
1000,4.640383,6.0760000000000005,49129.718619800005,66982.35020900001,0.531666
1100,5.1235492,6.936,49673.7259818,67817.227342,0.5402036000000001
1200,5.6368238,8.004,48911.6136332,67258.81194000001,0.5434524
1300,6.176466400000001,7.7540000000000004,47760.8015008,66210.9568968,0.5380246000000001
1400,6.680521000000001,7.287999999999999,46431.5941056,64727.3788858,0.535115
1500,7.178563199999999,6.672,45501.9704442,63626.668195800004,0.5368408
1600,7.6548732,7.033999999999999,45706.302607000005,63748.4295526,0.5313787999999999
1700,8.151327,7.3180000000000005,46301.783100600005,63803.930896399994,0.533244
1800,8.6490842,7.372,46098.2972646,63217.452883800004,0.5504074000000001
1900,9.153552,7.698,45299.76432860001,62167.69397519999,0.5602539999999999
2000,9.648935,7.522,44576.4319872,61206.7718032,0.5616624
2100,10.159431600000001,7.715999999999999,44754.228326,61418.20950879999,0.5630352
2200,10.714265999999999,8.03,45466.5954576,62417.0494056,0.5820252
2300,11.246116999999998,8.268,45236.3722374,62349.701997599994,0.591778
2400,11.7839608,8.622,44889.6824874,61898.72694039999,0.5985066000000001
2500,12.307339599999999,9.17,44582.9891564,61781.2081382,0.5979894
2600,12.828824400000002,8.063999999999998,44281.989845599994,61435.386941799996,0.6052932
2700,13.3303058,8.022,43558.641084999996,60776.122550199994,0.6193798
2800,13.83499,7.2379999999999995,42694.0426786,59968.115116400004,0.630744
2900,14.3241598,7.1,41865.742568,59147.9631392,0.6394117999999999
3000,14.8143204,6.672,41053.9627778,58312.40026539999,0.6486608
3100,15.2854834,7.202000000000001,40195.2243114,57462.492283199994,0.6593055999999999
