n_samples,time,memory,MAE,RMSE,R2
100.0,0.3893054,2.488,0.0038669999999999998,0.0056368,-1.0260978
200.0,0.8256222,3.686,0.0033675999999999997,0.0046888,-0.5538420000000001
300.0,1.2817726,4.287999999999999,0.0032045999999999997,0.004415199999999999,-0.3124966
400.0,1.7518074,4.642,0.0030292,0.0042204,-0.1438788
500.0,2.2262778,4.982,0.0028437999999999996,0.004002,-0.060989800000000004
600.0,2.7187314000000002,5.246,0.002626,0.0037536,-0.012753800000000001
700.0,3.2233834000000003,5.601999999999999,0.0025588,0.0038834,0.25860099999999997
800.0,3.7497835999999998,6.112,0.0029454,0.0048538,0.39257580000000003
900.0,4.2807724,6.5680000000000005,0.0029988000000000003,0.0048786,0.40319580000000005
1000.0,4.8140976,6.824,0.0030256,0.0048442,0.3915752
1100.0,5.3532674,7.124,0.0029486,0.004717000000000001,0.392285
1200.0,5.9064734,7.353999999999999,0.002853,0.0045728,0.39390800000000004
1300.0,6.463165399999999,7.616,0.0027459999999999997,0.0044252,0.4045316
1400.0,7.0283636000000005,8.040000000000001,0.0028201999999999997,0.0046714,0.4542712
1500.0,7.606350000000001,8.540000000000001,0.0028594000000000002,0.0047414,0.4850468
1600.0,8.183635800000001,8.882,0.0028431999999999997,0.004689799999999999,0.48866339999999997
1700.0,8.743786400000001,9.114,0.0028072,0.004621200000000001,0.4883806
1800.0,9.305802199999999,9.48,0.0027619999999999997,0.0045358,0.5049308
1900.0,9.8899792,9.728,0.0027694000000000004,0.0045098,0.5111475999999999
2000.0,10.4719908,9.966,0.0027916,0.0044828,0.5036744000000001
2100.0,11.0602682,10.18,0.0028828,0.0046078000000000004,0.5162532000000001
2200.0,11.6897184,10.488,0.0028834,0.0046028,0.5259716
2300.0,12.2995226,10.814,0.002906,0.0047848000000000005,0.5332508
2400.0,12.913260600000001,11.094,0.0029658,0.0049250000000000006,0.5454082
2500.0,13.517383599999999,11.354000000000001,0.0029616,0.0048858,0.5513245999999999
2600.0,14.1305148,11.622,0.0029218,0.0048192,0.5530079999999999
2700.0,14.7504272,11.898,0.002896,0.0047745999999999995,0.5656078
2800.0,15.3834026,12.212,0.0029638,0.0048806000000000006,0.58055
2900.0,16.0126912,12.540000000000001,0.0029693999999999996,0.004873,0.5856456
3000.0,16.6580698,12.908000000000001,0.002956,0.0048374,0.5884376
3100.0,17.306426,13.154,0.0029294,0.0047856,0.589201
3200.0,17.9495826,13.286000000000001,0.0028924,0.0047282,0.591019
3300.0,18.5950086,13.492,0.0028493999999999998,0.0046698,0.5941284
3400.0,19.2457496,13.648,0.0028992,0.0047815999999999996,0.590467
3500.0,19.902979199999997,13.912,0.0028842,0.0047632,0.59164
3600.0,20.5785538,13.994,0.0028577999999999998,0.0047234,0.593487
3700.0,21.2510144,14.047999999999998,0.0028232,0.0046748,0.5958528000000001
3800.0,21.9726392,14.612,0.0027976,0.0046314,0.6033474
3900.0,22.6812666,14.943999999999999,0.0027686000000000004,0.004584400000000001,0.6059736
4000.0,23.3627378,15.096,0.0027396,0.0045395999999999995,0.6078127999999999
4100.0,24.0593504,15.388,0.002716,0.0044984000000000005,0.609939
4200.0,24.763106,15.642000000000001,0.0027022,0.0044662,0.6191048
4300.0,25.4678742,15.86,0.0026936,0.0044358,0.6217864000000001
4400.0,26.213653599999997,16.09,0.0026746,0.0044002,0.6222074
4500.0,26.928020800000002,16.312,0.0026528,0.0043672,0.6224384
4600.0,27.649476400000005,16.438,0.0026534,0.0043838,0.6335718
4700.0,28.367863399999997,16.574,0.0026584,0.004392399999999999,0.6490258
4800.0,29.078957600000003,16.738,0.0026482,0.0043749999999999995,0.6562614
4900.0,29.802255600000002,16.954,0.0026294,0.0043468,0.6590792000000001
5000.0,30.5415882,17.044,0.0026057999999999997,0.0043124,0.6632594
5100.0,31.31576,17.134,0.0025986000000000004,0.0042922,0.6756742
5200.0,32.042933600000005,17.266,0.0025864,0.004266000000000001,0.6785766
5300.0,32.7386262,17.404,0.0025636,0.0042328,0.679878
5400.0,33.4336396,17.625999999999998,0.0025466,0.004208,0.6824556
5500.0,34.1447744,17.875999999999998,0.0025312,0.0041814,0.6843628
5600.0,34.8554718,17.968,0.0025216,0.0041618,0.6891628
5700.0,35.574292400000004,18.208,0.002512,0.00414,0.6950192000000001
5800.0,36.2810316,18.194,0.0024966000000000003,0.004113,0.6968586
5900.0,36.995570199999996,18.356,0.0024866,0.0040938,0.6972518
6000.0,37.7378322,18.451999999999998,0.0024814,0.0040786,0.696871
6100.0,38.480469,18.456,0.0024708,0.004057,0.6970444
6200.0,39.22473,18.588,0.0024584000000000003,0.0040344,0.6971628
6300.0,39.9685504,18.759999999999998,0.0024416,0.0040092,0.6976600000000001
6400.0,40.7030054,18.872,0.0024219999999999997,0.003982,0.6989568
6500.0,41.4511302,19.038,0.0024056,0.0039578,0.6998675999999999
6600.0,42.2041974,19.169999999999998,0.0023896,0.003933,0.7002466
6700.0,42.9350188,19.28,0.0023722,0.0039084,0.7008894
6800.0,43.6788722,19.384,0.0023547999999999998,0.003884,0.7017743999999999
6900.0,44.4354478,19.522,0.0023378,0.0038598,0.7037166
7000.0,45.1887742,19.688,0.0023266000000000003,0.0038414000000000005,0.7051147999999999
7100.0,45.947446400000004,19.964,0.002327,0.0038345999999999996,0.703855
7200.0,46.7021748,20.066,0.0023156,0.0038166,0.704107
7300.0,47.4582988,20.298,0.0023026,0.0037963999999999997,0.704515
7400.0,48.1838084,20.456,0.002294,0.0037819999999999998,0.7090212
