n_samples,time,memory,MAE,RMSE,R2
100.0,0.5021824,3.646,4.4282506,5.648754,-0.2640902
200.0,0.9091511999999999,5.351999999999999,3.952863,4.9817652,-0.024573400000000002
300.0,1.4031606,6.624,3.6624426,4.6108258,0.145785
400.0,1.9346800000000002,7.244,3.3593859999999998,4.2787728000000005,0.2575864
500.0,2.4026452,6.601999999999999,3.1987466,4.075188,0.3255828
600.0,2.846879,6.214,3.1573544,4.0050136,0.3541536
700.0,3.3038517999999995,7.601999999999999,3.060661,3.8861908,0.38658000000000003
800.0,3.7962261999999996,7.744,2.9717956,3.784138,0.41559539999999995
900.0,4.288197800000001,8.318000000000001,2.9116418,3.7155446,0.4356026
1000.0,4.7804138,8.001999999999999,2.8516366,3.6426368000000005,0.4583062
1100.0,5.276422,8.192,2.8236898,3.6028607999999998,0.476625
1200.0,5.784134,9.08,2.7803436,3.5485930000000003,0.489189
1300.0,6.3662974,9.186,2.7397344,3.4999513999999996,0.49913679999999994
1400.0,6.8935142,9.681999999999999,2.7202434,3.4709124000000005,0.5105346
1500.0,7.436132000000001,10.202,2.6877626,3.4316082000000003,0.5223642
1600.0,7.9743276,10.196000000000002,2.6610968,3.4036686000000005,0.5299014
1700.0,8.521404800000001,10.754,2.6407238,3.3760664,0.5411816
1800.0,9.0815618,11.556000000000001,2.619053,3.3476276,0.5475462
1900.0,9.650202400000001,12.528,2.5976986,3.319493,0.5558832
2000.0,10.232394000000001,12.958000000000002,2.5749345999999997,3.2935437999999997,0.5632172000000001
2100.0,10.811680200000001,13.209999999999999,2.5497898,3.2615034,0.5721194
2200.0,11.382640599999998,13.963999999999999,2.5308178,3.2371198,0.5790772000000001
2300.0,11.9804748,14.862,2.5122006,3.2126122,0.5847405999999999
2400.0,12.605930599999999,15.657999999999998,2.5007106,3.1964734,0.5888988
2500.0,13.2291688,16.278,2.4863734,3.1775524,0.5935688
2600.0,13.860926599999999,17.082,2.4727204,3.1618692,0.5978676
2700.0,14.4997848,18.022,2.4558522,3.1428892,0.6018328
2800.0,15.1548702,18.828,2.4414914,3.1252076,0.6064794
2900.0,15.8388338,19.904000000000003,2.4329042000000003,3.1137332,0.6106434000000001
3000.0,16.5227776,20.79,2.421146,3.0994776,0.6143744
3100.0,17.2157894,21.476,2.4094234,3.0862266,0.6173681999999999
3200.0,17.9217544,21.502,2.3914104000000003,3.0666406000000004,0.6220722000000001
3300.0,18.6366434,22.336,2.3805622,3.0538277999999996,0.624468
3400.0,19.340033,22.984,2.3676078,3.0392728,0.6270958
3500.0,20.0593482,23.574,2.3565448,3.0259204,0.6306418
3600.0,20.774694,24.18,2.3434096,3.0109148,0.6340146
3700.0,21.512256400000002,24.95,2.3326561999999997,2.9986004,0.6371192
3800.0,22.2549444,26.124000000000002,2.3229990000000003,2.985294,0.6411834
3900.0,23.015290999999998,26.85,2.3119218,2.9729514000000004,0.643488
4000.0,23.7811656,26.72,2.3000466,2.9603995999999997,0.6464772
4100.0,24.5374298,27.812,2.2911542000000003,2.9486158,0.64874
4200.0,25.3088326,28.157999999999998,2.2805728000000003,2.936397,0.6518691999999999
4300.0,26.085970800000002,28.862000000000002,2.2703879999999996,2.9249286,0.654429
4400.0,26.8872048,29.484,2.2634898,2.9168356,0.6566778
4500.0,27.6921388,30.356,2.2578552,2.9081798,0.6588803999999999
4600.0,28.5020602,30.759999999999998,2.250172,2.8993493999999997,0.6608242000000001
4700.0,29.3139724,31.183999999999997,2.2434988,2.8899032,0.662894
4800.0,30.1618424,30.968,2.2335819999999997,2.8776958,0.665636
4900.0,30.9712472,30.631999999999998,2.2245456,2.8659856,0.6683952
5000.0,31.7975968,31.444,2.2187578,2.857663,0.6703876
5100.0,32.6176088,31.428000000000004,2.2123058,2.8494966,0.6728506
5200.0,33.4552482,31.772000000000002,2.204964,2.840994,0.6750415999999999
5300.0,34.2773664,32.102,2.1963832,2.8306462,0.677541
5400.0,35.094829,32.733999999999995,2.1920232,2.8263506,0.6787612
5500.0,35.9349354,33.622,2.1841608,2.8169366,0.6808558
5600.0,36.7829582,33.714,2.1785167999999997,2.8107728,0.6823944
5700.0,37.6213592,33.898,2.1738912,2.8046368,0.6840748
5800.0,38.4682684,34.576,2.1661514,2.7954106,0.6860186
5900.0,39.3196782,34.980000000000004,2.1609485999999998,2.7890908,0.6873398
6000.0,40.1855586,35.348,2.1548394,2.7819316,0.6891114
6100.0,41.030595399999996,35.694,2.1498798,2.7763448,0.6907776
6200.0,41.875142,36.206,2.145231,2.7701444000000004,0.6921172
6300.0,42.734265,36.57,2.1397264,2.7633382,0.6929308
6400.0,43.604311,36.112,2.1361672,2.7587276,0.6941246000000001
6500.0,44.470482399999995,36.774,2.1315996,2.7531498,0.6956906
6600.0,45.350914,37.065999999999995,2.1255056,2.7455206,0.6974634
6700.0,46.2210326,36.714,2.1197310000000003,2.7390092,0.6992408
6800.0,47.0935778,36.582,2.1142944,2.7321724,0.7009133999999999
6900.0,47.9660664,37.184000000000005,2.1092412,2.7261434,0.702074
7000.0,48.842259,37.896,2.104833,2.7207416,0.7027828
7100.0,49.720370200000005,38.644,2.0993406,2.713588,0.7041624
7200.0,50.6024714,38.884,2.0940664,2.7070182,0.7056172
7300.0,51.4861772,39.294,2.0891792,2.7009134,0.7067888
7400.0,52.3680978,39.766000000000005,2.0855678,2.6959761999999996,0.7077747999999999
7500.0,53.26958140000001,40.660000000000004,2.0814746,2.690408,0.7089194
7600.0,54.1865314,41.506,2.0764953999999998,2.6847000000000003,0.7096422
7700.0,55.1284434,42.602,2.0727272,2.6800784,0.7104820000000001
7800.0,56.063148999999996,42.902,2.0695438,2.675451,0.711712
7900.0,56.9959464,43.024,2.066521,2.6708914,0.7131717999999999
8000.0,57.937208999999996,42.664,2.0628838000000003,2.6663348,0.714185
8100.0,58.867548,43.007999999999996,2.0587066,2.660637,0.7150752
