n_samples,time,memory,MAE,RMSE,R2
100.0,0.3500592,0.7635859375,3.9059998,5.0150444,-0.0031250000000000028
200.0,0.711093,1.314,3.519424,4.4565478,0.1778026
300.0,1.0904935999999998,1.842,3.3900244,4.270588,0.266351
400.0,1.4700032,2.448,3.2422682000000003,4.0894802,0.3214398
500.0,1.8865988000000002,2.8560000000000003,3.1245728,3.9468170000000002,0.3678174
600.0,2.2999808,3.1399999999999997,3.0639696,3.8577483999999997,0.40145580000000003
700.0,2.7407094,3.7039999999999997,2.9821508000000003,3.7602626,0.425674
800.0,3.2105824,4.178,2.9261980000000003,3.688621,0.4443796
900.0,3.6983668,4.412000000000001,2.8792114,3.6316324,0.46030119999999997
1000.0,4.1805942,4.896,2.8375296,3.581543,0.47554099999999994
1100.0,4.672136,5.292,2.81325,3.5465511999999997,0.4919982
1200.0,5.188675,5.2780000000000005,2.7816389999999998,3.5067031999999996,0.5004456
1300.0,5.6878396,5.662000000000001,2.7512646,3.4685828,0.5074996
1400.0,6.1998576,6.292,2.7464188,3.4564988,0.5139858
1500.0,6.741020600000001,6.878,2.7305066,3.432022,0.5217648
1600.0,7.2770844,7.215999999999999,2.7131156,3.4103126,0.5275375999999999
1700.0,7.8204842,7.914,2.699905,3.3942810000000003,0.5358394000000001
1800.0,8.3748486,7.486,2.6788356,3.3714123999999996,0.5406943999999999
1900.0,8.941990200000001,7.856,2.666898,3.3556696,0.5457525999999999
2000.0,9.556699,8.44,2.6590438,3.3425716000000003,0.549712
2100.0,10.1724442,8.878,2.6447526,3.3248722,0.5549336
2200.0,10.8345726,9.602,2.6287264,3.3056870000000003,0.5607154
2300.0,11.4767574,9.702000000000002,2.6140172,3.2878695999999996,0.564757
2400.0,12.141367800000001,9.91,2.6052684,3.2770842,0.5676753999999999
2500.0,12.7968682,10.373999999999999,2.5956874,3.2650024,0.5707215999999999
2600.0,13.4747326,10.534,2.5886322,3.2570404,0.5731808
2700.0,14.151428200000002,11.104000000000001,2.5763008,3.24353,0.5757666
2800.0,14.864437599999999,10.666,2.5678936,3.2327152,0.5787692
2900.0,15.5769378,11.411999999999999,2.5657592,3.2284827999999997,0.5813066
3000.0,16.2662588,11.662,2.5559622,3.2182766000000003,0.5841116
3100.0,16.967880400000002,11.106,2.5499658,3.2083714,0.586392
3200.0,17.647617,11.43,2.5373812,3.1932714,0.590144
3300.0,18.3259562,12.116,2.5254704,3.1810327999999997,0.5924708
3400.0,19.0315396,12.812000000000001,2.5147109999999997,3.1676159999999998,0.5948968
3500.0,19.764462,13.502,2.5090926,3.1611800000000003,0.5968228
3600.0,20.5170438,12.48,2.500896,3.1529034,0.5986604
3700.0,21.2333568,13.106,2.4946596,3.1435516,0.6011848000000001
3800.0,21.9522506,13.586000000000002,2.487696,3.1336664,0.6045432
3900.0,22.7182794,14.27,2.4809905999999997,3.1242354,0.6062372
4000.0,23.4774556,14.303999999999998,2.4722414,3.1134982,0.6088942
4100.0,24.2199672,14.225999999999999,2.4617752,3.1021754,0.6110958
4200.0,24.9724688,14.922,2.45505,3.0943256000000003,0.6132658
4300.0,25.750994400000003,15.401999999999997,2.4482521999999998,3.0862249999999998,0.6151246
4400.0,26.567728199999998,15.663999999999998,2.4411828,3.0770316,0.6177696
4500.0,27.373663599999997,15.882,2.4357434000000002,3.0696570000000003,0.6197782000000001
4600.0,28.1857622,16.080000000000002,2.4298037999999997,3.062484,0.6214074
4700.0,28.9813452,13.992,2.4253586,3.0559272,0.622861
4800.0,29.7429086,14.66,2.4171679999999998,3.046362,0.625095
4900.0,30.5059194,14.896,2.4098842,3.0381302,0.62714
5000.0,31.2753114,15.508000000000001,2.4050702,3.0315920000000003,0.628827
5100.0,32.0920124,15.285999999999998,2.3999466,3.0254558,0.6309688
5200.0,32.8601732,14.768,2.3945036,3.0195604,0.6326916
5300.0,33.6050432,14.363999999999999,2.38748,3.0117764,0.6347316000000001
5400.0,34.3346976,14.478,2.384368,3.0080912,0.6359292
5500.0,35.087271,15.09,2.3786434,3.0013636,0.6374936
5600.0,35.8518528,15.708000000000002,2.374577,2.996404,0.6388504
5700.0,36.6210978,16.413999999999998,2.3716338,2.9922766,0.6401974
5800.0,37.425680799999995,16.646,2.3651882,2.9844328,0.6419360000000001
5900.0,38.2317164,15.742,2.3589218,2.977723,0.6434186000000001
6000.0,39.0361034,15.372,2.3547132,2.9724854,0.6448592
6100.0,39.8098162,15.466,2.3519981999999997,2.9691134,0.646137
6200.0,40.5872624,15.695999999999998,2.3488552,2.9647376000000003,0.6471344
6300.0,41.405968200000004,16.316,2.3441435999999998,2.9584834,0.6478052
6400.0,42.203027399999996,16.794,2.3430633999999997,2.9567058000000004,0.648414
6500.0,43.0271998,17.492,2.3408666,2.953874,0.649462
6600.0,43.881158600000006,18.125999999999998,2.3375944,2.9493482,0.6506187999999999
6700.0,44.7465228,17.172,2.3344134,2.9457396,0.6518539999999999
6800.0,45.5731158,17.844,2.3306238,2.9409492,0.6531712000000001
6900.0,46.4338968,18.526,2.3265257999999998,2.9360808,0.6541372
7000.0,47.3171742,18.762,2.3206078000000003,2.929018,0.6552434
7100.0,48.184691,19.444,2.3157302,2.9237902,0.6562786
7200.0,49.067483800000005,19.102,2.311547,2.918631,0.6575138
7300.0,49.9395572,19.651999999999997,2.3070791999999996,2.9130978,0.6586234
7400.0,50.8910572,19.74,2.3021468,2.9071214000000003,0.6598984
7500.0,51.7653774,19.945999999999998,2.2995622,2.9032980000000004,0.660717
7600.0,52.668124399999996,20.116,2.2950696,2.897952,0.6613545999999999
7700.0,53.5767152,20.52,2.2936382,2.8960406,0.6616266
7800.0,54.488672599999994,20.336000000000002,2.2912994,2.8931620000000002,0.6625718
7900.0,55.428246,20.086000000000002,2.2889322,2.890443,0.6637514
8000.0,56.30651339999999,20.738,2.2861105999999998,2.8871308,0.664574
8100.0,57.194164,21.384,2.281461,2.881743,0.665438
8200.0,58.1050766,21.772,2.2788117999999997,2.8788622,0.6660484
8300.0,59.0215572,22.018,2.2775988,2.877327,0.6670488
8400.0,59.9590696,22.642000000000003,2.2744702,2.873924,0.6677022
8500.0,60.896777,23.32,2.2726408,2.871208,0.6685622
8600.0,61.9097748,23.944,2.2693978,2.8679446,0.6691016
8700.0,62.92140020000001,24.619999999999997,2.2661494,2.8637988,0.6701349999999999
8800.0,63.963752,24.874000000000002,2.2634946,2.8602338,0.6710374
8900.0,65.0181274,25.034,2.2598674,2.8559044,0.6720646
9000.0,66.0497508,25.612000000000002,2.2573841999999997,2.8531122,0.672854
9100.0,67.0708668,25.526,2.2539058,2.8486954,0.6736717999999999
9200.0,68.09767839999999,25.93,2.2510494000000003,2.8456246,0.6745654
9300.0,69.12856819999999,26.601999999999997,2.2480988,2.8420366,0.6752404000000001
9400.0,70.2007768,27.236,2.2454522,2.8392378000000003,0.676164
9500.0,71.2776202,27.95,2.2437808,2.8370317999999997,0.6769966000000001
9600.0,72.3568754,28.695999999999998,2.2404238,2.8336124,0.677719
9700.0,73.4664816,29.436,2.2374234,2.8298204,0.6783872
9800.0,74.6561372,28.826,2.2340192,2.8258403999999997,0.6793696
9900.0,75.8117536,29.412,2.2310422,2.8223716,0.6800683999999999
10000.0,77.0027748,29.546,2.2284248,2.8189816,0.6808522
10100.0,78.1600816,30.18,2.2249998,2.815051,0.6815316
10200.0,79.33213939999999,30.826,2.2225200000000003,2.812221,0.68237
10300.0,80.50564039999999,30.586000000000002,2.2185816,2.8076102,0.6831364
10400.0,81.68368480000001,30.194,2.2159573999999997,2.804099,0.6837874
10500.0,82.84681420000001,30.546,2.2130958,2.8011744,0.6845209999999999
10600.0,84.00306379999999,31.224,2.2106412,2.7985227999999998,0.6851347999999999
10700.0,85.2870138,31.774,2.2074324,2.7946006,0.6861252
10800.0,86.67398519999999,30.654000000000003,2.2050994000000004,2.7919704000000003,0.6868408
10900.0,87.9249372,30.51,2.2028596,2.7890452,0.687547
11000.0,89.134678,31.179999999999996,2.2003148,2.78578,0.6881932
11100.0,90.3267436,31.314,2.1973798,2.7822642,0.6888126
11200.0,91.54994280000001,31.502,2.1942282,2.7788024,0.689292
11300.0,92.745757,30.637999999999998,2.1910394,2.7750092,0.6900310000000001
11400.0,93.9131208,30.636000000000003,2.1879554,2.7717188,0.6908025999999999
11500.0,95.07544060000001,30.74,2.1848745999999997,2.768274,0.6914076
11600.0,96.2133876,30.415999999999997,2.182833,2.7657832,0.6919424000000001
11700.0,97.360361,31.068,2.1805824,2.7628962,0.6926544
