n_samples,time,memory,MAE,RMSE,R2
100.0,0.3320668,3.6060000000000003,4.4288716,5.6497442,-0.2645148
200.0,0.7199234000000001,5.204000000000001,3.9640693999999996,4.9950452,-0.030007
300.0,1.1441236,6.422,3.6594412,4.609577,0.1462488
400.0,1.6649562,6.723999999999999,3.3548284,4.2730146,0.25958139999999996
500.0,2.1284596000000002,6.359999999999999,3.1979262,4.0731422,0.3263296
600.0,2.5681626,6.042,3.154251,3.9969864,0.356814
700.0,3.0580932,7.176,3.0613686,3.8833176000000003,0.3876348
800.0,3.5863082,7.68,2.9739908,3.7839856,0.4158098
900.0,4.0748602,7.767999999999999,2.9098006,3.7068953999999996,0.43835379999999996
1000.0,4.620566999999999,7.314,2.8517048,3.6363714000000003,0.46031659999999996
1100.0,5.08707,7.553999999999999,2.8238735999999998,3.5939053999999997,0.47928360000000003
1200.0,5.6178472,8.42,2.7787792,3.5404334,0.4916012
1300.0,6.1179098,8.482,2.7382634,3.4947576,0.500653
1400.0,6.6122376,8.626000000000001,2.7175916,3.4638117999999998,0.5125651999999999
1500.0,7.118581399999999,8.968,2.6869502,3.4256514000000005,0.5240446
1600.0,7.6324422,9.501999999999999,2.6590716,3.3894128,0.533826
1700.0,8.1626342,10.214,2.6359182,3.3604833999999997,0.5453914
1800.0,8.7056946,10.778,2.6130464,3.3318246,0.5517858
1900.0,9.250864,11.118,2.5904834,3.3042766,0.5599514
2000.0,9.7997282,11.514,2.5677264,3.2782826,0.5672482000000001
2100.0,10.343658999999999,12.038,2.542035,3.2467362,0.5759772
2200.0,10.8953436,12.552,2.5228864,3.2233131999999998,0.5826594
2300.0,11.459485599999999,12.984,2.5037972,3.1982998,0.5884496
2400.0,12.0507746,13.294,2.4911301999999997,3.1804384,0.5930366
2500.0,12.622767,14.047999999999998,2.4773842000000004,3.16222,0.5975188
2600.0,13.2189956,15.02,2.463685,3.1464152,0.6018285999999999
2700.0,13.8322506,15.63,2.4467220000000003,3.1277147999999997,0.605702
2800.0,14.448209600000002,16.35,2.4330211999999998,3.1108892,0.6100977999999999
2900.0,15.071356399999999,17.062,2.4255084,3.1004194,0.613996
3000.0,15.7167462,17.881999999999998,2.4144566000000003,3.0868184,0.6175522
3100.0,16.3712516,18.625999999999998,2.402614,3.0722594,0.6208667999999999
3200.0,17.020493600000002,18.692,2.3844872,3.0525316,0.625585
3300.0,17.680037199999997,19.686,2.3736856,3.0402088,0.6278632
3400.0,18.3405496,20.18,2.36003,3.0247028,0.6307116
3500.0,19.0163118,20.506,2.3497408,3.0122404,0.6340226
3600.0,19.7078198,20.98,2.3360826,2.9972952,0.6373656
3700.0,20.4030902,21.672,2.325925,2.9854689999999997,0.6403376
3800.0,21.1073546,22.288,2.3170566,2.9728114000000003,0.6441984
3900.0,21.8196406,22.66,2.3056028,2.9585846,0.646955
4000.0,22.5429642,23.04,2.2942434,2.9467868,0.6497354
4100.0,23.2512482,23.668,2.2850782,2.9349491999999997,0.6519986
4200.0,23.9810356,24.238,2.2747298000000002,2.9230972,0.6550154
4300.0,24.7082242,24.630000000000003,2.2645054,2.912059,0.657463
4400.0,25.4543204,24.922,2.2572938000000002,2.9040597999999997,0.6596724
4500.0,26.1900842,25.35,2.2517116,2.8955392,0.6618274
4600.0,26.934504600000004,25.79,2.244848,2.8877347999999996,0.6635218
4700.0,27.6770688,26.157999999999998,2.2385474000000003,2.8784754,0.6655364
4800.0,28.434633400000003,26.274,2.2289358,2.8666831999999998,0.6681696
4900.0,29.1860116,26.630000000000003,2.2197554,2.8550382,0.6709012
5000.0,29.9357438,27.008,2.2140429999999998,2.8468584,0.6728508
5100.0,30.694962800000003,27.324,2.2076217999999996,2.8386814,0.675304
5200.0,31.4581478,27.586000000000002,2.199922,2.8300986000000004,0.6774956
5300.0,32.256502999999995,28.308,2.1912866,2.8197212,0.6799858000000001
5400.0,33.0340314,28.965999999999998,2.1865822,2.8153644,0.6812224
5500.0,33.816581400000004,29.438,2.178754,2.805969,0.6833056
5600.0,34.607581800000006,29.324,2.1731018,2.7999212,0.6848156
5700.0,35.3866236,29.332,2.1681234,2.7938864,0.686473
5800.0,36.1705702,29.298000000000002,2.160555,2.784707,0.6883984
5900.0,36.9481462,29.848000000000003,2.1554622,2.7786324000000002,0.6896552
6000.0,37.722058600000004,30.209999999999997,2.1492798,2.7715586,0.6914013999999999
6100.0,38.4976646,30.1,2.1448286,2.7662892,0.6929868
6200.0,39.2735914,30.674,2.1400922000000002,2.76008,0.6943272
6300.0,40.0726134,30.734,2.1351798000000004,2.7549014,0.6947720000000001
6400.0,40.9026296,30.85,2.1318402,2.750484,0.695917
6500.0,41.6890386,31.438,2.127304,2.7449884,0.6974592
6600.0,42.4935068,31.172000000000004,2.1215208,2.7376688000000002,0.6991501999999999
6700.0,43.2898516,31.056,2.1158352000000002,2.731296,0.7008867999999999
6800.0,44.084459,31.612000000000002,2.1105656,2.7244336000000002,0.702561
6900.0,44.8775844,32.208,2.105636,2.7186342,0.703678
7000.0,45.6819826,33.054,2.1012937999999997,2.7134852,0.7043326000000001
7100.0,46.4992156,33.394,2.0960206,2.7067984,0.7056166
7200.0,47.3244012,32.757999999999996,2.0908021999999997,2.700415,0.7070272
7300.0,48.1345236,33.33,2.0861966,2.694795,0.7080926
7400.0,48.9524322,33.814,2.0828816,2.690195,0.7089964
7500.0,49.7807298,34.552,2.0787421999999998,2.6846579999999998,0.7101352000000001
7600.0,50.6150768,34.898,2.074003,2.6791776,0.7108032
7700.0,51.461979199999995,34.932,2.070697,2.6750738,0.7115334
7800.0,52.333387800000004,35.382000000000005,2.0676734,2.6706060000000003,0.7127274
7900.0,53.185188600000004,36.102,2.0648466,2.6663258,0.7141198
8000.0,54.0481358,35.803999999999995,2.0614686,2.6620992,0.7150648000000001
8100.0,54.89443680000001,35.688,2.0572898000000004,2.6565038000000003,0.7159326
8200.0,55.736656800000006,36.089999999999996,2.0532652,2.6514024,0.7169686
8300.0,56.5883376,36.517999999999994,2.0499055999999998,2.6475470000000003,0.7183328
8400.0,57.4374148,36.976,2.0469473999999996,2.643703,0.719036
8500.0,58.29662140000001,37.618,2.0444848,2.6399564,0.7200226
8600.0,59.191353400000004,38.071999999999996,2.0418646,2.636972,0.7204722
8700.0,60.0604526,38.694,2.0383578,2.632702,0.7214354000000001
8800.0,60.943216799999995,39.422000000000004,2.0346694,2.6283724,0.7224231999999999
8900.0,61.8633872,39.782,2.0323088,2.6251872,0.7231346000000001
9000.0,62.7495906,40.372,2.0308684,2.6232696,0.7236674
9100.0,63.6427484,40.782,2.0279536,2.6193526,0.7243378
9200.0,64.5336688,41.456,2.0247453999999996,2.6154992,0.7253086
9300.0,65.4383658,41.826,2.0216372,2.6114522,0.7260392
9400.0,66.3533856,42.048,2.0190677999999997,2.6077846,0.7270521999999999
9500.0,67.2730786,42.788,2.016395,2.6047111999999997,0.7279756
9600.0,68.2072906,43.124,2.0135528000000003,2.6013802,0.7286162
9700.0,69.1366254,44.052,2.0107253999999997,2.5974686,0.7292802
9800.0,70.083024,44.586,2.0082574,2.59431,0.7300048
9900.0,71.02971260000001,45.104,2.0053594,2.5910062,0.7306184
10000.0,71.973427,44.756,2.0033794,2.5879976,0.7312618
10100.0,72.9366594,45.184000000000005,2.0004688,2.58453,0.7318172000000001
10200.0,73.8774124,45.394,1.9977974,2.5810966,0.7327006
10300.0,74.83655139999999,45.806,1.9942419999999998,2.5765604,0.7334102
10400.0,75.7927168,46.018,1.9908625999999998,2.5724742,0.7341346
10500.0,76.7502506,46.398,1.9885974000000002,2.5698638000000003,0.7347344
10600.0,77.72413300000001,47.438,1.9864808,2.5669766,0.7353376
10700.0,78.69844739999999,47.766,1.9836554,2.5633348,0.7361816
10800.0,79.6833894,48.244,1.981108,2.5606594,0.736839
10900.0,80.6873426,48.408,1.9786816000000003,2.5578482,0.7374564
11000.0,81.69178,48.532,1.9761876,2.5543824,0.7381004
11100.0,82.6841154,49.236000000000004,1.9731314000000002,2.5502068,0.7388188
11200.0,83.67645999999999,49.916,1.9709765999999997,2.5475218,0.7391142
11300.0,84.6810364,49.838,1.9687496,2.5446012,0.7396202
11400.0,85.68653520000001,50.272000000000006,1.9657498,2.5407542,0.740437
11500.0,86.7153962,50.442,1.9636128,2.5382697999999997,0.7408170000000001
11600.0,87.73585779999999,51.05,1.9618302,2.5351588,0.7414322
11700.0,88.7483582,50.714,1.9599927999999998,2.5327326,0.741981
11800.0,89.7519958,50.495999999999995,1.9564500000000002,2.5286098,0.7428269999999999
11900.0,90.75484639999999,50.775999999999996,1.9539643999999998,2.5256512,0.743409
12000.0,91.7603718,50.654,1.9524819999999998,2.5239054,0.7437056
12100.0,92.7664058,50.872,1.9511128,2.5217856000000003,0.7441641999999999
12200.0,93.7760676,51.258,1.9488592,2.5187812000000003,0.744845
12300.0,94.7935688,51.102,1.9462949999999999,2.5154552,0.7452592
12400.0,95.8049224,51.648,1.944691,2.513344,0.7459042
12500.0,96.8357792,51.641999999999996,1.9427523999999998,2.511285,0.7462633999999999
12600.0,97.879746,52.029999999999994,1.940737,2.5085129999999998,0.7469344
12700.0,98.897226,52.367999999999995,1.938314,2.5057916,0.7474412
12800.0,99.916741,52.824,1.9381894,2.505434,0.7477126000000001
12900.0,100.9398004,52.802,1.9362173999999999,2.5029472,0.7483614000000001
13000.0,101.99922280000001,52.477999999999994,1.9341108000000002,2.4999686,0.7488904000000001
13100.0,103.02468200000001,52.822,1.9325074,2.4974254,0.7494476
13200.0,104.0652638,53.513999999999996,1.9307614000000002,2.4951298,0.7497938
13300.0,105.1228712,54.32000000000001,1.92877,2.4926977999999997,0.7501086
13400.0,106.16750959999999,54.604,1.9270900000000002,2.4903608,0.7504808
13500.0,107.2212272,54.510000000000005,1.9244721999999999,2.4874492,0.7508826
13600.0,108.2654246,54.378,1.9221894,2.4845422,0.7514054
13700.0,109.32086799999999,54.79599999999999,1.9214044000000001,2.4835484,0.7516994
13800.0,110.3748746,55.028,1.9194306,2.4809998,0.7521596
13900.0,111.42484440000001,55.245999999999995,1.9176836000000002,2.4787026,0.7525284
14000.0,112.47851840000001,55.498000000000005,1.9162436,2.4768334000000003,0.7528935999999999
14100.0,113.5295644,55.894000000000005,1.9150612000000002,2.4754714,0.7531245999999999
14200.0,114.64091720000002,56.267999999999994,1.9134091999999998,2.4734838,0.7535719999999999
14300.0,115.7453696,56.818,1.9122076,2.4714986,0.7540182
14400.0,116.81717080000001,57.346000000000004,1.9114046000000002,2.4703308,0.754139
14500.0,117.8848434,57.908,1.9098618000000003,2.4681477999999997,0.7545653999999999
14600.0,118.96679099999999,58.562,1.9086514,2.4663598,0.7549402
14700.0,120.05338839999999,59.38399999999999,1.9072526,2.464194,0.755223
14800.0,121.16052240000002,59.976,1.9053434,2.4619246,0.7558294
14900.0,122.26864619999999,60.362,1.9033804,2.4596624,0.7561536
15000.0,123.3757572,60.720000000000006,1.9021238,2.4578658,0.756482
15100.0,124.49083060000001,61.025999999999996,1.9007196,2.4562254,0.7567784
15200.0,125.611674,60.586,1.8993797999999997,2.454512,0.7571595999999999
15300.0,126.74188179999999,60.870000000000005,1.8979158000000003,2.4527948000000004,0.7575696
15400.0,127.8569052,61.548,1.897016,2.4513682,0.7577398
15500.0,128.9842216,61.9,1.8964948,2.450315,0.7578346
15600.0,130.17684100000002,62.626,1.8953091999999998,2.4485590000000004,0.7582416000000001
15700.0,131.31083940000002,62.827999999999996,1.8942105999999999,2.4469308,0.7584508
15800.0,132.4408772,62.83,1.8925566,2.444918,0.758779
15900.0,133.5754386,63.23,1.8913499999999999,2.4433156,0.7591806
16000.0,134.727528,63.49400000000001,1.8900207999999998,2.4417288,0.7595959999999999
16100.0,135.8786394,64.086,1.8887456,2.439862,0.7598966
16200.0,137.026984,64.376,1.8865264,2.437039,0.7602836
16300.0,138.17210359999999,63.746,1.8851078000000001,2.4349092,0.7607678
16400.0,139.32811139999998,64.186,1.8838078,2.4333532,0.7611862
16500.0,140.4863178,64.17,1.8835326,2.4328798,0.761275
16600.0,141.6393864,64.89,1.8825842000000002,2.4314690000000003,0.761526
16700.0,142.798875,65.604,1.8812377999999998,2.4295502,0.7618692
16800.0,143.99202559999998,66.436,1.8798678,2.4278658,0.7621332
16900.0,145.16747700000002,66.81800000000001,1.8784607999999998,2.4257504,0.7625672
17000.0,146.3428556,67.38199999999999,1.8768104,2.4236440000000004,0.7629490000000001
17100.0,147.52686899999998,67.756,1.8753558,2.4217842000000003,0.7632028
17200.0,148.726773,68.61800000000001,1.8737272,2.4198074,0.7635668
17300.0,149.9257036,68.89200000000001,1.8722307999999999,2.4176638,0.7639604
17400.0,151.1265344,69.158,1.8715916,2.4168126,0.7642578
17500.0,152.3280342,69.624,1.8698900000000003,2.4148792,0.7646316000000001
17600.0,153.56826959999998,70.356,1.8689926,2.41361,0.7648104
17700.0,154.7911472,71.196,1.8681974000000001,2.4122854,0.7650188
17800.0,156.0135074,71.542,1.8671878,2.4107952,0.7652582
17900.0,157.2468934,72.25399999999999,1.8661584000000002,2.409497,0.7655406
18000.0,158.4870022,72.74,1.8652304000000002,2.4083102,0.7657712
18100.0,159.7284394,73.236,1.8642732,2.4072222000000005,0.7660351999999999
18200.0,161.0480114,73.352,1.8624524,2.4053244,0.7664212
18300.0,162.2975968,73.416,1.8614888,2.4039662,0.7666526
18400.0,163.5526522,73.28,1.8600638,2.4019024,0.7669846
18500.0,164.791225,73.332,1.8586958,2.4000976,0.7672884
18600.0,166.0315476,73.71,1.8573903999999999,2.398567,0.7675404
18700.0,167.2861178,74.036,1.8563544,2.3970849999999997,0.7678678
18800.0,168.54583499999998,75.012,1.8556344,2.395899,0.768147
18900.0,169.8126652,75.756,1.8544832,2.3943168,0.7684518
19000.0,171.10096679999998,76.45599999999999,1.8534351999999998,2.3928312,0.7687538
19100.0,172.3845626,76.64,1.852166,2.391245,0.7690165999999999
19200.0,173.675325,76.752,1.8512709999999999,2.3898420000000002,0.7693212
19300.0,174.9690244,77.256,1.8504947999999999,2.3885346,0.7695058
19400.0,176.2542604,77.404,1.849418,2.3871274,0.7698268
19500.0,177.5749256,77.67,1.8486752,2.3860126,0.7699268
19600.0,178.87342819999998,78.05999999999999,1.8481906,2.3853023999999996,0.7700558
19700.0,180.17718580000002,78.468,1.8476716,2.3846184,0.7701376
19800.0,181.48142520000002,78.626,1.8466795999999999,2.383471,0.770411
19900.0,182.7838428,78.812,1.8453726,2.3816608,0.770781
20000.0,184.0942364,78.38,1.8444582,2.3803254,0.7709463999999999
20100.0,185.3922918,78.06800000000001,1.8435254,2.378994,0.7711463999999999
20200.0,186.6882478,78.352,1.8425508000000002,2.3777098,0.7714074
20300.0,188.011672,78.334,1.8420832,2.3771322,0.7715998
20400.0,189.3077638,78.97200000000001,1.8412986,2.3757840000000003,0.7718532
20500.0,190.6089378,79.74199999999999,1.8404576,2.374794,0.7721439999999999
20600.0,191.9454354,80.202,1.8397236,2.3734756,0.772466
20700.0,193.308714,81.096,1.8386548,2.3719874,0.7726956
20800.0,194.6436214,80.66,1.8377590000000001,2.3707588,0.7729218
20900.0,195.9645336,80.76,1.8367032,2.3692496,0.773226
21000.0,197.2913196,80.17999999999999,1.8352689999999998,2.3674562,0.7736107999999999
21100.0,198.60732539999998,80.606,1.8351887999999998,2.3671526,0.7736995999999999
21200.0,199.9207682,80.49600000000001,1.8345192000000001,2.3661128,0.773935
21300.0,201.2288962,80.364,1.8334793999999999,2.3647886,0.7742276
21400.0,202.5588812,81.114,1.832748,2.3637128,0.77453
21500.0,203.8756312,81.298,1.8319324000000001,2.3626764000000002,0.774756
21600.0,205.1949294,81.72200000000001,1.8309544,2.3613210000000002,0.7750428
21700.0,206.5236386,81.50800000000001,1.8300172,2.3603024,0.7752036
21800.0,207.8523918,81.994,1.8292914,2.3592538000000003,0.7754926
21900.0,209.19538699999998,81.52000000000001,1.8283358,2.3581644,0.7756468
22000.0,210.5098906,81.922,1.8277416,2.3573589999999998,0.775755
22100.0,211.852554,81.744,1.8270347999999998,2.3566984,0.7758352
22200.0,213.2071232,82.11,1.8263114000000003,2.355709,0.776114
22300.0,214.74971620000002,82.526,1.8256826,2.3549564,0.7762582
22400.0,216.19414419999998,82.39000000000001,1.8251117999999997,2.3542587999999998,0.7763802
22500.0,217.5225738,82.788,1.8243445999999999,2.3532346,0.7765154
22600.0,218.85502639999999,83.23400000000001,1.8237746000000001,2.3523104,0.7767104
22700.0,220.2000392,84.06,1.822877,2.3511896,0.7769876
22800.0,221.5560458,84.836,1.8219112,2.3499766,0.7771516
22900.0,222.9095022,84.748,1.8208828000000001,2.348712,0.7773418
23000.0,224.25242360000001,84.898,1.8198382,2.3472397999999997,0.7776164
23100.0,225.6717144,84.99600000000001,1.8194541999999998,2.3467884,0.7777278
23200.0,227.0437272,85.092,1.8187349999999998,2.3457168,0.7779388
23300.0,228.4067002,85.586,1.8182568,2.3450942,0.7780022
23400.0,229.80631060000002,85.734,1.817516,2.3440111999999997,0.7781458
23500.0,231.1701416,85.90599999999999,1.8169104,2.343156,0.7784328
23600.0,232.5747978,86.644,1.8165212,2.342629,0.7785488
23700.0,233.9535316,87.008,1.8156366,2.3415008,0.7786842
23800.0,235.3311912,87.74600000000001,1.8147141999999998,2.3401634000000002,0.7789586
23900.0,236.7271182,88.17,1.8142026000000002,2.339369,0.7790744000000001
24000.0,238.1317716,88.352,1.8137737999999999,2.3387384,0.7792004
24100.0,239.52683259999998,88.864,1.8131350000000002,2.3379252,0.7793826
24200.0,240.942386,89.616,1.8123248,2.336922,0.7796096
24300.0,242.3602272,90.092,1.8118242000000002,2.3359815999999998,0.779759
24400.0,243.767918,90.402,1.8112166000000003,2.3351227999999997,0.7799702
24500.0,245.1837908,91.014,1.8104742000000003,2.3340838,0.7800744
24600.0,246.61771280000002,90.296,1.8097476000000001,2.333109,0.7802888
24700.0,248.02856979999996,90.72999999999999,1.8092853999999998,2.3322284,0.7803462
24800.0,249.4578988,90.986,1.8089114,2.3315698,0.7804766
24900.0,250.870811,91.244,1.8080476,2.3303732,0.7806904
