n_samples,time,memory,MAE,RMSE,R2
100.0,0.4299554,4.3420000000000005,4.429185800000001,5.6482914,-0.2640456
200.0,0.8838162,6.35,3.9719034,5.0042124,-0.0338902
300.0,1.3796346,7.295999999999999,3.6759692,4.630184,0.1386894
400.0,1.9130487999999999,7.51,3.3648409999999997,4.286518200000001,0.2551266
500.0,2.48506,7.178,3.20711,4.0869664,0.32188680000000003
600.0,3.0433994,6.764,3.163821,4.010676800000001,0.3524162
700.0,3.6328291999999998,8.126000000000001,3.0751733999999997,3.8983345999999997,0.3827478
800.0,4.1878012,8.042,2.9905186,3.8007084,0.41049939999999996
900.0,4.7803982000000005,8.652000000000001,2.9279046,3.7231634,0.4333076
1000.0,5.348903399999999,8.474,2.8721394,3.6603092000000004,0.45314920000000003
1100.0,5.9069921999999995,8.597999999999999,2.8448596000000004,3.6193094,0.47184220000000004
1200.0,6.471101,9.468,2.7995748,3.5642422,0.48468859999999997
1300.0,7.076693199999999,9.91,2.7594757999999997,3.5165406,0.49439900000000003
1400.0,7.669397599999999,10.172,2.7404814,3.4889126,0.5054732000000001
1500.0,8.259503599999999,10.524,2.7091263999999997,3.4506886000000003,0.5170516000000001
1600.0,8.8593098,10.547999999999998,2.681466,3.4148938,0.5268194
1700.0,9.464735999999998,11.142,2.6597256000000002,3.3869364000000006,0.5382616
1800.0,10.0845622,12.024000000000001,2.6380602,3.3587482,0.5445654
1900.0,10.7204702,12.612,2.6175846,3.3327696,0.5523826
2000.0,11.3656042,12.784,2.5946667999999997,3.3068055999999997,0.5597632
2100.0,12.020154600000001,13.428,2.5704952,3.2759625999999997,0.5684014000000001
2200.0,12.678464199999999,14.352,2.5516682,3.2520066,0.5753
2300.0,13.3442308,14.868,2.5319154,3.2270522,0.5810976
2400.0,14.038755,15.074000000000002,2.5186312,3.2089998,0.5857802000000001
2500.0,14.7187456,16.144,2.50453,3.190493,0.5903718
2600.0,15.407838799999999,17.058,2.4902088,3.1738952,0.5949294
2700.0,16.1314742,17.68,2.473255,3.1552826,0.5987972
2800.0,16.8860832,18.528,2.4587632,3.137737,0.6034347999999999
2900.0,17.6261672,19.354000000000003,2.4506352,3.1266287999999998,0.60755
3000.0,18.3821124,20.156,2.4395721999999997,3.1131694,0.6110985999999999
3100.0,19.139011,20.582,2.4273325999999997,3.0980309999999998,0.6146032
3200.0,19.8993042,20.61,2.40895,3.0780918,0.6194074
3300.0,20.6563794,21.419999999999998,2.397852,3.0650914,0.621853
3400.0,21.4203066,22.137999999999998,2.3852534,3.0533172,0.6238338
3500.0,22.199168800000002,22.95,2.3738868,3.0398596,0.6274072
3600.0,23.000396799999997,23.578,2.359874,3.0246184,0.6308446
3700.0,23.8300364,24.056,2.3496563999999998,3.0130468,0.6337813999999999
3800.0,24.6413592,24.77,2.3401186,2.999973,0.6377926
3900.0,25.4619264,25.334,2.3283974,2.9855174,0.6406326
4000.0,26.3036766,25.194,2.3168928,2.973987,0.6433848
4100.0,27.125775800000003,26.060000000000002,2.3074106,2.9618292,0.6457156000000001
4200.0,27.959903200000003,26.564,2.2970454,2.9499438000000002,0.648754
4300.0,28.806928199999998,27.296,2.2865966,2.9383828000000003,0.651353
4400.0,29.6580614,27.676,2.2797864,2.9303134,0.6536004
4500.0,30.5122858,28.122000000000003,2.2743222,2.92187,0.655763
4600.0,31.384442999999997,28.784000000000002,2.2669712,2.9133690000000003,0.6576352
4700.0,32.2522138,29.351999999999997,2.2601002,2.9038684,0.6597324
4800.0,33.13048980000001,29.358000000000004,2.2502684000000004,2.891886,0.6624192
4900.0,33.993223,29.645999999999997,2.241209,2.88031,0.6651504
5000.0,34.8630186,30.232,2.2353942,2.8719197999999997,0.667183
5100.0,35.7443752,30.532,2.2287278,2.8633978,0.6697324
5200.0,36.6327278,31.052,2.221023,2.8545629999999997,0.6720136
5300.0,37.5339738,31.21,2.2120744,2.8438568,0.6745943999999999
5400.0,38.4993294,31.682,2.2075088000000003,2.8393518,0.675871
5500.0,39.5146728,32.674,2.1997318,2.8300462,0.677949
5600.0,40.539955,33.192,2.194219,2.8240548,0.6794488
5700.0,41.4586046,33.466,2.1893219999999998,2.8179476,0.6811386
5800.0,42.4001466,34.186,2.1815604,2.8087218,0.6830908
5900.0,43.3193444,34.81,2.1763978,2.8024758000000003,0.6843954
6000.0,44.245730800000004,35.028000000000006,2.1701222,2.7953322,0.6861762
6100.0,45.1847662,35.842,2.1651651999999997,2.7897100000000004,0.6878523999999999
6200.0,46.1317014,36.81,2.1603508000000002,2.783274,0.6892532
6300.0,47.1063444,37.676,2.1546566,2.7764388,0.6900684
6400.0,48.0858576,37.428,2.151219,2.771963,0.6912276
6500.0,49.053911799999995,37.83,2.1463386,2.7663804,0.6928059999999999
6600.0,50.0241618,38.642,2.140318,2.758744,0.6945864
6700.0,51.0035038,38.574,2.1343188,2.7519846,0.6964212
6800.0,51.9768926,39.248000000000005,2.128934,2.7449856,0.6981294
6900.0,52.9600856,39.126,2.1237242000000003,2.7389244,0.6992958
7000.0,53.9293976,39.97,2.119259,2.7336222,0.6999774
7100.0,54.931550800000004,40.269999999999996,2.1136776,2.7265388,0.701349
7200.0,55.923598600000005,40.664,2.1081908,2.7199352,0.7028248
7300.0,56.933476,41.04,2.1030653999999998,2.7136938,0.7040364
7400.0,57.944839200000004,41.656,2.0996563999999998,2.7089764,0.7049668
7500.0,58.956210999999996,41.712,2.095505,2.703465,0.706095
7600.0,59.97293499999999,42.054,2.0909058000000003,2.6988894,0.7065712
7700.0,61.013672799999995,42.662,2.0874952,2.6946421999999997,0.7073424
7800.0,62.0595144,43.196,2.0843996000000002,2.690061,0.7085658
7900.0,63.088157,43.168,2.08129,2.6855688,0.7100226000000001
8000.0,64.1271404,43.315999999999995,2.0777348,2.681242,0.7109984
8100.0,65.1667472,43.414,2.0734496,2.6755266,0.7118932
8200.0,66.2212836,43.686,2.0693297999999998,2.6703886,0.7129428
8300.0,67.25586940000001,44.118,2.065859,2.6663444,0.7143569999999999
8400.0,68.3109746,45.006,2.0626786,2.6622879999999998,0.7151162
8500.0,69.35772899999999,45.856,2.0601964,2.6584978,0.7161312000000001
8600.0,70.41814500000001,46.727999999999994,2.0575352000000002,2.6553746,0.7166096
8700.0,71.485162,46.83,2.054092,2.6514702,0.7175
8800.0,72.5549158,47.69199999999999,2.0502234,2.6469614,0.7185298
8900.0,73.6353072,48.142,2.0475491999999997,2.6435334,0.7193002
9000.0,74.725708,48.668,2.0459944,2.6414806,0.7198728
9100.0,75.8471616,49.134,2.0428874,2.6372284,0.7206138
9200.0,76.9327824,49.608,2.0394162,2.6331092,0.7216509999999999
9300.0,78.0338884,49.528,2.0362313999999997,2.6289106,0.7224158
9400.0,79.1515502,50.346000000000004,2.0335516,2.6251756,0.7234514
