n_samples,time,memory,MAE,RMSE,R2
0.0,0.019887429660466433,0.07014271166700073,0.0002596953984960072,0.0002499185867437634,0.22147849218535873
0.0,0.02910873353995323,0.04494441010848843,0.0001537741850896957,0.00021379967259095613,0.11152925453126637
0.0,0.040911678049182984,0.1143241006962224,0.00011315829620491821,0.0001740565999897733,0.07468956982270016
0.0,0.08971694117222223,0.03193743884534249,8.441978441100165e-05,0.0001323374474591376,0.05410935190611693
0.0,0.11919779646998525,0.11631852818876255,6.834837232882729e-05,8.967887153616503e-05,0.030849351116352515
0.0,0.1260958697630497,0.14498275759551515,5.6799647886232466e-05,7.008209471755251e-05,0.027909825020949162
0.0,0.15351635134017502,0.14415269681833945,8.389398071375554e-05,0.0001810350794735648,0.019756252106611718
0.0,0.1743421058846658,0.2246775467197374,8.251545309819245e-05,0.00015904244716427105,0.029185520600119513
0.0,0.20844702412603527,0.1866279721799493,8.42959073739645e-05,0.00017783840979945795,0.03190856710508949
0.0,0.208006651336441,0.0882043082848002,4.631414470763752e-05,0.00011102567270681133,0.024106908331430654
0.0,0.22597277111479555,0.2796783867230359,3.444851230459743e-05,9.906210173421537e-05,0.024304823198287227
0.0,0.24926404459568594,0.3141178122934127,4.311032358959967e-05,9.992246994545294e-05,0.024385157873181795
0.0,0.24094587911541446,0.2709797040370363,4.291270208225076e-05,9.651839202970579e-05,0.024672093993011623
0.0,0.25021859566946664,0.4193685729760878,5.436175125950225e-05,0.0001060282981095142,0.03381558636634888
0.0,0.2730174569588908,0.34727510708370724,5.609991087336939e-05,0.0001101621532106195,0.03063024658242243
0.0,0.2948888009975961,0.3375203697556644,4.436778110295807e-05,8.920594150615757e-05,0.02370424232073239
0.0,0.30474598248016255,0.39240285421999777,4.312423912372244e-05,9.069895258491113e-05,0.022708150547765874
0.0,0.3240240053596335,0.3909603560464914,4.628498676676906e-05,9.356976007236518e-05,0.024662110378067845
0.0,0.3071064016879166,0.3649383509580767,5.386093203798089e-05,0.00010155146478510255,0.02227230538808228
0.0,0.3808034555515487,0.4452302774969377,5.370009310978895e-05,0.00010121659942914498,0.023893372694117496
0.0,0.3929833120549781,0.4412708918566922,5.4746689397624735e-05,0.00012312189082368754,0.02310044251307753
0.0,0.4169729610649832,0.46699036392628024,6.219967845576057e-05,0.00011294379133002408,0.02260416523121348
0.0,0.40903525363017346,0.4970613644209339,8.569889147474432e-05,0.00023877018239302827,0.031849955718964505
0.0,0.4341552898782882,0.5680845007567095,6.085803151597975e-05,0.00010088111815399376,0.019494236348213283
0.0,0.4413522665269776,0.6576245129251186,5.973273809227225e-05,9.83020854305749e-05,0.017748766585315164
0.0,0.43007357478889624,0.6305949571634707,5.8080117079771774e-05,9.374806664673141e-05,0.018708714779481776
0.0,0.45817252153124643,0.604838821505367,5.8546562665966924e-05,9.5684376990186e-05,0.01804050243757085
0.0,0.5068790156166468,0.6065723369887548,5.008293122412058e-05,7.791790551599824e-05,0.01703138870438932
0.0,0.5262423212311975,0.675928990353277,3.9461373518923514e-05,6.166279267110747e-05,0.014452736626673868
0.0,0.5482608169509307,0.6055163086160446,4.932342242788924e-05,7.136735948597213e-05,0.01527519455522579
0.0,0.5595678876921029,0.6425340457905715,5.402129209857903e-05,8.299277076950757e-05,0.01649858837294875
0.0,0.5723087808275347,0.5466717479438653,5.2395610503171165e-05,8.031624991245563e-05,0.016353798411989803
0.0,0.5974327729205187,0.6155647813187483,5.02314642430419e-05,7.526087961218621e-05,0.015635421654052045
0.0,0.6018759216106737,0.6023288138550249,5.641187818181562e-05,9.623564828066562e-05,0.017659355098643907
0.0,0.6529588772301812,0.5945334305150531,4.698403984333404e-05,6.730007429416394e-05,0.015124503578630273
0.0,0.6592269877551281,0.5841917493426273,4.8443781850718564e-05,7.224057031890046e-05,0.015359523765403671
